fipe_code;model_year;localiza_count;movida_count;total_count;localiza_present;movida_present
005540-9;2024;372;570;942;True;True
005540-9;2025;477;280;757;True;True
004517-9;2024;705;1;706;True;True
001461-3;2024;568;57;625;True;True
001536-9;2024;488;1;489;True;True
015245-5;2024;461;1;462;True;True
017088-7;2024;419;6;425;True;True
025266-2;2024;135;272;407;True;True
025266-2;2025;8;371;379;True;True
005510-7;2024;181;191;372;True;True
005526-3;2024;350;7;357;True;True
004519-5;2024;0;348;348;False;True
001494-0;2025;232;70;302;True;True
025290-5;2025;1;280;281;True;True
004517-9;2025;279;1;280;True;True
015245-5;2025;208;68;276;True;True
001461-3;2025;85;177;262;True;True
015239-0;2025;111;147;258;True;True
004525-0;2024;257;0;257;True;False
015190-4;2025;3;253;256;True;True
002207-1;2025;0;254;254;False;True
001494-0;2024;234;19;253;True;True
004502-0;2024;241;4;245;True;True
005525-5;2024;96;128;224;True;True
005509-3;2024;206;13;219;True;True
001505-9;2024;216;2;218;True;True
017071-2;2024;212;4;216;True;True
001553-9;2024;189;25;214;True;True
004518-7;2024;197;0;197;True;False
004522-5;2024;195;1;196;True;True
002168-7;2025;0;190;190;False;True
015234-0;2024;147;37;184;True;True
005535-2;2024;24;159;183;True;True
015234-0;2025;49;133;182;True;True
024264-0;2024;143;27;170;True;True
001544-0;2024;119;41;160;True;True
023178-9;2024;129;15;144;True;True
015240-4;2024;143;0;143;True;False
005510-7;2025;33;96;129;True;True
005533-6;2024;87;41;128;True;True
005508-5;2024;124;1;125;True;True
005538-7;2024;60;65;125;True;True
011223-2;2024;119;3;122;True;True
001531-8;2024;112;9;121;True;True
005528-0;2023;120;0;120;True;False
015236-6;2024;120;0;120;True;False
004518-7;2025;118;0;118;True;False
001461-3;2023;84;29;113;True;True
015239-0;2024;101;2;103;True;True
001509-1;2024;72;25;97;True;True
025301-4;2024;88;2;90;True;True
004504-7;2024;87;0;87;True;False
005534-4;2024;86;1;87;True;True
001526-1;2023;78;8;86;True;True
004502-0;2023;77;6;83;True;True
015215-3;2024;82;0;82;True;False
004494-6;2024;79;1;80;True;True
001569-5;2024;67;12;79;True;True
001542-3;2024;55;17;72;True;True
005509-3;2025;26;46;72;True;True
004522-5;2025;62;8;70;True;True
004515-2;2024;66;2;68;True;True
005543-3;2024;27;40;67;True;True
015244-7;2024;67;0;67;True;False
001553-9;2025;38;27;65;True;True
025300-6;2024;60;1;61;True;True
025266-2;2023;49;7;56;True;True
001509-1;2023;28;25;53;True;True
023186-0;2024;50;1;51;True;True
001509-1;2025;36;12;48;True;True
005484-4;2024;48;0;48;True;False
017071-2;2023;40;7;47;True;True
001569-5;2025;40;6;46;True;True
005508-5;2025;44;2;46;True;True
024263-2;2024;46;0;46;True;False
001554-7;2024;41;4;45;True;True
002203-9;2025;0;45;45;False;True
015165-3;2024;45;0;45;True;False
001558-0;2024;42;1;43;True;True
017081-0;2024;43;0;43;True;False
005485-2;2024;41;1;42;True;True
025267-0;2025;1;41;42;True;True
005535-2;2025;23;18;41;True;True
004494-6;2025;40;0;40;True;False
004501-2;2024;37;2;39;True;True
005528-0;2024;38;1;39;True;True
005527-1;2024;26;12;38;True;True
015244-7;2025;33;5;38;True;True
017085-2;2024;7;31;38;True;True
004516-0;2024;37;0;37;True;False
017088-7;2023;34;3;37;True;True
001538-5;2024;34;2;36;True;True
017081-0;2023;34;1;35;True;True
004525-0;2023;34;0;34;True;False
004541-1;2024;33;0;33;True;False
025328-6;2025;0;33;33;False;True
001544-0;2025;7;25;32;True;True
004504-7;2025;31;1;32;True;True
004413-0;2024;30;1;31;True;True
004517-9;2023;27;4;31;True;True
004532-2;2024;31;0;31;True;False
005492-5;2023;30;1;31;True;True
005542-5;2024;26;5;31;True;True
015217-0;2024;30;1;31;True;True
015240-4;2025;29;2;31;True;True
005538-7;2025;13;17;30;True;True
005536-0;2024;29;0;29;True;False
017071-2;2022;25;4;29;True;True
023187-8;2024;29;0;29;True;False
025322-7;2024;29;0;29;True;False
015235-8;2024;28;0;28;True;False
001494-0;2023;17;9;26;True;True
017035-6;2021;26;0;26;True;False
025290-5;2024;1;25;26;True;True
001531-8;2025;21;4;25;True;True
001542-3;2025;24;1;25;True;True
004503-9;2023;25;0;25;True;False
005508-5;2023;25;0;25;True;False
017071-2;2025;22;2;24;True;True
001536-9;2025;0;23;23;False;True
017088-7;2025;21;2;23;True;True
001453-2;2024;21;1;22;True;True
004540-3;2024;22;0;22;True;False
005509-3;2023;22;0;22;True;False
001555-5;2024;20;0;20;True;False
005538-7;2023;0;20;20;False;True
004395-8;2024;19;0;19;True;False
004494-6;2023;19;0;19;True;False
004500-4;2024;19;0;19;True;False
004525-0;2025;19;0;19;True;False
005508-5;2022;19;0;19;True;False
004538-1;2023;18;0;18;True;False
008279-1;2024;18;0;18;True;False
015200-5;2024;18;0;18;True;False
001538-5;2025;17;0;17;True;False
005536-0;2025;13;3;16;True;True
001530-0;2024;15;0;15;True;False
005526-3;2023;15;0;15;True;False
011223-2;2025;10;5;15;True;True
023180-0;2024;15;0;15;True;False
004502-0;2025;11;3;14;True;True
004518-7;2023;14;0;14;True;False
005490-9;2023;12;2;14;True;True
015233-1;2024;14;0;14;True;False
001538-5;2023;12;1;13;True;True
001554-7;2025;12;1;13;True;True
002111-3;2023;13;0;13;True;False
005459-3;2023;13;0;13;True;False
015190-4;2024;12;1;13;True;True
001505-9;2025;12;0;12;True;False
001530-0;2025;11;1;12;True;True
001542-3;2023;8;4;12;True;True
015218-8;2024;9;3;12;True;True
015235-8;2025;11;1;12;True;True
025327-8;2025;0;12;12;False;True
004516-0;2025;11;0;11;True;False
005527-1;2023;10;1;11;True;True
015213-7;2024;11;0;11;True;False
017082-8;2023;11;0;11;True;False
001505-9;2023;10;0;10;True;False
002142-3;2024;9;1;10;True;True
002207-1;2024;0;10;10;False;True
004541-1;2025;10;0;10;True;False
005525-5;2023;7;3;10;True;True
015202-1;2024;10;0;10;True;False
015214-5;2024;10;0;10;True;False
001526-1;2022;8;1;9;True;True
005526-3;2022;9;0;9;True;False
015238-2;2024;9;0;9;True;False
024249-7;2024;6;3;9;True;True
001461-3;2022;5;3;8;True;True
001531-8;2023;8;0;8;True;False
005543-3;2025;3;5;8;True;True
025267-0;2023;8;0;8;True;False
025300-6;2023;8;0;8;True;False
095005-0;2024;7;1;8;True;True
001453-2;2023;7;0;7;True;False
001544-0;2023;5;2;7;True;True
001554-7;2023;7;0;7;True;False
001558-0;2023;7;0;7;True;False
001558-0;2025;6;1;7;True;True
004502-0;2022;6;1;7;True;True
004512-8;2024;7;0;7;True;False
005493-3;2022;7;0;7;True;False
005509-3;2022;7;0;7;True;False
005526-3;2021;7;0;7;True;False
005540-9;2023;2;5;7;True;True
011224-0;2024;6;1;7;True;True
011232-1;2025;7;0;7;True;False
015237-4;2024;6;1;7;True;True
015237-4;2025;5;2;7;True;True
017081-0;2025;7;0;7;True;False
017088-7;2022;5;2;7;True;True
024249-7;2023;6;1;7;True;True
025266-2;2022;7;0;7;True;False
