snapshot_date;offer_id;fipe_code;type;brand;model;version_raw;manufacture_year;model_year;price;city;state;store_code;store_name;source;version
2025-08-25;11393583;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2022;2023;50400;Rio de Janeiro;RJ;;Rio de Janeiro Tijuca;movida;kwid zen 1.0 flex 12v 5p mec.
2025-08-25;11384488;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2023;2024;51000;Belo Horizonte;MG;;Belo Horizonte Raja;movida;kwid zen 1.0 flex 12v 5p mec.
2025-08-25;11387897;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2023;2024;51000;Belo Horizonte;MG;;Belo Horizonte Carlos Luz;movida;kwid zen 1.0 flex 12v 5p mec.
2025-08-25;11390090;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2023;2024;51000;João Pessoa;PB;;João Pessoa Brisamar;movida;kwid zen 1.0 flex 12v 5p mec.
2025-08-25;11388688;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2022;2023;51900;Campinas;SP;;Campinas Shopping Dom Pedro;movida;kwid zen 1.0 flex 12v 5p mec.
2025-08-25;11379949;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2023;2024;52000;São Paulo;SP;;São Paulo Penha;movida;kwid zen 1.0 flex 12v 5p mec.
2025-08-25;11380173;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2023;2024;52000;Londrina;PR;;Londrina;movida;kwid zen 1.0 flex 12v 5p mec.
2025-08-25;11380254;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2023;2024;52000;Natal;RN;;Natal;movida;kwid zen 1.0 flex 12v 5p mec.
2025-08-25;11380727;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2023;2024;52000;Manaus;AM;;Manaus;movida;kwid zen 1.0 flex 12v 5p mec.
2025-08-25;11382958;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2023;2024;52000;Fortaleza;CE;;Fortaleza;movida;kwid zen 1.0 flex 12v 5p mec.
2025-08-25;11383336;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2023;2024;52000;Belo Horizonte;MG;;Belo Horizonte Carlos Luz;movida;kwid zen 1.0 flex 12v 5p mec.
2025-08-25;11383677;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2023;2024;52000;Belo Horizonte;MG;;Belo Horizonte Carlos Luz;movida;kwid zen 1.0 flex 12v 5p mec.
2025-08-25;11383865;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2022;2023;52000;Aparecida de Goiânia;GO;;Aparecida de Goiânia;movida;kwid zen 1.0 flex 12v 5p mec.
2025-08-25;11384104;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2023;2024;52000;Santo André;SP;;Santo André;movida;kwid zen 1.0 flex 12v 5p mec.
2025-08-25;11384079;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2023;2024;52000;Belo Horizonte;MG;;Belo Horizonte Antonio Carlos;movida;kwid zen 1.0 flex 12v 5p mec.
2025-08-25;11384266;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2023;2024;52000;Rio de Janeiro;RJ;;Rio de Janeiro Av. das Américas;movida;kwid zen 1.0 flex 12v 5p mec.
2025-08-25;11384538;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2023;2024;52000;Belo Horizonte;MG;;Belo Horizonte Antonio Carlos;movida;kwid zen 1.0 flex 12v 5p mec.
2025-08-25;11384756;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2023;2024;52000;Campinas;SP;;Campinas Orosimbo;movida;kwid zen 1.0 flex 12v 5p mec.
2025-08-25;11384969;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2023;2024;52000;São Paulo;SP;;São Paulo Gastão Vidigal;movida;kwid zen 1.0 flex 12v 5p mec.
2025-08-25;11385070;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2023;2024;52000;Rio de Janeiro;RJ;;Rio de Janeiro Campo Grande;movida;kwid zen 1.0 flex 12v 5p mec.
2025-08-25;11385185;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2023;2024;52000;João Pessoa;PB;;João Pessoa Brisamar;movida;kwid zen 1.0 flex 12v 5p mec.
2025-08-25;11386764;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2023;2024;52000;Rio de Janeiro;RJ;;Rio de Janeiro Av. das Américas;movida;kwid zen 1.0 flex 12v 5p mec.
2025-08-25;11387004;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2023;2024;52000;Goiânia;GO;;Goiânia Mutirão;movida;kwid zen 1.0 flex 12v 5p mec.
2025-08-25;11387141;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2023;2024;52000;Rio de Janeiro;RJ;;Rio de Janeiro Av. das Américas;movida;kwid zen 1.0 flex 12v 5p mec.
2025-08-25;11387805;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2023;2024;52000;Nova Iguaçu;RJ;;Nova Iguaçu;movida;kwid zen 1.0 flex 12v 5p mec.
2025-08-25;11388506;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2023;2024;52000;Niterói;RJ;;Niterói;movida;kwid zen 1.0 flex 12v 5p mec.
2025-08-25;11389043;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2023;2024;52000;São Paulo;SP;;São Paulo Radial Leste;movida;kwid zen 1.0 flex 12v 5p mec.
2025-08-25;11389036;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2023;2024;52000;Rio de Janeiro;RJ;;Rio de Janeiro Barra da Tijuca;movida;kwid zen 1.0 flex 12v 5p mec.
2025-08-25;11389317;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2023;2024;52000;Santo André;SP;;Santo André;movida;kwid zen 1.0 flex 12v 5p mec.
2025-08-25;11389460;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2023;2024;52000;Niterói;RJ;;Niterói;movida;kwid zen 1.0 flex 12v 5p mec.
2025-08-25;11389701;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2023;2024;52000;São Carlos;SP;;São Carlos;movida;kwid zen 1.0 flex 12v 5p mec.
2025-08-25;11389764;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2023;2024;52000;Juiz de Fora;MG;;Juiz de Fora;movida;kwid zen 1.0 flex 12v 5p mec.
2025-08-25;11389831;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2023;2024;52000;Rio de Janeiro;RJ;;Rio de Janeiro Barra da Tijuca;movida;kwid zen 1.0 flex 12v 5p mec.
2025-08-25;11390278;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2023;2024;52000;Porto Alegre;RS;;Porto Alegre Ipiranga;movida;kwid zen 1.0 flex 12v 5p mec.
2025-08-25;11390519;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2023;2024;52000;Rio de Janeiro;RJ;;Rio de Janeiro Barra da Tijuca;movida;kwid zen 1.0 flex 12v 5p mec.
2025-08-25;11391679;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2023;2024;52000;Belo Horizonte;MG;;Belo Horizonte Cristiano Machado;movida;kwid zen 1.0 flex 12v 5p mec.
2025-08-25;11393651;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2023;2024;52000;Contagem;MG;;Contagem Babita Camargo;movida;kwid zen 1.0 flex 12v 5p mec.
2025-08-25;11393758;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2023;2024;52000;Belo Horizonte;MG;;Belo Horizonte Raja;movida;kwid zen 1.0 flex 12v 5p mec.
2025-08-25;11394425;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2023;2024;52000;Fortaleza;CE;;Fortaleza Auto Shopping;movida;kwid zen 1.0 flex 12v 5p mec.
2025-08-25;11390089;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2022;2023;52300;Brasília;DF;;Brasília SIA;movida;kwid zen 1.0 flex 12v 5p mec.
2025-08-25;11390184;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2022;2023;52700;São Paulo;SP;;São Paulo Gastão Vidigal;movida;kwid zen 1.0 flex 12v 5p mec.
2025-08-25;11380099;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2023;2024;52800;Manaus;AM;;Manaus;movida;kwid zen 1.0 flex 12v 5p mec.
2025-08-25;11384414;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2022;2023;52800;Nova Iguaçu;RJ;;Nova Iguaçu;movida;kwid zen 1.0 flex 12v 5p mec.
2025-08-25;11385097;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2023;2024;52800;Juiz de Fora;MG;;Juiz de Fora;movida;kwid zen 1.0 flex 12v 5p mec.
2025-08-25;11386209;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2023;2024;52800;Juiz de Fora;MG;;Juiz de Fora;movida;kwid zen 1.0 flex 12v 5p mec.
2025-08-25;11379597;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2023;2024;53000;São Paulo;SP;;São Paulo Vila Ema;movida;kwid zen 1.0 flex 12v 5p mec.
2025-08-25;11379613;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2023;2024;53000;Porto Alegre;RS;;Porto Alegre Sarandi;movida;kwid zen 1.0 flex 12v 5p mec.
2025-08-25;11379615;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2023;2024;53000;Porto Alegre;RS;;Porto Alegre Sarandi;movida;kwid zen 1.0 flex 12v 5p mec.
2025-08-25;11379607;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2023;2024;53000;Recife;PE;;Recife Caxangá;movida;kwid zen 1.0 flex 12v 5p mec.
2025-08-25;11379654;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2023;2024;53000;Várzea Grande;MT;;Várzea Grande;movida;kwid zen 1.0 flex 12v 5p mec.
2025-08-25;11379683;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2023;2024;53000;São Paulo;SP;;São Paulo Vila Ema;movida;kwid zen 1.0 flex 12v 5p mec.
2025-08-25;11379681;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2023;2024;53000;Porto Alegre;RS;;Porto Alegre Sarandi;movida;kwid zen 1.0 flex 12v 5p mec.
2025-08-25;11379698;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2023;2024;53000;Porto Alegre;RS;;Porto Alegre Sarandi;movida;kwid zen 1.0 flex 12v 5p mec.
2025-08-25;11379718;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2023;2024;53000;Mogi das Cruzes;SP;;Mogi das Cruzes;movida;kwid zen 1.0 flex 12v 5p mec.
2025-08-25;11379773;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2023;2024;53000;Porto Alegre;RS;;Porto Alegre Sarandi;movida;kwid zen 1.0 flex 12v 5p mec.
2025-08-25;11379815;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2023;2024;53000;Ribeirão Preto;SP;;Ribeirão Preto;movida;kwid zen 1.0 flex 12v 5p mec.
2025-08-25;11379781;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2023;2024;53000;Campo Grande;MS;;Campo Grande;movida;kwid zen 1.0 flex 12v 5p mec.
2025-08-25;11379810;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2023;2024;53000;São Paulo;SP;;São Paulo Itaim Paulista;movida;kwid zen 1.0 flex 12v 5p mec.
2025-08-25;11379931;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2023;2024;53000;Curitiba;PR;;Curitiba Floriano;movida;kwid zen 1.0 flex 12v 5p mec.
2025-08-25;11380000;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2023;2024;53000;Fortaleza;CE;;Fortaleza;movida;kwid zen 1.0 flex 12v 5p mec.
