fipe_code;model_year;fuel_code
005540-9;32000;5
001494-0;32000;5
015245-5;32000;5
004517-9;32000;5
001461-3;32000;5
025266-2;32000;5
095010-6;32000;4
024264-0;32000;5
014116-0;32000;5
002207-1;32000;5
004501-2;32000;5
002111-3;32000;5
005484-4;32000;5
015240-4;32000;5
001554-7;32000;5
014059-7;32000;5
095012-2;32000;6
023174-6;32000;5
095008-4;32000;4
023187-8;32000;1
005509-3;32000;5
015244-7;32000;5
002203-9;32000;5
014111-9;32000;5
004525-0;32000;5
017071-2;32000;5
001558-0;32000;5
023186-0;32000;5
005526-3;32000;5
001543-1;32000;5
001569-5;32000;5
005537-9;32000;5
002142-3;32000;3
001538-5;32000;5
003502-5;32000;3
004395-8;32000;3
083026-7;32000;3
004494-6;32000;5
004541-1;32000;5
001531-8;32000;5
005540-9;32000;5
001494-0;32000;5
005509-3;32000;5
015245-5;32000;5
004517-9;32000;5
015200-5;32000;5
001461-3;32000;5
017071-2;32000;5
004525-0;32000;5
014111-9;32000;5
025266-2;32000;5
001568-7;32000;5
002203-9;32000;5
023196-7;32000;5
005554-9;32000;5
004501-2;32000;5
005526-3;32000;5
001592-0;32000;5
017085-2;32000;5
095005-0;32000;6
093011-3;32000;1
005484-4;32000;5
015239-0;32000;5
095010-6;32000;4
096008-0;32000;6
002111-3;32000;5
001554-7;32000;5
004414-8;32000;5
011238-0;32000;5
025335-9;32000;5
017081-0;32000;5
025325-1;32000;5
093018-0;32000;1
014059-7;32000;5
002146-6;32000;3
095007-6;32000;4
014116-0;32000;5
011223-2;32000;5
095012-2;32000;6
005528-0;32000;5
093014-8;32000;5
024274-8;32000;5
024265-9;32000;5
023174-6;32000;5
014094-5;32000;5
302004-5;32000;6
095015-7;32000;4
302002-9;32000;6
002207-1;32000;5
088006-0;32000;4
009323-8;32000;1
096012-8;32000;3
023187-8;32000;1
001569-5;32000;5
005537-9;32000;5
001538-5;32000;5
002142-3;32000;3
003502-5;32000;3
004550-0;32000;3
083026-7;32000;3
001589-0;32000;5
004541-1;32000;5
025196-8;32000;3
025312-0;32000;5
022213-5;32000;3
023160-6;32000;3
001550-4;32000;3
001563-6;32000;3
005483-6;32000;3
003487-8;32000;3
083007-0;32000;3
024260-8;32000;3
095016-5;32000;6
