TabelaReferenciaCodigo,CodigoTipoVeiculo,CodigoMarca,CodigoModelo,AnoModeloParam,CodigoTipoCombustivelParam,Valor,Marca,Modelo,AnoModelo,CodigoFipe,Combustivel,TipoVeiculo,SiglaCombustivel,MesReferencia,Autenticacao,DataConsulta,ValorNum
332,1,,,32000,5,"R$ 73.032,00",Fiat,MOBI LIKE 1.0 Fire Flex 5p.,32000,001461-3,Flex,1,F,abril de 2026 ,6ymcfryb70cz,"quarta-feira, 1 de abril de 2026 05:18",73032.0
332,1,,,32000,5,"R$ 92.100,00",Fiat,ARGO DRIVE 1.0 6V Flex,32000,001494-0,Flex,1,F,abril de 2026 ,cf45z7zs2g5cz,"quarta-feira, 1 de abril de 2026 05:18",92100.0
332,1,,,32000,5,"R$ 170.057,00",Fiat,Toro Freedom 1.3 T270 4x2 Flex Aut.,32000,001538-5,Flex,1,F,abril de 2026 ,jrqdfgxgpycz,"quarta-feira, 1 de abril de 2026 05:18",170057.0
332,1,,,32000,3,"R$ 212.806,00",Fiat,Scudo Cargo 1.5 16V Turbo Diesel,32000,001550-4,Diesel,1,D,abril de 2026 ,lct53sphnxcb,"quarta-feira, 1 de abril de 2026 05:18",212806.0
332,1,,,32000,5,"R$ 115.372,00",Fiat,CRONOS DRIVE 1.3 8V Flex Aut.,32000,001554-7,Flex,1,F,abril de 2026 ,gplrsf9p4fcz,"quarta-feira, 1 de abril de 2026 05:18",115372.0
332,1,,,32000,3,"R$ 277.990,00",Fiat,Ducato Cargo 2.2 Diesel (E6),32000,001563-6,Diesel,1,D,abril de 2026 ,nt8fkwwk8yj1gy,"quarta-feira, 1 de abril de 2026 05:18",277990.0
332,1,,,32000,5,"R$ 122.422,00",Fiat,Fastback 1.0 200 Turbo Flex Aut,32000,001568-7,Flex,1,F,abril de 2026 ,gyv0dxt12fj1hl,"quarta-feira, 1 de abril de 2026 05:18",122422.0
332,1,,,32000,5,"R$ 111.140,00",Fiat,Strada Endurance 1.3 Flex 8V CS Plus,32000,001569-5,Flex,1,F,abril de 2026 ,gjmyb165bzj1hl,"quarta-feira, 1 de abril de 2026 05:18",111140.0
332,1,,,32000,5,"R$ 123.688,00",Fiat,Fiorino Endurance 1.3 Flex 8V 2p,32000,001589-0,Flex,1,F,abril de 2026 ,g0b0wlb32hj1hl,"quarta-feira, 1 de abril de 2026 05:18",123688.0
332,1,,,32000,5,"R$ 117.737,00",Fiat,PULSE 1.0 Turbo 200  Flex Aut.,32000,001592-0,Flex,1,F,abril de 2026 ,gscqkjpw2xj1hl,"quarta-feira, 1 de abril de 2026 05:18",117737.0
