TabelaReferenciaCodigo,CodigoTipoVeiculo,CodigoMarca,CodigoModelo,AnoModeloParam,CodigoTipoCombustivelParam,Valor,Marca,Modelo,AnoModelo,CodigoFipe,Combustivel,TipoVeiculo,SiglaCombustivel,MesReferencia,Autenticacao,DataConsulta,ValorNum
326,1,,,2021,,"R$ 71.412,00",Fiat,Doblo ESSENCE 1.8 Flex 16V 5p,2021,001352-8,Flex,1,F,outubro de 2025 ,6bmjxsrlbwg6,"quinta-feira, 9 de outubro de 2025 17:04",71412.0
326,1,,,2021,,"R$ 45.774,00",Fiat,UNO ATTRACTIVE 1.0 Fire Flex 8V 5p,2021,001424-9,Flex,1,F,outubro de 2025 ,wm0w7xjqcfg6,"quinta-feira, 9 de outubro de 2025 17:04",45774.0
326,1,,,2022,,"R$ 124.900,00",Fiat,Toro Volcano 2.0 16V 4x4 TB Diesel Aut.,2022,001453-2,Diesel,1,D,outubro de 2025 ,g1r2hv5wsbdm9,"quinta-feira, 9 de outubro de 2025 17:04",124900.0
326,1,,,2023,,"R$ 136.983,00",Fiat,Toro Volcano 2.0 16V 4x4 TB Diesel Aut.,2023,001453-2,Diesel,1,D,outubro de 2025 ,hhx726jvzqdrj,"quinta-feira, 9 de outubro de 2025 17:04",136983.0
326,1,,,2024,,"R$ 154.540,00",Fiat,Toro Volcano 2.0 16V 4x4 TB Diesel Aut.,2024,001453-2,Diesel,1,D,outubro de 2025 ,h5jdj70z3ddvr,"quinta-feira, 9 de outubro de 2025 17:04",154540.0
326,1,,,2025,,"R$ 166.843,00",Fiat,Toro Volcano 2.0 16V 4x4 TB Diesel Aut.,2025,001453-2,Diesel,1,D,outubro de 2025 ,jmyk013l3bdyz,"quinta-feira, 9 de outubro de 2025 17:04",166843.0
326,1,,,2021,,"R$ 47.297,00",Fiat,MOBI LIKE 1.0 Fire Flex 5p.,2021,001461-3,Flex,1,F,outubro de 2025 ,w6wgq55kzjg6,"quinta-feira, 9 de outubro de 2025 17:04",47297.0
326,1,,,2022,,"R$ 50.268,00",Fiat,MOBI LIKE 1.0 Fire Flex 5p.,2022,001461-3,Flex,1,F,outubro de 2025 ,ybqbnmwl4qlf,"quinta-feira, 9 de outubro de 2025 17:04",50268.0
326,1,,,2023,,"R$ 53.730,00",Fiat,MOBI LIKE 1.0 Fire Flex 5p.,2023,001461-3,Flex,1,F,outubro de 2025 ,zm9nyljmk3pn,"sexta-feira, 10 de outubro de 2025 08:45",53730.0
326,1,,,2024,,"R$ 57.191,00",Fiat,MOBI LIKE 1.0 Fire Flex 5p.,2024,001461-3,Flex,1,F,outubro de 2025 ,0ywmy71srbsw,"sexta-feira, 10 de outubro de 2025 08:45",57191.0
