TabelaReferenciaCodigo,CodigoTipoVeiculo,CodigoMarca,CodigoModelo,AnoModeloParam,CodigoTipoCombustivelParam,Valor,Marca,Modelo,AnoModelo,CodigoFipe,Combustivel,TipoVeiculo,SiglaCombustivel,MesReferencia,Autenticacao,DataConsulta,ValorNum
336,1,,,2022,,"R$ 118.106,00",Fiat,Toro Volcano 2.0 16V 4x4 TB Diesel Aut.,2022,001453-2,Diesel,1,D,agosto de 2026 ,gss4bnhkyddm9,"sábado, 1 de agosto de 2026 14:39",118106.0
336,1,,,2023,,"R$ 130.094,00",Fiat,Toro Volcano 2.0 16V 4x4 TB Diesel Aut.,2023,001453-2,Diesel,1,D,agosto de 2026 ,g7vvwpnz4rdrj,"sábado, 1 de agosto de 2026 14:39",130094.0
336,1,,,2024,,"R$ 143.626,00",Fiat,Toro Volcano 2.0 16V 4x4 TB Diesel Aut.,2024,001453-2,Diesel,1,D,agosto de 2026 ,hrqp4r6ms0dvr,"sábado, 1 de agosto de 2026 14:39",143626.0
336,1,,,2025,,"R$ 154.538,00",Fiat,Toro Volcano 2.0 16V 4x4 TB Diesel Aut.,2025,001453-2,Diesel,1,D,agosto de 2026 ,h5h99q69g0dyz,"sábado, 1 de agosto de 2026 14:39",154538.0
336,1,,,2023,,"R$ 53.531,00",Fiat,MOBI LIKE 1.0 Fire Flex 5p.,2023,001461-3,Flex,1,F,agosto de 2026 ,zkzbth3rggpn,"sábado, 1 de agosto de 2026 14:39",53531.0
336,1,,,2024,,"R$ 56.138,00",Fiat,MOBI LIKE 1.0 Fire Flex 5p.,2024,001461-3,Flex,1,F,agosto de 2026 ,0kjxbtndsysw,"sábado, 1 de agosto de 2026 14:39",56138.0
336,1,,,2025,,"R$ 61.530,00",Fiat,MOBI LIKE 1.0 Fire Flex 5p.,2025,001461-3,Flex,1,F,agosto de 2026 ,2lrq0ttjbmw3,"sábado, 1 de agosto de 2026 14:39",61530.0
336,1,,,2026,,"R$ 67.145,00",Fiat,MOBI LIKE 1.0 Fire Flex 5p.,2026,001461-3,Flex,1,F,agosto de 2026 ,4qlmcgnkk80b,"sábado, 1 de agosto de 2026 14:39",67145.0
336,1,,,2022,,"R$ 59.750,00",Fiat,ARGO DRIVE 1.0 6V Flex,2022,001494-0,Flex,1,F,agosto de 2026 ,1xwrrycry6lf,"sábado, 1 de agosto de 2026 14:39",59750.0
336,1,,,2023,,"R$ 65.529,00",Fiat,ARGO DRIVE 1.0 6V Flex,2023,001494-0,Flex,1,F,agosto de 2026 ,33m7zvkrc9pn,"sábado, 1 de agosto de 2026 14:39",65529.0
336,1,,,2024,,"R$ 68.652,00",Fiat,ARGO DRIVE 1.0 6V Flex,2024,001494-0,Flex,1,F,agosto de 2026 ,488ck04kk0sw,"sábado, 1 de agosto de 2026 14:39",68652.0
336,1,,,2025,,"R$ 70.875,00",Fiat,ARGO DRIVE 1.0 6V Flex,2025,001494-0,Flex,1,F,agosto de 2026 ,54bcb90wtkw3,"sábado, 1 de agosto de 2026 14:39",70875.0
336,1,,,2026,,"R$ 78.229,00",Fiat,ARGO DRIVE 1.0 6V Flex,2026,001494-0,Flex,1,F,agosto de 2026 ,8xj9zsn6wp0b,"sábado, 1 de agosto de 2026 14:39",78229.0
336,1,,,2023,,"R$ 73.748,00",Fiat,CRONOS DRIVE 1.3 8V Flex,2023,001505-9,Flex,1,F,agosto de 2026 ,660l1xtsqlpn,"sábado, 1 de agosto de 2026 14:39",73748.0
336,1,,,2024,,"R$ 80.521,00",Fiat,CRONOS DRIVE 1.3 8V Flex,2024,001505-9,Flex,1,F,agosto de 2026 ,9sfc7dcwt0sw,"sábado, 1 de agosto de 2026 14:39",80521.0
336,1,,,2025,,"R$ 86.762,00",Fiat,CRONOS DRIVE 1.3 8V Flex,2025,001505-9,Flex,1,F,agosto de 2026 ,cc4ls18w8wmw3,"sábado, 1 de agosto de 2026 14:39",86762.0
336,1,,,2022,,"R$ 57.741,00",Fiat,ARGO 1.0 6V Flex,2022,001509-1,Flex,1,F,agosto de 2026 ,05bj7dnmz7dny,"sábado, 1 de agosto de 2026 14:39",57741.0
336,1,,,2023,,"R$ 63.036,00",Fiat,ARGO 1.0 6V Flex,2023,001509-1,Flex,1,F,agosto de 2026 ,25d3yvskz8dr5,"sábado, 1 de agosto de 2026 14:39",63036.0
336,1,,,2024,,"R$ 66.063,00",Fiat,ARGO 1.0 6V Flex,2024,001509-1,Flex,1,F,agosto de 2026 ,39xbvsf1xhdwd,"sábado, 1 de agosto de 2026 14:39",66063.0
336,1,,,2025,,"R$ 70.410,00",Fiat,ARGO 1.0 6V Flex,2025,001509-1,Flex,1,F,agosto de 2026 ,5ywbx6xvbmdzm,"sábado, 1 de agosto de 2026 14:39",70410.0
336,1,,,2024,,"R$ 81.655,00",Fiat,ARGO TREKKING 1.3 8V Flex,2024,001519-9,Flex,1,F,agosto de 2026 ,96qkm5m18csw,"sábado, 1 de agosto de 2026 14:39",81655.0
336,1,,,2022,,"R$ 69.433,00",Fiat,Strada Endurance 1.4 Flex 8V CS Plus,2022,001526-1,Flex,1,F,agosto de 2026 ,5ld7jx9ml6lf,"sábado, 1 de agosto de 2026 14:39",69433.0
336,1,,,2023,,"R$ 74.680,00",Fiat,Strada Endurance 1.4 Flex 8V CS Plus,2023,001526-1,Flex,1,F,agosto de 2026 ,7kycd8gwzhpn,"sábado, 1 de agosto de 2026 14:39",74680.0
336,1,,,2024,,"R$ 99.429,00",Fiat,Strada Freedom 1.3 Flex 8V CD,2024,001530-0,Flex,1,F,agosto de 2026 ,cjx3v7jxcnssw,"sábado, 1 de agosto de 2026 14:39",99429.0
336,1,,,2025,,"R$ 108.027,00",Fiat,Strada Freedom 1.3 Flex 8V CD,2025,001530-0,Flex,1,F,agosto de 2026 ,gdzsrxc73vdzm,"sábado, 1 de agosto de 2026 14:39",108027.0
336,1,,,2023,,"R$ 83.793,00",Fiat,Fiorino Endurance EVO 1.4 Flex 8V 2p,2023,001531-8,Flex,1,F,agosto de 2026 ,cb0snpgh9k8pn,"sábado, 1 de agosto de 2026 14:39",83793.0
336,1,,,2024,,"R$ 89.931,00",Fiat,Fiorino Endurance EVO 1.4 Flex 8V 2p,2024,001531-8,Flex,1,F,agosto de 2026 ,cfbrmy08fh8sw,"sábado, 1 de agosto de 2026 14:39",89931.0
336,1,,,2025,,"R$ 98.080,00",Fiat,Fiorino Endurance EVO 1.4 Flex 8V 2p,2025,001531-8,Flex,1,F,agosto de 2026 ,cjd9j9hk8wmw3,"sábado, 1 de agosto de 2026 14:39",98080.0
336,1,,,2024,,"R$ 61.174,00",Fiat,MOBI TREKKING 1.0 Flex 5p.,2024,001536-9,Flex,1,F,agosto de 2026 ,2glbr3gk3tsw,"sábado, 1 de agosto de 2026 14:39",61174.0
336,1,,,2025,,"R$ 66.998,00",Fiat,MOBI TREKKING 1.0 Flex 5p.,2025,001536-9,Flex,1,F,agosto de 2026 ,4nv5077pc5w3,"sábado, 1 de agosto de 2026 14:39",66998.0
336,1,,,2025,,"R$ 122.422,00",Fiat,Toro Endurance 1.3 T270 4x2 Flex Aut.,2025,001537-7,Flex,1,F,agosto de 2026 ,gyv0d22lbsdzm,"sábado, 1 de agosto de 2026 14:39",122422.0
336,1,,,2022,,"R$ 105.409,00",Fiat,Toro Freedom 1.3 T270 4x2 Flex Aut.,2022,001538-5,Flex,1,F,agosto de 2026 ,f9xmxnjyf3dny,"sábado, 1 de agosto de 2026 14:39",105409.0
336,1,,,2023,,"R$ 114.905,00",Fiat,Toro Freedom 1.3 T270 4x2 Flex Aut.,2023,001538-5,Flex,1,F,agosto de 2026 ,gn1slj51m8dr5,"sábado, 1 de agosto de 2026 14:39",114905.0
336,1,,,2024,,"R$ 123.375,00",Fiat,Toro Freedom 1.3 T270 4x2 Flex Aut.,2024,001538-5,Flex,1,F,agosto de 2026 ,gzzm6t9mmwdwd,"sábado, 1 de agosto de 2026 14:39",123375.0
336,1,,,2025,,"R$ 130.768,00",Fiat,Toro Freedom 1.3 T270 4x2 Flex Aut.,2025,001538-5,Flex,1,F,agosto de 2026 ,g8nb94f8cmdzm,"sábado, 1 de agosto de 2026 14:39",130768.0
336,1,,,2023,,"R$ 93.595,00",Fiat,PULSE AUDACE 1.0 Turbo 200 Flex Aut.,2023,001542-3,Flex,1,F,agosto de 2026 ,cgqqc9ggqfmpn,"sábado, 1 de agosto de 2026 14:39",93595.0
336,1,,,2024,,"R$ 98.719,00",Fiat,PULSE AUDACE 1.0 Turbo 200 Flex Aut.,2024,001542-3,Flex,1,F,agosto de 2026 ,cjnss8lcsd2sw,"sábado, 1 de agosto de 2026 14:39",98719.0
336,1,,,2023,,"R$ 87.576,00",Fiat,PULSE DRIVE 1.3 8V Flex Aut.,2023,001544-0,Flex,1,F,agosto de 2026 ,cdf4nvxhgxbpn,"sábado, 1 de agosto de 2026 14:39",87576.0
336,1,,,2024,,"R$ 91.702,00",Fiat,PULSE DRIVE 1.3 8V Flex Aut.,2024,001544-0,Flex,1,F,agosto de 2026 ,cf0jbs9j04tsw,"sábado, 1 de agosto de 2026 14:39",91702.0
336,1,,,2025,,"R$ 97.134,00",Fiat,PULSE DRIVE 1.3 8V Flex Aut.,2025,001544-0,Flex,1,F,agosto de 2026 ,ch16p52n06yw3,"sábado, 1 de agosto de 2026 14:39",97134.0
336,1,,,2026,,"R$ 104.189,00",Fiat,PULSE DRIVE 1.3 8V Flex Aut.,2026,001544-0,Flex,1,F,agosto de 2026 ,f8g88rd27zd2v,"sábado, 1 de agosto de 2026 14:39",104189.0
336,1,,,2024,,"R$ 75.032,00",Fiat,CRONOS DRIVE 1.0 6V Flex,2024,001553-9,Flex,1,F,agosto de 2026 ,7p19lw3nccsw,"sábado, 1 de agosto de 2026 14:39",75032.0
336,1,,,2025,,"R$ 78.820,00",Fiat,CRONOS DRIVE 1.0 6V Flex,2025,001553-9,Flex,1,F,agosto de 2026 ,84g33s6vmbw3,"sábado, 1 de agosto de 2026 14:39",78820.0
336,1,,,2026,,"R$ 86.606,00",Fiat,CRONOS DRIVE 1.0 6V Flex,2026,001553-9,Flex,1,F,agosto de 2026 ,cc2r3bfg5d40b,"sábado, 1 de agosto de 2026 14:39",86606.0
336,1,,,2024,,"R$ 81.958,00",Fiat,CRONOS DRIVE 1.3 8V Flex Aut.,2024,001554-7,Flex,1,F,agosto de 2026 ,998pqdndsqsw,"sábado, 1 de agosto de 2026 14:39",81958.0
336,1,,,2025,,"R$ 92.176,00",Fiat,CRONOS DRIVE 1.3 8V Flex Aut.,2025,001554-7,Flex,1,F,agosto de 2026 ,cf52mmtq3vsw3,"sábado, 1 de agosto de 2026 14:39",92176.0
336,1,,,2024,,"R$ 119.400,00",Fiat,Fastback Limited Ed.1.3 270 T.Flex Aut.,2024,001556-3,Flex,1,F,agosto de 2026 ,gt95b91wnxdwd,"sábado, 1 de agosto de 2026 14:39",119400.0
336,1,,,2024,,"R$ 115.529,00",Fiat,Fastback Impetus 1.0 200 T. Flex Aut,2024,001557-1,Flex,1,F,agosto de 2026 ,gpsgpg6t1ndwd,"sábado, 1 de agosto de 2026 14:39",115529.0
