TabelaReferenciaCodigo,CodigoTipoVeiculo,CodigoMarca,CodigoModelo,AnoModeloParam,CodigoTipoCombustivelParam,Valor,Marca,Modelo,AnoModelo,CodigoFipe,Combustivel,TipoVeiculo,SiglaCombustivel,MesReferencia,Autenticacao,DataConsulta,ValorNum
334,1,,,2021,,"R$ 68.454,00",Fiat,Doblo Cargo 1.8 mpi Fire Flex 8V/16V 4p,2021,001235-1,Gasolina,1,G,junho de 2026 ,46ydkxj46jfx,"segunda-feira, 1 de junho de 2026 00:07",68454.0
334,1,,,2021,,"R$ 71.435,00",Fiat,Doblo ESSENCE 1.8 Flex 16V 5p,2021,001352-8,Flex,1,F,junho de 2026 ,6bww5b7f0rg6,"segunda-feira, 1 de junho de 2026 00:07",71435.0
334,1,,,2021,,"R$ 44.441,00",Fiat,UNO ATTRACTIVE 1.0 Fire Flex 8V 5p,2021,001424-9,Flex,1,F,junho de 2026 ,v4ddpcqr1lg6,"segunda-feira, 1 de junho de 2026 00:07",44441.0
334,1,,,2021,,"R$ 94.532,00",Fiat,Toro Freedom 1.8 16V Flex Aut.,2021,001449-4,Flex,1,F,junho de 2026 ,cg2pyzgrcdgg6,"segunda-feira, 1 de junho de 2026 00:07",94532.0
334,1,,,2022,,"R$ 120.093,00",Fiat,Toro Volcano 2.0 16V 4x4 TB Diesel Aut.,2022,001453-2,Diesel,1,D,junho de 2026 ,gv4b6clgztdm9,"segunda-feira, 1 de junho de 2026 00:07",120093.0
334,1,,,2023,,"R$ 131.377,00",Fiat,Toro Volcano 2.0 16V 4x4 TB Diesel Aut.,2023,001453-2,Diesel,1,D,junho de 2026 ,g9chh2tvvtdrj,"segunda-feira, 1 de junho de 2026 00:07",131377.0
334,1,,,2025,,"R$ 157.566,00",Fiat,Toro Volcano 2.0 16V 4x4 TB Diesel Aut.,2025,001453-2,Diesel,1,D,junho de 2026 ,h82c3z1hmqdyz,"segunda-feira, 1 de junho de 2026 00:07",157566.0
334,1,,,2024,,"R$ 146.528,00",Fiat,Toro Volcano 2.0 16V 4x4 TB Diesel Aut.,2024,001453-2,Diesel,1,D,junho de 2026 ,hv35zxnkfpdvr,"segunda-feira, 1 de junho de 2026 00:07",146528.0
334,1,,,2020,,"R$ 44.954,00",Fiat,MOBI LIKE 1.0 Fire Flex 5p.,2020,001461-3,Flex,1,F,junho de 2026 ,wbdvyc0yrscz,"segunda-feira, 1 de junho de 2026 00:07",44954.0
334,1,,,2021,,"R$ 46.518,00",Fiat,MOBI LIKE 1.0 Fire Flex 5p.,2021,001461-3,Flex,1,F,junho de 2026 ,wxrbdp3zh1g6,"segunda-feira, 1 de junho de 2026 00:07",46518.0
334,1,,,2023,,"R$ 53.853,00",Fiat,MOBI LIKE 1.0 Fire Flex 5p.,2023,001461-3,Flex,1,F,junho de 2026 ,zprcyld6k3pn,"segunda-feira, 1 de junho de 2026 00:07",53853.0
334,1,,,2022,,"R$ 50.190,00",Fiat,MOBI LIKE 1.0 Fire Flex 5p.,2022,001461-3,Flex,1,F,junho de 2026 ,x9szwgtw69lf,"segunda-feira, 1 de junho de 2026 00:07",50190.0
334,1,,,2024,,"R$ 56.244,00",Fiat,MOBI LIKE 1.0 Fire Flex 5p.,2024,001461-3,Flex,1,F,junho de 2026 ,0lsfn94v1rsw,"segunda-feira, 1 de junho de 2026 00:07",56244.0
334,1,,,2026,,"R$ 66.934,00",Fiat,MOBI LIKE 1.0 Fire Flex 5p.,2026,001461-3,Flex,1,F,junho de 2026 ,4m3xwntgcy0b,"segunda-feira, 1 de junho de 2026 00:07",66934.0
334,1,,,2025,,"R$ 60.737,00",Fiat,MOBI LIKE 1.0 Fire Flex 5p.,2025,001461-3,Flex,1,F,junho de 2026 ,19ghtqrbxfw3,"segunda-feira, 1 de junho de 2026 00:07",60737.0
334,1,,,32000,5,"R$ 72.879,00",Fiat,MOBI LIKE 1.0 Fire Flex 5p.,32000,001461-3,Flex,1,F,junho de 2026 ,6wtrjfl2mmcz,"segunda-feira, 1 de junho de 2026 00:07",72879.0
334,1,,,2021,,"R$ 102.601,00",Fiat,Toro Freedom 2.0 16V 4x4 TB Diesel Aut.,2021,001487-7,Diesel,1,D,junho de 2026 ,f6mkzp6mlcdj2,"segunda-feira, 1 de junho de 2026 00:07",102601.0
334,1,,,2022,,"R$ 110.565,00",Fiat,Toro Freedom 2.0 16V 4x4 TB Diesel Aut.,2022,001487-7,Diesel,1,D,junho de 2026 ,ghy1gp7q1tdm9,"segunda-feira, 1 de junho de 2026 00:07",110565.0
334,1,,,2023,,"R$ 121.870,00",Fiat,Toro Freedom 2.0 16V 4x4 TB Diesel Aut.,2023,001487-7,Diesel,1,D,junho de 2026 ,gx6yfyjz5ndrj,"segunda-feira, 1 de junho de 2026 00:07",121870.0
334,1,,,2021,,"R$ 55.542,00",Fiat,ARGO DRIVE 1.0 6V Flex,2021,001494-0,Flex,1,F,junho de 2026 ,0bj8vqhdg6g6,"segunda-feira, 1 de junho de 2026 00:07",55542.0
334,1,,,2022,,"R$ 60.281,00",Fiat,ARGO DRIVE 1.0 6V Flex,2022,001494-0,Flex,1,F,junho de 2026 ,133rtjl83klf,"segunda-feira, 1 de junho de 2026 00:07",60281.0
334,1,,,2023,,"R$ 65.328,00",Fiat,ARGO DRIVE 1.0 6V Flex,2023,001494-0,Flex,1,F,junho de 2026 ,30855zy3tlpn,"segunda-feira, 1 de junho de 2026 00:07",65328.0
