snapshot_date;id;marcaId;marcaDescricao;modeloFamiliaId;modeloFamiliaDescricao;modeloId;modeloDescricao;modeloDescricaoReduzida;versaoId;versaoDescricao;corId;corDescricao;tipoTransmissaoId;categoriaId;categoriaDescricao;tipoTransmissaoDescricao;tipoCombustivelId;tipoCombustivelDescricao;anoModelo;anoFabricacao;odometro;preco;precoDe;desconto;cidadeId;cidadeDescricao;siglaEstado;siglaLoja;fotoUrl;pdpUrl;temFoto360;selo;maisProcurado;origem;selos;premium;blindado;type;brand;model;version_raw;manufacture_year;model_year;price;fuel;transmission;version;_brand_norm;_model_norm;_version_norm;first_seen_x;last_seen_x;fipe_brand;fipe_model;fipe_code;match_score;match_source;first_seen_y;last_seen_y;match_accepted
2025-11-15;318661;10;HYUNDAI;46;HB20S;3139;HB20S COMFORT PLUS TGDI FLEX AT 1.0;COMFORT PLUS TGDI FLEX 1.0 AUTOMATICO;1;LONGITUDE;1095;PRATA BRISK;8;11;SEDAN;AUTOMATICO;4;GASOLINA/ETANOL;2024;2023;47806;89990;95890.0;5900.0;4895;CAMPINAS;SP;VCTAQ;https://cdn-site-seminovos.localiza.com/prd/site/anuncio/318661/hyundai-hb20s-comfort-plus-tgdi-flex-at-10-2024-prata-automatico-seminovo-318661-20e1aca6-74ab-4b25-8ba4-10fcd8733a02-1-thumb.webp;https://seminovos.localiza.com/detalhes-carro/hyundai-hb20s-comfort-plus-tgdi-flex-10-automatico-318661;True;True;True;1;[];;;sedan;hyundai;hb20s;hb20s comfort plus tgdi flex at 1.0;2023;2024;89990;flex;aut.;HB20S COMFORT PLUS TGDI FLEX AT 1.0 flex aut.;hyundai;hb20s;hb20s comfortline plus tgdi flex aut 1.0;2025-08-25;2025-11-01;hyundai;hb20s comfort plus 1.0 tb flex 12v aut;015240-4;0.8146;contains;2025-08-25;2025-11-15;1
2025-11-15;318760;2;VOLKSWAGEN;41;POLO;4837;POLO TRACK 1.0 12V FLEX 4P C/AR - SM;TRACK 1.0 12V FLEX - SM MANUAL;1;LONGITUDE;1209;PRATA SIRIUS;2;10;HATCH;MANUAL;4;GASOLINA/ETANOL;2024;2024;45301;69990;71790.0;1800.0;4854;BAURU;SP;VCBAU;https://cdn-site-seminovos.localiza.com/prd/site/anuncio/318760/volkswagen-polo-track-10-12v-flex-4p-car--sm-2024-prata-manual-seminovo-318760-346998d0-cc4b-4831-b583-09d632314dff-1-thumb.webp;https://seminovos.localiza.com/detalhes-carro/volkswagen-polo-track-10-12v-flex-sm-manual-318760;;True;True;1;[];;;hatch;volkswagen;polo;polo track 1.0 12v flex 4p c/ar - sm;2024;2024;69990;flex;mec.;POLO TRACK 1.0 12V FLEX 4P C/AR - SM flex mec.;volkswagen;polo;polo track 1.0 flex sm mec;2025-08-25;2025-11-01;vw - volkswagen;polo track 1.0 flex 12v 5p;005540-9;0.7956;contains;2025-08-25;2025-11-15;1
2025-11-15;318777;2;VOLKSWAGEN;17;T-CROSS;4072;T-CROSS 1.0 200 TSI 12V TOTAL FLEX 4P C/AR - AUTOMÁTICO;1.0 200 TSI 12V TOTAL FLEX AUTOMATICO;1;LONGITUDE;770;CINZA PLATINUM;8;9;SUV;AUTOMATICO;4;GASOLINA/ETANOL;2024;2024;46175;108990;113990.0;5000.0;5351;SÃO PAULO;SP;VCRJF;https://cdn-site-seminovos.localiza.com/prd/site/anuncio/318777/volkswagen-tcross-10-200-tsi-12v-total-flex-4p-car--automtico-2024-cinza-automatico-seminovo-318777-bd409036-cf31-4e0f-9f91-2bb82afe76c5-1-thumb.webp;https://seminovos.localiza.com/detalhes-carro/volkswagen-t-cross-10-200-tsi-12v-total-flex-automatico-318777;True;True;True;1;[];;;suv;volkswagen;t-cross;t-cross 1.0 200 tsi 12v total flex 4p c/ar - automático;2024;2024;108990;flex;aut.;T-CROSS 1.0 200 TSI 12V TOTAL FLEX 4P C/AR - AUTOMÁTICO flex aut.;volkswagen;t cross;t cross 1.0 200 tsi total flex aut;2025-08-25;2025-11-01;vw - volkswagen;t-cross 200 tsi 1.0  flex 12v 5p aut.;005510-7;0.8582;contains;2025-08-25;2025-11-15;1
2025-11-15;318792;2;VOLKSWAGEN;17;T-CROSS;4072;T-CROSS 1.0 200 TSI 12V TOTAL FLEX 4P C/AR - AUTOMÁTICO;1.0 200 TSI 12V TOTAL FLEX AUTOMATICO;1;LONGITUDE;770;CINZA PLATINUM;8;9;SUV;AUTOMATICO;4;GASOLINA/ETANOL;2024;2024;42230;108990;114490.0;5500.0;5334;SÃO CAETANO DO SUL;SP;VCSCT;https://cdn-site-seminovos.localiza.com/prd/site/anuncio/318792/volkswagen-tcross-10-200-tsi-12v-total-flex-4p-car--automtico-2024-cinza-automatico-seminovo-318792-55e497b3-f3d0-4c23-8188-6bf8f371d9a6-1-thumb.webp;https://seminovos.localiza.com/detalhes-carro/volkswagen-t-cross-10-200-tsi-12v-total-flex-automatico-318792;True;True;;1;[];;;suv;volkswagen;t-cross;t-cross 1.0 200 tsi 12v total flex 4p c/ar - automático;2024;2024;108990;flex;aut.;T-CROSS 1.0 200 TSI 12V TOTAL FLEX 4P C/AR - AUTOMÁTICO flex aut.;volkswagen;t cross;t cross 1.0 200 tsi total flex aut;2025-08-25;2025-11-01;vw - volkswagen;t-cross 200 tsi 1.0  flex 12v 5p aut.;005510-7;0.8582;contains;2025-08-25;2025-11-15;1
2025-11-15;318829;10;HYUNDAI;46;HB20S;3139;HB20S COMFORT PLUS TGDI FLEX AT 1.0;COMFORT PLUS TGDI FLEX 1.0 AUTOMATICO;1;LONGITUDE;1345;PRETO ONIX;8;11;SEDAN;AUTOMATICO;4;GASOLINA/ETANOL;2024;2023;46112;89990;92190.0;2200.0;2918;RECIFE;PE;VCCAX;https://cdn-site-seminovos.localiza.com/prd/site/anuncio/318829/hyundai-hb20s-comfort-plus-tgdi-flex-at-10-2024-preto-automatico-seminovo-318829-ba0f025a-6036-40bc-b21b-8dfa113a15eb-1-thumb.webp;https://seminovos.localiza.com/detalhes-carro/hyundai-hb20s-comfort-plus-tgdi-flex-10-automatico-318829;True;True;True;1;[];;;sedan;hyundai;hb20s;hb20s comfort plus tgdi flex at 1.0;2023;2024;89990;flex;aut.;HB20S COMFORT PLUS TGDI FLEX AT 1.0 flex aut.;hyundai;hb20s;hb20s comfortline plus tgdi flex aut 1.0;2025-08-25;2025-11-01;hyundai;hb20s comfort plus 1.0 tb flex 12v aut;015240-4;0.8146;contains;2025-08-25;2025-11-15;1
2025-11-15;318835;10;HYUNDAI;30;HB20;3147;HB20 COMFORT PLUS FLEX 1.0;COMFORT PLUS FLEX 1.0 MANUAL;1;LONGITUDE;799;CINZA SILK;2;10;HATCH;MANUAL;4;GASOLINA/ETANOL;2024;2023;46501;69990;73890.0;3900.0;4895;CAMPINAS;SP;VCTAQ;https://cdn-site-seminovos.localiza.com/prd/site/anuncio/318835/hyundai-hb20-comfort-plus-flex-10-2024-cinza-manual-seminovo-318835-ce27cff9-088d-433d-b946-81358e528dc7-1-thumb.webp;https://seminovos.localiza.com/detalhes-carro/hyundai-hb20-comfort-plus-flex-10-manual-318835;True;True;True;1;[];;;hatch;hyundai;hb20;hb20 comfort plus flex 1.0;2023;2024;69990;flex;mec.;HB20 COMFORT PLUS FLEX 1.0 flex mec.;hyundai;hb20;hb20 comfortline plus flex 1.0 mec;2025-08-25;2025-11-01;hyundai;hb20 comfort plus 1.0 flex 12v mec.;015245-5;0.9412;contains;2025-08-25;2025-11-15;1
2025-11-15;318905;7;CHEVROLET;39;TRACKER;10043;TRACKER LT 1.0 12V TURBO FLEX 4P C/AR - AUTOMÁTICO;LT 1.0 12V TURBO FLEX AUTOMATICO;1;LONGITUDE;3423;CINZA RUSH;8;9;SUV;AUTOMATICO;4;GASOLINA/ETANOL;2024;2023;45985;104490;106990.0;2500.0;538;SALVADOR;BA;VCNGT;https://cdn-site-seminovos.localiza.com/prd/site/anuncio/318905/general-motors-tracker-lt-10-12v-turbo-flex-4p-car--automtico-2024-cinza-automatico-seminovo-318905-b754d787-fc55-4b35-96d5-ff48af1778ef-1-thumb.webp;https://seminovos.localiza.com/detalhes-carro/chevrolet-tracker-lt-10-12v-turbo-flex-automatico-318905;;True;True;1;[];;;suv;chevrolet;tracker;tracker lt 1.0 12v turbo flex 4p c/ar - automático;2023;2024;104490;flex;aut.;TRACKER LT 1.0 12V TURBO FLEX 4P C/AR - AUTOMÁTICO flex aut.;chevrolet;tracker;tracker lt 1.0 turbo flex aut;2025-08-25;2025-11-01;gm - chevrolet;tracker lt 1.0 turbo 12v flex aut.;004522-5;1.0;contains;2025-08-25;2025-11-15;1
2025-11-15;318958;10;HYUNDAI;46;HB20S;3139;HB20S COMFORT PLUS TGDI FLEX AT 1.0;COMFORT PLUS TGDI FLEX 1.0 AUTOMATICO;1;LONGITUDE;1193;PRATA SAND;8;11;SEDAN;AUTOMATICO;4;GASOLINA/ETANOL;2024;2023;47004;89990;92190.0;2200.0;4599;PALHOÇA;SC;VCSCP;https://cdn-site-seminovos.localiza.com/prd/site/anuncio/318958/hyundai-hb20s-comfort-plus-tgdi-flex-at-10-2024-prata-automatico-seminovo-318958-92d7b52d-838d-4bfe-ae10-204e05fbffd2-1-thumb.webp;https://seminovos.localiza.com/detalhes-carro/hyundai-hb20s-comfort-plus-tgdi-flex-10-automatico-318958;;True;True;1;[];;;sedan;hyundai;hb20s;hb20s comfort plus tgdi flex at 1.0;2023;2024;89990;flex;aut.;HB20S COMFORT PLUS TGDI FLEX AT 1.0 flex aut.;hyundai;hb20s;hb20s comfortline plus tgdi flex aut 1.0;2025-08-25;2025-11-01;hyundai;hb20s comfort plus 1.0 tb flex 12v aut;015240-4;0.8146;contains;2025-08-25;2025-11-15;1
2025-11-15;319195;10;HYUNDAI;30;HB20;3147;HB20 COMFORT PLUS FLEX 1.0;COMFORT PLUS FLEX 1.0 MANUAL;1;LONGITUDE;285;AZUL SAPPHIRE;2;10;HATCH;MANUAL;4;GASOLINA/ETANOL;2024;2023;46695;69990;74090.0;4100.0;5351;SÃO PAULO;SP;VCSPP;https://cdn-site-seminovos.localiza.com/prd/site/anuncio/319195/hyundai-hb20-comfort-plus-flex-10-2024-azul-manual-seminovo-319195-eeb21d86-b620-4068-a32f-be4ddc6d594d-1-thumb.webp;https://seminovos.localiza.com/detalhes-carro/hyundai-hb20-comfort-plus-flex-10-manual-319195;True;True;True;1;[];;;hatch;hyundai;hb20;hb20 comfort plus flex 1.0;2023;2024;69990;flex;mec.;HB20 COMFORT PLUS FLEX 1.0 flex mec.;hyundai;hb20;hb20 comfortline plus flex 1.0 mec;2025-08-25;2025-11-01;hyundai;hb20 comfort plus 1.0 flex 12v mec.;015245-5;0.9412;contains;2025-08-25;2025-11-15;1
2025-11-15;319249;3;FIAT;8;ARGO;3860;ARGO DRIVE 1.0 6V FLEX 4P C/AR;DRIVE 1.0 6V FLEX MANUAL;1;LONGITUDE;451;BRANCO BANCHISA;2;10;HATCH;MANUAL;4;GASOLINA/ETANOL;2024;2023;45767;69990;71190.0;1200.0;3623;ITAGUAÍ;RJ;VCITG;https://cdn-site-seminovos.localiza.com/prd/site/anuncio/319249/fiat-argo-drive-10-6v-flex-4p-car-2024-branco-manual-seminovo-319249-95f9f2ad-3765-48be-b447-c18d8aa930cf-1-thumb.webp;https://seminovos.localiza.com/detalhes-carro/fiat-argo-drive-10-6v-flex-manual-319249;True;True;True;1;[];;;hatch;fiat;argo;argo drive 1.0 6v flex 4p c/ar;2023;2024;69990;flex;mec.;ARGO DRIVE 1.0 6V FLEX 4P C/AR flex mec.;fiat;argo;argo drive 1.0 flex mec;2025-08-25;2025-11-01;fiat;argo drive 1.0 6v flex;001494-0;0.879;contains;2025-08-25;2025-11-15;1
