brand_norm;model_norm;version_norm;model_year;fipe_brand;fipe_model;fipe_code;score;match_source;first_seen;last_seen
audi;a3;a3 sedan performance black 2.0 aut;2020;audi;a3 sed.perf. black 2.0 tfsi s-tr. (hib.);008256-2;0.7103;contains;2025-09-15;2025-09-15
audi;a3;a3 sedan performance black 2.0 aut;2023;audi;a3 sed.perf. black 2.0 tfsi s-tr. (hib.);008256-2;0.7103;contains;2025-08-25;2025-09-15
audi;a3;a3 sedan performance black 2.0 tfsi stronic aut;2020;audi;a3 sed.perf. black 2.0 tfsi s-tr. (hib.);008256-2;0.7604;contains;2025-09-26;2025-10-15
audi;a3;a3 sedan performance black 2.0 tfsi stronic aut;2023;audi;a3 sed.perf. black 2.0 tfsi s-tr. (hib.);008256-2;0.7604;contains;2025-08-31;2025-10-15
audi;a3;a3 sedan performance black hibrido mhev aut 2.0 hib;2023;audi;a3 sed.perf. black 2.0 tfsi s-tr. (hib.);008256-2;0.6579;contains;2025-08-25;2025-10-15
audi;a3;a3 sedan performance black hibrido mhev aut 2.0 hib;2024;audi;a3 sed.perf. black 2.0 tfsi s-tr. (hib.);008256-2;0.6579;contains;2025-08-25;2025-10-15
audi;a3;a3 sedan s line 2.0 aut;2022;audi;a3 sedan s-line 2.0 tfsi  s-tron.(híb.);008279-1;0.7004;contains;2025-08-25;2025-09-15
audi;a3;a3 sedan s line 2.0 aut;2023;audi;a3 sedan s-line 2.0 tfsi  s-tron.(híb.);008279-1;0.7004;contains;2025-08-25;2025-09-15
audi;a3;a3 sedan s line 2.0 tfsi stronic aut;2023;audi;a3 sedan s-line 2.0 tfsi  s-tron.(híb.);008279-1;0.7798;contains;2025-09-26;2025-10-15
audi;a3;a3 sedan s line 2.0 tfsi stronic aut blindado;2022;audi;a3 sedan s-line 2.0 tfsi  s-tron.(híb.);008279-1;0.7183;contains;2025-09-26;2025-10-15
audi;a3;a3 sedan s line hibrido mhev aut 2.0;2023;audi;a3 sedan s-line 2.0 tfsi  s-tron.(híb.);008279-1;0.5538;contains;2025-09-26;2025-10-15
audi;a3;a3 sedan s line hibrido mhev aut 2.0 hib;2023;audi;a3 sedan s-line 2.0 tfsi  s-tron.(híb.);008279-1;0.6359;contains;2025-08-25;2025-10-15
audi;a3;a3 sedan s line hibrido mhev aut 2.0 hib;2024;audi;a3 sedan s-line 2.0 tfsi  s-tron.(híb.);008279-1;0.6359;contains;2025-08-25;2025-10-15
audi;a3;a3 sportback performance black hibrido mhev aut 2.0 hib;2024;audi;a3 sportb. perf. black 2.0 s-tron.(híb.);008275-9;0.7009;contains;2025-08-25;2025-10-15
audi;a3;a3 sportback s line hibrido mhev aut 2.0 hib;2024;audi;a3 sportb. s-line 2.0 tfsi s-tron.(híb.);008278-3;0.6542;contains;2025-08-25;2025-10-15
audi;a4;a4 sedan prestige 2.0 aut;2021;audi;a4 prestige 2.0 tfsi s-tronic;008247-3;0.5535;contains;2025-09-15;2025-09-15
audi;a4;a4 sedan prestige 2.0 tfsi s tronic aut;2021;audi;a4 prestige 2.0 tfsi s-tronic;008247-3;0.8336;contains;2025-09-26;2025-10-15
audi;a4;a4 sedan prestige hibrido hev aut 2.0 blindado hib;2024;audi;a4 prestige 2.0 16v tfsi quattro (híb.);008302-0;0.5132;contains;2025-10-06;2025-10-15
audi;a4;a4 sedan prestige hibrido hev aut 2.0 hib;2024;audi;a4 prestige 2.0 16v tfsi quattro (híb.);008302-0;0.5117;contains;2025-08-25;2025-10-15
audi;a4;a4 sedan prestige plus 2.0 aut;2022;audi;a4 prestige plus 2.0 tfsi 190cv s tronic;008245-7;0.5657;contains;2025-09-15;2025-09-15
audi;a4;a4 sedan prestige plus 2.0 tfsi s tronic aut;2022;audi;a4 prestige plus 2.0 tfsi 190cv s tronic;008245-7;0.7918;contains;2025-09-26;2025-10-15
audi;a5;a5 sportback performance tfsi aut 2.0;2019;audi;a5 sportb. perf. 2.0 tfsi quat. s-tronic;008230-9;0.7183;contains;2025-08-25;2025-08-25
audi;a5;a5 sportback s line hibrido hev aut 2.0 blindado hib;2023;audi;a5 sportback s-line 2.0 tfsi s-tronic;008249-0;0.5701;contains;2025-09-26;2025-09-26
audi;a5;a5 sportback s line hibrido hev aut 2.0 hib;2023;audi;a5 sportback s-line 2.0 tfsi s-tronic;008249-0;0.5989;contains;2025-08-25;2025-10-15
audi;e tron;e tron performance black 55 quattro 300k eletrico aut;2020;audi;e-tron performa. black aut. (elétrico);008258-9;0.7733;contains;2025-08-25;2025-08-25
audi;e tron;e tron sportback perfomance 95kw eletrico aut;2020;audi;e-tron sportback perf. aut. (elétrico);008259-7;0.786;contains;2025-08-31;2025-10-15
audi;e tron;e tron sportback perfomance 95kw eletrico aut;2022;audi;e-tron sportback perf. aut. (elétrico);008259-7;0.786;contains;2025-08-25;2025-09-15
audi;e tron;e tron sportback perfomance 95kw eletrico aut blindado;2022;audi;e-tron sportback perf. aut. (elétrico);008259-7;0.7149;contains;2025-10-06;2025-10-15
audi;q3;q3 performance 2.0 aut;2023;audi;q3 performance 2.0 tfsi tiptr. quattro;008284-8;0.6216;contains;2025-08-25;2025-08-25
audi;q3;q3 performance 2.0 aut;2024;audi;q3 performance 2.0 tfsi tiptr. quattro;008284-8;0.6216;contains;2025-08-25;2025-08-25
audi;q3;q3 performance 2.0 tfsi tiptronic quattro aut;2023;audi;q3 performance 2.0 tfsi tiptr. quattro;008284-8;0.807;contains;2025-08-31;2025-10-15
audi;q3;q3 performance 2.0 tfsi tiptronic quattro aut;2024;audi;q3 performance 2.0 tfsi tiptr. quattro;008284-8;0.807;contains;2025-08-31;2025-10-15
audi;q3;q3 performance black 2.0 tfsi tiptronic quattro aut tiptr;2023;audi;q3 perf. black 2.0 tfsi tiptr. quattro;008280-5;0.8481;contains;2025-08-25;2025-10-15
audi;q3;q3 performance black 2.0 tiptr;2023;audi;q3 perf. black 2.0 tfsi tiptr. quattro;008280-5;0.8038;contains;2025-08-25;2025-09-15
audi;q3;q3 prestige 2.0 aut;2024;audi;q3 prestige 2.0 tfsi tiptr.quatro;008289-9;0.6119;contains;2025-08-25;2025-09-15
audi;q3;q3 prestige 2.0 tfsi tiptronic quattro aut;2024;audi;q3 prestige 2.0 tfsi tiptr.quatro;008289-9;0.7135;contains;2025-09-26;2025-10-15
audi;q5;q5 performance 2.0 hib aut;2023;audi;q5 performance 2.0 tfsie s.tr. qt (hib.);008288-0;0.6283;contains;2025-09-15;2025-09-15
audi;q5;q5 performance 2.0 tfsi hibrido phev aut hib;2023;audi;q5 performance 2.0 tfsie s.tr. qt (hib.);008288-0;0.6042;contains;2025-09-26;2025-10-15
audi;q5;q5 performance black 2.0 hib aut;2023;audi;q5 perf. black 2.0 tfsie s.tr. qt (hib.);008285-6;0.6784;contains;2025-09-15;2025-09-15
audi;q5;q5 performance black 2.0 tfsi hibrido phev aut hib;2023;audi;q5 perf. black 2.0 tfsie s.tr. qt (hib.);008285-6;0.6458;contains;2025-09-26;2025-10-15
audi;q5;q5 prestige 2.0 aut;2023;audi;q5 prestige 2.0 tfsi quattro s tronic;008238-4;0.5601;contains;2025-08-25;2025-08-25
audi;q5;q5 prestige 2.0 tfsi stronic quattro aut;2023;audi;q5 prestige 2.0 tfsi quattro s tronic;008238-4;0.715;contains;2025-08-31;2025-09-15
audi;q5;q5 prestige 2.0 tfsi stronic quattro aut;2024;audi;q5 prestige 2.0 tfsi quattro s tronic;008238-4;0.715;contains;2025-09-26;2025-09-26
audi;q5;q5 prestige 2.0 tfsi stronic quattro aut blindado;2022;audi;q5 prestige 2.0 tfsi quattro s tronic;008238-4;0.6605;contains;2025-10-06;2025-10-10
audi;q5;q5 s line 2.0 tfsi stronic quattro aut;2021;audi;q5 s-line 2.0 tfsi quattro s-tronic;008248-1;0.7677;contains;2025-09-26;2025-10-15
audi;q5;q5 sportback performance black 2.0 hib aut;2023;audi;q5 sb p black. 2.0 tfsie s.tr. qt (hib.);008287-2;0.7251;contains;2025-08-25;2025-09-15
audi;q5;q5 sportback performance black 2.0 tfsi hibrido phev aut hib;2023;audi;q5 sb p black. 2.0 tfsie s.tr. qt (hib.);008287-2;0.6854;contains;2025-08-25;2025-10-15
audi;q8;q8 performance black 3.0 aut;2020;audi;q8 perf.black 3.0 tfsi quat. s-tr/(híb.);008250-3;0.6317;contains;2025-08-25;2025-09-15
audi;q8;q8 performance black 3.0 aut;2023;audi;q8 perf.black 3.0 tfsi quat. s-tr/(híb.);008250-3;0.6317;contains;2025-08-25;2025-09-15
audi;q8;q8 performance black 3.0 v6 tfsi tiptronic quattro aut;2020;audi;q8 perf.black 3.0 tfsi quat. s-tr/(híb.);008250-3;0.625;contains;2025-09-26;2025-10-15
