reference_year;reference_month;brand;model;type;fipe_version;fipe_code;model_year;fipe_price;m_m_price_change
2025;8;Fiat;;;Fiorino Furgão EVO 1.4 Flex 8V 2p;001413-3;2021;74069.0;
2023;12;Fiat;uno;hatch;UNO ATTRACTIVE 1.0 Fire Flex 8V 5p;001424-9;2021;48918.0;
2024;1;Fiat;uno;hatch;UNO ATTRACTIVE 1.0 Fire Flex 8V 5p;001424-9;2021;48065.0;-0.01743734412690623
2024;2;Fiat;uno;hatch;UNO ATTRACTIVE 1.0 Fire Flex 8V 5p;001424-9;2021;48298.0;0.004847602205346968
2024;3;Fiat;uno;hatch;UNO ATTRACTIVE 1.0 Fire Flex 8V 5p;001424-9;2021;48314.0;0.000331276657418611
2024;4;Fiat;uno;hatch;UNO ATTRACTIVE 1.0 Fire Flex 8V 5p;001424-9;2021;48964.0;0.013453657324999035
2024;5;Fiat;uno;hatch;UNO ATTRACTIVE 1.0 Fire Flex 8V 5p;001424-9;2021;48432.0;-0.010865125398251796
2024;6;Fiat;uno;hatch;UNO ATTRACTIVE 1.0 Fire Flex 8V 5p;001424-9;2021;48691.0;0.005347703997357067
2024;7;Fiat;uno;hatch;UNO ATTRACTIVE 1.0 Fire Flex 8V 5p;001424-9;2021;48631.0;-0.0012322605820377364
2024;8;Fiat;uno;hatch;UNO ATTRACTIVE 1.0 Fire Flex 8V 5p;001424-9;2021;48580.0;-0.0010487137833892213
2024;9;Fiat;uno;hatch;UNO ATTRACTIVE 1.0 Fire Flex 8V 5p;001424-9;2021;48461.0;-0.002449567723342927
2024;10;Fiat;uno;hatch;UNO ATTRACTIVE 1.0 Fire Flex 8V 5p;001424-9;2021;48515.0;0.0011142980953755544
2024;11;Fiat;uno;hatch;UNO ATTRACTIVE 1.0 Fire Flex 8V 5p;001424-9;2021;48648.0;0.002741420179325882
2024;12;Fiat;uno;hatch;UNO ATTRACTIVE 1.0 Fire Flex 8V 5p;001424-9;2021;48537.0;-0.0022816970892944877
2025;1;Fiat;uno;hatch;UNO ATTRACTIVE 1.0 Fire Flex 8V 5p;001424-9;2021;48412.0;-0.002575354883903036
2025;2;Fiat;uno;hatch;UNO ATTRACTIVE 1.0 Fire Flex 8V 5p;001424-9;2021;48661.0;0.005143352887713837
2025;3;Fiat;uno;hatch;UNO ATTRACTIVE 1.0 Fire Flex 8V 5p;001424-9;2021;48463.0;-0.004068966934506091
2025;4;Fiat;uno;hatch;UNO ATTRACTIVE 1.0 Fire Flex 8V 5p;001424-9;2021;47938.0;-0.010833006623609753
2025;5;Fiat;uno;hatch;UNO ATTRACTIVE 1.0 Fire Flex 8V 5p;001424-9;2021;47833.0;-0.00219032917518458
2025;6;Fiat;uno;hatch;UNO ATTRACTIVE 1.0 Fire Flex 8V 5p;001424-9;2021;47214.0;-0.012940856730708883
2025;7;Fiat;uno;hatch;UNO ATTRACTIVE 1.0 Fire Flex 8V 5p;001424-9;2021;47337.0;0.0026051594865930117
2025;8;Fiat;uno;hatch;UNO ATTRACTIVE 1.0 Fire Flex 8V 5p;001424-9;2021;46773.0;-0.0119145699980987
2025;8;Fiat;;;Toro Freedom 1.8 16V Flex Aut.;001449-4;2019;86856.0;
2023;12;Fiat;toro;pickup/vans;Toro Volcano 2.0 16V 4x4 TB Diesel Aut.;001453-2;2022;155023.0;
2024;1;Fiat;toro;pickup/vans;Toro Volcano 2.0 16V 4x4 TB Diesel Aut.;001453-2;2022;150542.0;-0.028905388232713825
2024;2;Fiat;toro;pickup/vans;Toro Volcano 2.0 16V 4x4 TB Diesel Aut.;001453-2;2022;148840.0;-0.011305814988508245
2024;3;Fiat;toro;pickup/vans;Toro Volcano 2.0 16V 4x4 TB Diesel Aut.;001453-2;2022;148942.0;0.0006852996506314657
2024;4;Fiat;toro;pickup/vans;Toro Volcano 2.0 16V 4x4 TB Diesel Aut.;001453-2;2022;149404.0;0.003101878583609663
2024;5;Fiat;toro;pickup/vans;Toro Volcano 2.0 16V 4x4 TB Diesel Aut.;001453-2;2022;144174.0;-0.03500575620465318
2024;6;Fiat;toro;pickup/vans;Toro Volcano 2.0 16V 4x4 TB Diesel Aut.;001453-2;2022;142314.0;-0.012901077864247323
2024;7;Fiat;toro;pickup/vans;Toro Volcano 2.0 16V 4x4 TB Diesel Aut.;001453-2;2022;140407.0;-0.013399946596961643
2024;8;Fiat;toro;pickup/vans;Toro Volcano 2.0 16V 4x4 TB Diesel Aut.;001453-2;2022;138804.0;-0.011416809703219899
2024;9;Fiat;toro;pickup/vans;Toro Volcano 2.0 16V 4x4 TB Diesel Aut.;001453-2;2022;137395.0;-0.010151004293824428
2024;10;Fiat;toro;pickup/vans;Toro Volcano 2.0 16V 4x4 TB Diesel Aut.;001453-2;2022;135036.0;-0.01716947487172027
2024;11;Fiat;toro;pickup/vans;Toro Volcano 2.0 16V 4x4 TB Diesel Aut.;001453-2;2022;133859.0;-0.008716194200065197
2024;12;Fiat;toro;pickup/vans;Toro Volcano 2.0 16V 4x4 TB Diesel Aut.;001453-2;2022;132666.0;-0.008912363008837687
2025;1;Fiat;toro;pickup/vans;Toro Volcano 2.0 16V 4x4 TB Diesel Aut.;001453-2;2022;131491.0;-0.008856828426273444
2025;2;Fiat;toro;pickup/vans;Toro Volcano 2.0 16V 4x4 TB Diesel Aut.;001453-2;2022;131226.0;-0.002015347057973571
2025;3;Fiat;toro;pickup/vans;Toro Volcano 2.0 16V 4x4 TB Diesel Aut.;001453-2;2022;129873.0;-0.010310456769237808
2025;4;Fiat;toro;pickup/vans;Toro Volcano 2.0 16V 4x4 TB Diesel Aut.;001453-2;2022;129902.0;0.00022329506517904107
2025;5;Fiat;toro;pickup/vans;Toro Volcano 2.0 16V 4x4 TB Diesel Aut.;001453-2;2022;128389.0;-0.011647241766870375
2025;6;Fiat;toro;pickup/vans;Toro Volcano 2.0 16V 4x4 TB Diesel Aut.;001453-2;2022;126978.0;-0.010990038087375087
2025;7;Fiat;toro;pickup/vans;Toro Volcano 2.0 16V 4x4 TB Diesel Aut.;001453-2;2022;126550.0;-0.0033706626344721657
2025;8;Fiat;toro;pickup/vans;Toro Volcano 2.0 16V 4x4 TB Diesel Aut.;001453-2;2022;126237.0;-0.0024733306993283133
2023;12;Fiat;toro;pickup/vans;Toro Volcano 2.0 16V 4x4 TB Diesel Aut.;001453-2;2023;166784.0;
2024;1;Fiat;toro;pickup/vans;Toro Volcano 2.0 16V 4x4 TB Diesel Aut.;001453-2;2023;164764.0;-0.012111473522640082
2024;2;Fiat;toro;pickup/vans;Toro Volcano 2.0 16V 4x4 TB Diesel Aut.;001453-2;2023;162431.0;-0.014159646524726233
2024;3;Fiat;toro;pickup/vans;Toro Volcano 2.0 16V 4x4 TB Diesel Aut.;001453-2;2023;161368.0;-0.00654431727933702
2024;4;Fiat;toro;pickup/vans;Toro Volcano 2.0 16V 4x4 TB Diesel Aut.;001453-2;2023;159966.0;-0.008688215755292217
2024;5;Fiat;toro;pickup/vans;Toro Volcano 2.0 16V 4x4 TB Diesel Aut.;001453-2;2023;157512.0;-0.015340759911481205
2024;6;Fiat;toro;pickup/vans;Toro Volcano 2.0 16V 4x4 TB Diesel Aut.;001453-2;2023;157573.0;0.0003872720808573149
2024;7;Fiat;toro;pickup/vans;Toro Volcano 2.0 16V 4x4 TB Diesel Aut.;001453-2;2023;155438.0;-0.013549275573860986
2024;8;Fiat;toro;pickup/vans;Toro Volcano 2.0 16V 4x4 TB Diesel Aut.;001453-2;2023;157471.0;0.01307916982977142
2024;9;Fiat;toro;pickup/vans;Toro Volcano 2.0 16V 4x4 TB Diesel Aut.;001453-2;2023;154458.0;-0.019133681757275922
2024;10;Fiat;toro;pickup/vans;Toro Volcano 2.0 16V 4x4 TB Diesel Aut.;001453-2;2023;153187.0;-0.008228774165145225
2024;11;Fiat;toro;pickup/vans;Toro Volcano 2.0 16V 4x4 TB Diesel Aut.;001453-2;2023;151700.0;-0.009707090027221588
2024;12;Fiat;toro;pickup/vans;Toro Volcano 2.0 16V 4x4 TB Diesel Aut.;001453-2;2023;150900.0;-0.005273566249175965
2025;1;Fiat;toro;pickup/vans;Toro Volcano 2.0 16V 4x4 TB Diesel Aut.;001453-2;2023;148881.0;-0.013379721669980138
2025;2;Fiat;toro;pickup/vans;Toro Volcano 2.0 16V 4x4 TB Diesel Aut.;001453-2;2023;147482.0;-0.009396766545093027
2025;3;Fiat;toro;pickup/vans;Toro Volcano 2.0 16V 4x4 TB Diesel Aut.;001453-2;2023;146285.0;-0.008116244694267749
