snapshot_date;snapshot_year;snapshot_month;type;brand;model;fipe_version;fipe_code;manufacture_year;model_year;offer_price;fipe_price;premium_vs_fipe_price;fipe_code_model_year;model_model_year
2025-08-25;2025;8;hatch;renault;kwid;KWID Zen 1.0 Flex 12V 5p Mec.;025266-2;2022;2023;50400;50446.0;-0.0009118661539071482;025266-2_2023;kwid_2023
2025-08-25;2025;8;hatch;renault;kwid;KWID Zen 1.0 Flex 12V 5p Mec.;025266-2;2023;2024;51000;60247.0;-0.15348482082095374;025266-2_2024;kwid_2024
2025-08-25;2025;8;hatch;renault;kwid;KWID Zen 1.0 Flex 12V 5p Mec.;025266-2;2023;2024;51000;62420.0;-0.18295418135213073;025266-2_2024;kwid_2024
2025-08-25;2025;8;hatch;renault;kwid;KWID Zen 1.0 Flex 12V 5p Mec.;025266-2;2023;2024;51000;59115.0;-0.1372748033494037;025266-2_2024;kwid_2024
2025-08-25;2025;8;hatch;renault;kwid;KWID Zen 1.0 Flex 12V 5p Mec.;025266-2;2022;2023;51900;56661.0;-0.0840260496637899;025266-2_2023;kwid_2023
2025-08-25;2025;8;hatch;renault;kwid;KWID Zen 1.0 Flex 12V 5p Mec.;025266-2;2023;2024;52000;59115.0;-0.12035862302292143;025266-2_2024;kwid_2024
2025-08-25;2025;8;hatch;renault;kwid;KWID Zen 1.0 Flex 12V 5p Mec.;025266-2;2023;2024;52000;59115.0;-0.12035862302292143;025266-2_2024;kwid_2024
2025-08-25;2025;8;hatch;renault;kwid;KWID Zen 1.0 Flex 12V 5p Mec.;025266-2;2023;2024;52000;59115.0;-0.12035862302292143;025266-2_2024;kwid_2024
2025-08-25;2025;8;hatch;renault;kwid;KWID Zen 1.0 Flex 12V 5p Mec.;025266-2;2023;2024;52000;60247.0;-0.13688648397430578;025266-2_2024;kwid_2024
2025-08-25;2025;8;hatch;renault;kwid;KWID Zen 1.0 Flex 12V 5p Mec.;025266-2;2023;2024;52000;60247.0;-0.13688648397430578;025266-2_2024;kwid_2024
2025-08-25;2025;8;hatch;renault;kwid;KWID Zen 1.0 Flex 12V 5p Mec.;025266-2;2023;2024;52000;60247.0;-0.13688648397430578;025266-2_2024;kwid_2024
2025-08-25;2025;8;hatch;renault;kwid;KWID Zen 1.0 Flex 12V 5p Mec.;025266-2;2023;2024;52000;60247.0;-0.13688648397430578;025266-2_2024;kwid_2024
2025-08-25;2025;8;hatch;renault;kwid;KWID Zen 1.0 Flex 12V 5p Mec.;025266-2;2023;2024;52000;59115.0;-0.12035862302292143;025266-2_2024;kwid_2024
2025-08-25;2025;8;hatch;renault;kwid;KWID Zen 1.0 Flex 12V 5p Mec.;025266-2;2022;2023;52000;55029.0;-0.05504370422867942;025266-2_2023;kwid_2023
2025-08-25;2025;8;hatch;renault;kwid;KWID Zen 1.0 Flex 12V 5p Mec.;025266-2;2023;2024;52000;60247.0;-0.13688648397430578;025266-2_2024;kwid_2024
2025-08-25;2025;8;hatch;renault;kwid;KWID Zen 1.0 Flex 12V 5p Mec.;025266-2;2023;2024;52000;62420.0;-0.1669336751041333;025266-2_2024;kwid_2024
2025-08-25;2025;8;hatch;renault;kwid;KWID Zen 1.0 Flex 12V 5p Mec.;025266-2;2023;2024;52000;59115.0;-0.12035862302292143;025266-2_2024;kwid_2024
2025-08-25;2025;8;hatch;renault;kwid;KWID Zen 1.0 Flex 12V 5p Mec.;025266-2;2023;2024;52000;60247.0;-0.13688648397430578;025266-2_2024;kwid_2024
2025-08-25;2025;8;hatch;renault;kwid;KWID Zen 1.0 Flex 12V 5p Mec.;025266-2;2023;2024;52000;60247.0;-0.13688648397430578;025266-2_2024;kwid_2024
2025-08-25;2025;8;hatch;renault;kwid;KWID Zen 1.0 Flex 12V 5p Mec.;025266-2;2023;2024;52000;59115.0;-0.12035862302292143;025266-2_2024;kwid_2024
2025-08-25;2025;8;hatch;renault;kwid;KWID Zen 1.0 Flex 12V 5p Mec.;025266-2;2023;2024;52000;60247.0;-0.13688648397430578;025266-2_2024;kwid_2024
2025-08-25;2025;8;hatch;renault;kwid;KWID Zen 1.0 Flex 12V 5p Mec.;025266-2;2023;2024;52000;60247.0;-0.13688648397430578;025266-2_2024;kwid_2024
2025-08-25;2025;8;hatch;renault;kwid;KWID Zen 1.0 Flex 12V 5p Mec.;025266-2;2023;2024;52000;62420.0;-0.1669336751041333;025266-2_2024;kwid_2024
2025-08-25;2025;8;hatch;renault;kwid;KWID Zen 1.0 Flex 12V 5p Mec.;025266-2;2023;2024;52000;59115.0;-0.12035862302292143;025266-2_2024;kwid_2024
2025-08-25;2025;8;hatch;renault;kwid;KWID Zen 1.0 Flex 12V 5p Mec.;025266-2;2023;2024;52000;59115.0;-0.12035862302292143;025266-2_2024;kwid_2024
2025-08-25;2025;8;hatch;renault;kwid;KWID Zen 1.0 Flex 12V 5p Mec.;025266-2;2023;2024;52000;59845.0;-0.1310886456679756;025266-2_2024;kwid_2024
2025-08-25;2025;8;hatch;renault;kwid;KWID Zen 1.0 Flex 12V 5p Mec.;025266-2;2023;2024;52000;60247.0;-0.13688648397430578;025266-2_2024;kwid_2024
2025-08-25;2025;8;hatch;renault;kwid;KWID Zen 1.0 Flex 12V 5p Mec.;025266-2;2023;2024;52000;62420.0;-0.1669336751041333;025266-2_2024;kwid_2024
2025-08-25;2025;8;hatch;renault;kwid;KWID Zen 1.0 Flex 12V 5p Mec.;025266-2;2023;2024;52000;60247.0;-0.13688648397430578;025266-2_2024;kwid_2024
2025-08-25;2025;8;hatch;renault;kwid;KWID Zen 1.0 Flex 12V 5p Mec.;025266-2;2023;2024;52000;60247.0;-0.13688648397430578;025266-2_2024;kwid_2024
2025-08-25;2025;8;hatch;renault;kwid;KWID Zen 1.0 Flex 12V 5p Mec.;025266-2;2023;2024;52000;59845.0;-0.1310886456679756;025266-2_2024;kwid_2024
2025-08-25;2025;8;hatch;renault;kwid;KWID Zen 1.0 Flex 12V 5p Mec.;025266-2;2023;2024;52000;59115.0;-0.12035862302292143;025266-2_2024;kwid_2024
2025-08-25;2025;8;hatch;renault;kwid;KWID Zen 1.0 Flex 12V 5p Mec.;025266-2;2023;2024;52000;60247.0;-0.13688648397430578;025266-2_2024;kwid_2024
2025-08-25;2025;8;hatch;renault;kwid;KWID Zen 1.0 Flex 12V 5p Mec.;025266-2;2023;2024;52000;60247.0;-0.13688648397430578;025266-2_2024;kwid_2024
2025-08-25;2025;8;hatch;renault;kwid;KWID Zen 1.0 Flex 12V 5p Mec.;025266-2;2023;2024;52000;62420.0;-0.1669336751041333;025266-2_2024;kwid_2024
2025-08-25;2025;8;hatch;renault;kwid;KWID Zen 1.0 Flex 12V 5p Mec.;025266-2;2023;2024;52000;59115.0;-0.12035862302292143;025266-2_2024;kwid_2024
2025-08-25;2025;8;hatch;renault;kwid;KWID Zen 1.0 Flex 12V 5p Mec.;025266-2;2023;2024;52000;58760.0;-0.11504424778761062;025266-2_2024;kwid_2024
2025-08-25;2025;8;hatch;renault;kwid;KWID Zen 1.0 Flex 12V 5p Mec.;025266-2;2023;2024;52000;59845.0;-0.1310886456679756;025266-2_2024;kwid_2024
2025-08-25;2025;8;hatch;renault;kwid;KWID Zen 1.0 Flex 12V 5p Mec.;025266-2;2023;2024;52000;62420.0;-0.1669336751041333;025266-2_2024;kwid_2024
2025-08-25;2025;8;hatch;renault;kwid;KWID Zen 1.0 Flex 12V 5p Mec.;025266-2;2022;2023;52300;55559.0;-0.05865836318148275;025266-2_2023;kwid_2023
2025-08-25;2025;8;hatch;renault;kwid;KWID Zen 1.0 Flex 12V 5p Mec.;025266-2;2022;2023;52700;55559.0;-0.05145880955380766;025266-2_2023;kwid_2023
2025-08-25;2025;8;hatch;renault;kwid;KWID Zen 1.0 Flex 12V 5p Mec.;025266-2;2023;2024;52800;60247.0;-0.1236078144969874;025266-2_2024;kwid_2024
2025-08-25;2025;8;hatch;renault;kwid;KWID Zen 1.0 Flex 12V 5p Mec.;025266-2;2023;2024;52800;58760.0;-0.10142954390742001;025266-2_2024;kwid_2024
2025-08-25;2025;8;hatch;renault;kwid;KWID Zen 1.0 Flex 12V 5p Mec.;025266-2;2023;2024;52800;59845.0;-0.11772077867825215;025266-2_2024;kwid_2024
2025-08-25;2025;8;hatch;renault;kwid;KWID Zen 1.0 Flex 12V 5p Mec.;025266-2;2022;2023;52800;56661.0;-0.0681421083284799;025266-2_2023;kwid_2023
2025-08-25;2025;8;hatch;renault;kwid;KWID Zen 1.0 Flex 12V 5p Mec.;025266-2;2023;2024;53000;60247.0;-0.12028814712765781;025266-2_2024;kwid_2024
2025-08-25;2025;8;hatch;renault;kwid;KWID Zen 1.0 Flex 12V 5p Mec.;025266-2;2023;2024;53000;60247.0;-0.12028814712765781;025266-2_2024;kwid_2024
2025-08-25;2025;8;hatch;renault;kwid;KWID Zen 1.0 Flex 12V 5p Mec.;025266-2;2023;2024;53000;60247.0;-0.12028814712765781;025266-2_2024;kwid_2024
2025-08-25;2025;8;hatch;renault;kwid;KWID Zen 1.0 Flex 12V 5p Mec.;025266-2;2023;2024;53000;59115.0;-0.10344244269643914;025266-2_2024;kwid_2024
2025-08-25;2025;8;hatch;renault;kwid;KWID Zen 1.0 Flex 12V 5p Mec.;025266-2;2023;2024;53000;60247.0;-0.12028814712765781;025266-2_2024;kwid_2024
2025-08-25;2025;8;hatch;renault;kwid;KWID Zen 1.0 Flex 12V 5p Mec.;025266-2;2023;2024;53000;60247.0;-0.12028814712765781;025266-2_2024;kwid_2024
2025-08-25;2025;8;hatch;renault;kwid;KWID Zen 1.0 Flex 12V 5p Mec.;025266-2;2023;2024;53000;59115.0;-0.10344244269643914;025266-2_2024;kwid_2024
2025-08-25;2025;8;hatch;renault;kwid;KWID Zen 1.0 Flex 12V 5p Mec.;025266-2;2023;2024;53000;62420.0;-0.15091316885613584;025266-2_2024;kwid_2024
2025-08-25;2025;8;hatch;renault;kwid;KWID Zen 1.0 Flex 12V 5p Mec.;025266-2;2023;2024;53000;59115.0;-0.10344244269643914;025266-2_2024;kwid_2024
2025-08-25;2025;8;hatch;renault;kwid;KWID Zen 1.0 Flex 12V 5p Mec.;025266-2;2023;2024;53000;59115.0;-0.10344244269643914;025266-2_2024;kwid_2024
2025-08-25;2025;8;hatch;renault;kwid;KWID Zen 1.0 Flex 12V 5p Mec.;025266-2;2023;2024;53000;60247.0;-0.12028814712765781;025266-2_2024;kwid_2024
2025-08-25;2025;8;hatch;renault;kwid;KWID Zen 1.0 Flex 12V 5p Mec.;025266-2;2023;2024;53000;60247.0;-0.12028814712765781;025266-2_2024;kwid_2024
2025-08-25;2025;8;hatch;renault;kwid;KWID Zen 1.0 Flex 12V 5p Mec.;025266-2;2023;2024;53000;59845.0;-0.11437881193082129;025266-2_2024;kwid_2024
2025-08-25;2025;8;hatch;renault;kwid;KWID Zen 1.0 Flex 12V 5p Mec.;025266-2;2023;2024;53000;59115.0;-0.10344244269643914;025266-2_2024;kwid_2024
2025-08-25;2025;8;hatch;renault;kwid;KWID Zen 1.0 Flex 12V 5p Mec.;025266-2;2023;2024;53000;59954.0;-0.11598892484237916;025266-2_2024;kwid_2024
2025-08-25;2025;8;hatch;renault;kwid;KWID Zen 1.0 Flex 12V 5p Mec.;025266-2;2023;2024;53000;58760.0;-0.09802586793737236;025266-2_2024;kwid_2024
2025-08-25;2025;8;hatch;renault;kwid;KWID Zen 1.0 Flex 12V 5p Mec.;025266-2;2023;2024;53000;60247.0;-0.12028814712765781;025266-2_2024;kwid_2024
2025-08-25;2025;8;hatch;renault;kwid;KWID Zen 1.0 Flex 12V 5p Mec.;025266-2;2023;2024;53000;60247.0;-0.12028814712765781;025266-2_2024;kwid_2024
2025-08-25;2025;8;hatch;renault;kwid;KWID Zen 1.0 Flex 12V 5p Mec.;025266-2;2023;2024;53000;59845.0;-0.11437881193082129;025266-2_2024;kwid_2024
2025-08-25;2025;8;hatch;renault;kwid;KWID Zen 1.0 Flex 12V 5p Mec.;025266-2;2023;2024;53000;59115.0;-0.10344244269643914;025266-2_2024;kwid_2024
2025-08-25;2025;8;hatch;renault;kwid;KWID Zen 1.0 Flex 12V 5p Mec.;025266-2;2023;2024;53000;59954.0;-0.11598892484237916;025266-2_2024;kwid_2024
2025-08-25;2025;8;hatch;renault;kwid;KWID Zen 1.0 Flex 12V 5p Mec.;025266-2;2023;2024;53000;58760.0;-0.09802586793737236;025266-2_2024;kwid_2024
2025-08-25;2025;8;hatch;renault;kwid;KWID Zen 1.0 Flex 12V 5p Mec.;025266-2;2023;2024;53000;62420.0;-0.15091316885613584;025266-2_2024;kwid_2024
2025-08-25;2025;8;hatch;renault;kwid;KWID Zen 1.0 Flex 12V 5p Mec.;025266-2;2023;2024;53000;59115.0;-0.10344244269643914;025266-2_2024;kwid_2024
2025-08-25;2025;8;hatch;renault;kwid;KWID Zen 1.0 Flex 12V 5p Mec.;025266-2;2023;2024;53000;59115.0;-0.10344244269643914;025266-2_2024;kwid_2024
2025-08-25;2025;8;hatch;renault;kwid;KWID Zen 1.0 Flex 12V 5p Mec.;025266-2;2023;2024;53000;60247.0;-0.12028814712765781;025266-2_2024;kwid_2024
2025-08-25;2025;8;hatch;renault;kwid;KWID Zen 1.0 Flex 12V 5p Mec.;025266-2;2023;2024;53000;60247.0;-0.12028814712765781;025266-2_2024;kwid_2024
2025-08-25;2025;8;hatch;renault;kwid;KWID Zen 1.0 Flex 12V 5p Mec.;025266-2;2023;2024;53000;59115.0;-0.10344244269643914;025266-2_2024;kwid_2024
2025-08-25;2025;8;hatch;renault;kwid;KWID Zen 1.0 Flex 12V 5p Mec.;025266-2;2023;2024;53000;60247.0;-0.12028814712765781;025266-2_2024;kwid_2024
2025-08-25;2025;8;hatch;renault;kwid;KWID Zen 1.0 Flex 12V 5p Mec.;025266-2;2023;2024;53000;60247.0;-0.12028814712765781;025266-2_2024;kwid_2024
2025-08-25;2025;8;hatch;renault;kwid;KWID Zen 1.0 Flex 12V 5p Mec.;025266-2;2023;2024;53000;59115.0;-0.10344244269643914;025266-2_2024;kwid_2024
2025-08-25;2025;8;hatch;renault;kwid;KWID Zen 1.0 Flex 12V 5p Mec.;025266-2;2023;2024;53000;62420.0;-0.15091316885613584;025266-2_2024;kwid_2024
2025-08-25;2025;8;hatch;renault;kwid;KWID Zen 1.0 Flex 12V 5p Mec.;025266-2;2023;2024;53000;59115.0;-0.10344244269643914;025266-2_2024;kwid_2024
