fipe_code;model_year;localiza_count;movida_count;total_count;localiza_present;movida_present
005540-9;2025;732;248;980;True;True
005540-9;2024;341;502;843;True;True
001461-3;2024;628;61;689;True;True
004517-9;2024;682;0;682;True;False
001494-0;2025;584;76;660;True;True
004517-9;2025;612;2;614;True;True
001536-9;2024;536;1;537;True;True
015245-5;2025;474;47;521;True;True
025266-2;2024;176;225;401;True;True
005526-3;2024;394;2;396;True;True
017088-7;2024;388;7;395;True;True
015245-5;2024;393;1;394;True;True
025266-2;2025;41;335;376;True;True
001461-3;2025;234;130;364;True;True
004519-5;2024;0;303;303;False;True
005510-7;2024;171;125;296;True;True
025290-5;2025;2;293;295;True;True
015234-0;2025;203;89;292;True;True
015239-0;2025;167;94;261;True;True
004518-7;2025;251;0;251;True;False
001461-3;2023;209;38;247;True;True
001494-0;2024;221;15;236;True;True
001505-9;2024;232;2;234;True;True
004525-0;2024;224;0;224;True;False
015190-4;2025;7;203;210;True;True
004502-0;2024;203;5;208;True;True
005509-3;2024;190;6;196;True;True
017071-2;2024;190;3;193;True;True
001553-9;2025;152;30;182;True;True
005528-0;2023;181;0;181;True;False
005525-5;2024;93;85;178;True;True
001553-9;2024;162;14;176;True;True
024264-0;2024;147;29;176;True;True
001526-1;2023;160;8;168;True;True
002207-1;2025;0;165;165;False;True
015234-0;2024;134;30;164;True;True
004518-7;2024;163;0;163;True;False
005510-7;2025;74;81;155;True;True
004522-5;2024;152;2;154;True;True
001544-0;2024;116;29;145;True;True
004502-0;2023;137;6;143;True;True
015236-6;2024;131;0;131;True;False
005533-6;2024;100;30;130;True;True
004522-5;2025;124;5;129;True;True
023178-9;2024;117;10;127;True;True
002168-7;2025;0;123;123;False;True
001569-5;2025;107;14;121;True;True
011223-2;2024;116;4;120;True;True
015240-4;2025;118;1;119;True;True
015240-4;2024;116;0;116;True;False
004504-7;2025;113;1;114;True;True
001569-5;2024;88;23;111;True;True
005509-3;2025;66;44;110;True;True
001531-8;2024;97;11;108;True;True
005508-5;2024;106;0;106;True;False
005535-2;2024;27;79;106;True;True
001509-1;2025;81;23;104;True;True
015244-7;2025;101;1;102;True;True
005508-5;2025;97;4;101;True;True
017088-7;2023;95;2;97;True;True
004502-0;2025;93;2;95;True;True
005538-7;2024;39;49;88;True;True
015239-0;2024;87;1;88;True;True
001509-1;2024;66;21;87;True;True
004504-7;2024;86;0;86;True;False
004494-6;2025;85;0;85;True;False
017071-2;2023;77;7;84;True;True
025301-4;2024;83;1;84;True;True
001531-8;2025;73;8;81;True;True
005534-4;2024;77;1;78;True;True
015215-3;2024;78;0;78;True;False
004515-2;2024;70;2;72;True;True
025266-2;2023;62;10;72;True;True
017071-2;2025;70;0;70;True;False
005538-7;2025;46;22;68;True;True
001494-0;2023;59;8;67;True;True
001509-1;2023;49;15;64;True;True
017088-7;2025;60;4;64;True;True
001542-3;2024;55;6;61;True;True
005535-2;2025;55;6;61;True;True
005527-1;2023;59;0;59;True;False
001505-9;2025;53;4;57;True;True
004525-0;2025;56;1;57;True;True
005492-5;2023;53;3;56;True;True
004494-6;2024;54;0;54;True;False
004503-9;2023;54;0;54;True;False
015244-7;2024;54;0;54;True;False
004541-1;2025;52;1;53;True;True
005508-5;2023;53;0;53;True;False
005484-4;2024;52;0;52;True;False
004516-0;2025;51;0;51;True;False
005528-0;2024;51;0;51;True;False
015165-3;2024;51;0;51;True;False
017071-2;2022;49;1;50;True;True
001542-3;2025;48;1;49;True;True
004517-9;2023;43;5;48;True;True
017081-0;2023;48;0;48;True;False
025300-6;2024;48;0;48;True;False
001554-7;2024;45;2;47;True;True
005543-3;2024;24;23;47;True;True
004525-0;2023;45;1;46;True;True
001538-5;2024;44;1;45;True;True
001554-7;2025;45;0;45;True;False
004494-6;2023;45;0;45;True;False
015235-8;2025;44;1;45;True;True
023186-0;2024;42;3;45;True;True
004538-1;2023;44;0;44;True;False
025267-0;2025;1;43;44;True;True
017035-6;2021;43;0;43;True;False
004516-0;2024;39;0;39;True;False
005509-3;2023;38;0;38;True;False
017081-0;2024;37;0;37;True;False
023187-8;2024;36;0;36;True;False
001538-5;2025;35;0;35;True;False
002203-9;2025;0;35;35;False;True
011223-2;2025;23;11;34;True;True
004413-0;2024;31;2;33;True;True
004501-2;2024;33;0;33;True;False
005508-5;2022;32;0;32;True;False
005542-5;2025;31;1;32;True;True
017085-2;2024;11;21;32;True;True
004532-2;2024;31;0;31;True;False
005485-2;2024;30;1;31;True;True
005527-1;2024;26;5;31;True;True
001505-9;2023;29;0;29;True;False
005542-5;2024;24;4;28;True;True
017081-0;2025;28;0;28;True;False
001544-0;2025;9;18;27;True;True
001558-0;2024;26;1;27;True;True
004541-1;2024;27;0;27;True;False
005526-3;2023;27;0;27;True;False
005536-0;2025;25;2;27;True;True
001530-0;2024;25;1;26;True;True
011232-1;2025;26;0;26;True;False
015235-8;2024;26;0;26;True;False
002111-3;2023;25;0;25;True;False
004500-4;2024;25;0;25;True;False
025328-6;2025;0;25;25;False;True
001530-0;2025;23;1;24;True;True
004501-2;2025;15;9;24;True;True
024263-2;2024;24;0;24;True;False
025322-7;2024;24;0;24;True;False
017082-8;2023;23;0;23;True;False
005459-3;2023;22;0;22;True;False
005536-0;2024;22;0;22;True;False
001453-2;2023;21;0;21;True;False
015233-1;2024;21;0;21;True;False
025290-5;2024;0;21;21;False;True
005538-7;2023;0;20;20;False;True
001558-0;2025;18;1;19;True;True
005543-3;2025;13;6;19;True;True
015217-0;2024;17;2;19;True;True
004515-2;2025;16;2;18;True;True
004518-7;2023;18;0;18;True;False
015236-6;2025;17;1;18;True;True
001526-1;2022;13;4;17;True;True
001538-5;2023;17;0;17;True;False
004395-8;2024;16;1;17;True;True
004519-5;2025;9;8;17;True;True
004540-3;2024;17;0;17;True;False
008279-1;2024;17;0;17;True;False
023180-0;2024;16;1;17;True;True
096002-0;2025;17;0;17;True;False
001453-2;2024;15;1;16;True;True
001536-9;2025;0;16;16;False;True
001554-7;2023;16;0;16;True;False
001555-5;2024;16;0;16;True;False
015200-5;2024;16;0;16;True;False
017081-0;2022;15;1;16;True;True
017088-7;2022;14;2;16;True;True
001531-8;2023;14;1;15;True;True
004515-2;2023;15;0;15;True;False
005490-9;2023;15;0;15;True;False
005526-3;2021;15;0;15;True;False
001542-3;2023;10;4;14;True;True
004504-7;2023;14;0;14;True;False
025322-7;2025;14;0;14;True;False
025327-8;2025;0;14;14;False;True
004502-0;2022;13;0;13;True;False
005525-5;2023;12;1;13;True;True
005528-0;2022;13;0;13;True;False
015237-4;2025;12;1;13;True;True
001558-0;2023;12;0;12;True;False
009172-3;2022;12;0;12;True;False
011223-2;2023;11;1;12;True;True
015190-4;2024;12;0;12;True;False
015238-2;2024;12;0;12;True;False
017082-8;2025;12;0;12;True;False
023187-8;2023;12;0;12;True;False
024264-0;2023;12;0;12;True;False
025300-6;2023;12;0;12;True;False
004522-5;2023;11;0;11;True;False
004532-2;2025;11;0;11;True;False
005485-2;2025;10;1;11;True;True
005526-3;2022;11;0;11;True;False
024249-7;2024;8;3;11;True;True
004413-0;2023;5;5;10;True;True
004512-8;2024;10;0;10;True;False
015202-1;2024;10;0;10;True;False
015218-8;2024;8;2;10;True;True
017070-4;2022;10;0;10;True;False
001494-0;2022;9;0;9;True;False
015237-4;2024;7;2;9;True;True
001509-1;2022;8;0;8;True;False
002207-1;2024;0;8;8;False;True
004512-8;2025;8;0;8;True;False
004513-6;2023;8;0;8;True;False
005485-2;2022;8;0;8;True;False
005493-3;2022;8;0;8;True;False
005509-3;2022;8;0;8;True;False
005540-9;2023;2;6;8;True;True
009164-2;2024;8;0;8;True;False
015213-7;2024;8;0;8;True;False
015243-9;2025;7;1;8;True;True
017070-4;2023;7;1;8;True;True
017075-5;2022;8;0;8;True;False
025266-2;2022;8;0;8;True;False
001453-2;2025;7;0;7;True;False
001461-3;2022;5;2;7;True;True
001556-3;2024;7;0;7;True;False
002142-3;2024;6;1;7;True;True
005510-7;2023;7;0;7;True;False
011230-5;2025;7;0;7;True;False
015206-4;2024;7;0;7;True;False
017070-4;2025;7;0;7;True;False
017075-5;2023;5;2;7;True;True
017085-2;2023;7;0;7;True;False
001544-0;2023;6;0;6;True;False
003363-4;2023;6;0;6;True;False
004550-0;2025;6;0;6;True;False
005534-4;2025;6;0;6;True;False
011226-7;2024;4;2;6;True;True
015209-9;2024;6;0;6;True;False
015214-5;2024;6;0;6;True;False
017080-1;2023;6;0;6;True;False
025267-0;2024;2;4;6;True;True
001530-0;2023;5;0;5;True;False
001538-5;2022;5;0;5;True;False
001553-9;2023;5;0;5;True;False
001561-0;2025;5;0;5;True;False
002203-9;2023;5;0;5;True;False
004512-8;2023;5;0;5;True;False
004525-0;2021;5;0;5;True;False
004525-0;2022;5;0;5;True;False
004529-2;2023;5;0;5;True;False
