fipe_code;model_year;localiza_count;movida_count;total_count;localiza_present;movida_present;SiglaCombustivel;codigoTipoCombustivel
005540-9;2025;1674;185;1859;True;True;F;5
001494-0;2025;990;22;1012;True;True;F;5
004517-9;2025;943;1;944;True;True;F;5
025266-2;2025;459;251;710;True;True;F;5
015239-0;2025;415;124;539;True;True;F;5
005510-7;2025;313;174;487;True;True;F;5
015245-5;2025;431;54;485;True;True;F;5
001461-3;2025;298;178;476;True;True;F;5
005525-5;2024;86;297;383;True;True;F;5
005540-9;2024;92;285;377;True;True;F;5
005538-7;2025;130;244;374;True;True;F;5
001553-9;2025;236;129;365;True;True;F;5
001461-3;2024;195;155;350;True;True;F;5
017088-7;2024;332;17;349;True;True;F;5
004517-9;2024;348;0;348;True;False;F;5
025266-2;2024;98;243;341;True;True;F;5
005526-3;2024;318;19;337;True;True;F;5
004518-7;2025;332;0;332;True;False;F;5
005510-7;2024;117;214;331;True;True;F;5
001569-5;2025;262;37;299;True;True;F;5
005508-5;2025;298;1;299;True;True;F;5
002168-7;2025;0;290;290;False;True;F;5
015190-4;2025;5;272;277;True;True;F;5
002207-1;2025;0;264;264;False;True;F;5
005509-3;2025;208;56;264;True;True;F;5
005535-2;2025;123;111;234;True;True;F;5
015247-1;2025;0;232;232;False;True;F;5
017088-7;2025;216;11;227;True;True;F;5
025290-5;2025;1;216;217;True;True;F;5
015235-8;2025;215;0;215;True;False;F;5
005538-7;2024;38;166;204;True;True;F;5
004522-5;2025;192;8;200;True;True;F;5
001569-5;2024;131;57;188;True;True;F;5
011223-2;2025;161;18;179;True;True;F;5
015234-0;2025;143;33;176;True;True;F;5
015240-4;2025;173;3;176;True;True;F;5
025327-8;2025;63;111;174;True;True;F;5
001531-8;2025;134;38;172;True;True;F;5
004502-0;2025;167;3;170;True;True;F;5
001530-0;2025;161;5;166;True;True;F;5
017071-2;2024;153;13;166;True;True;F;5
001505-9;2025;129;35;164;True;True;F;5
004525-0;2024;161;2;163;True;True;F;5
005509-3;2024;141;17;158;True;True;F;5
024264-0;2024;124;25;149;True;True;F;5
001505-9;2024;143;0;143;True;False;F;5
001536-9;2024;135;7;142;True;True;F;5
002203-9;2025;1;135;136;True;True;F;5
017071-2;2025;118;15;133;True;True;F;5
004502-0;2024;128;2;130;True;True;F;5
004494-6;2025;128;0;128;True;False;F;5
004525-0;2025;125;3;128;True;True;F;5
015245-5;2024;120;0;120;True;False;F;5
004518-7;2024;112;2;114;True;True;F;5
001494-0;2024;109;4;113;True;True;F;5
005535-2;2024;13;100;113;True;True;F;5
015244-7;2025;83;27;110;True;True;F;5
004502-0;2023;107;2;109;True;True;F;5
001509-1;2025;96;12;108;True;True;F;5
023178-9;2024;91;17;108;True;True;F;5
001461-3;2023;72;35;107;True;True;F;5
005528-0;2023;106;1;107;True;True;F;5
001526-1;2023;90;15;105;True;True;F;5
015246-3;2025;0;105;105;False;True;F;5
001542-3;2025;102;1;103;True;True;F;5
004504-7;2025;98;0;98;True;False;F;5
017071-2;2023;93;5;98;True;True;F;5
005528-0;2024;95;0;95;True;False;F;5
004522-5;2024;91;2;93;True;True;F;5
025322-7;2025;21;71;92;True;True;F;5
015234-0;2024;56;35;91;True;True;F;5
005508-5;2023;89;0;89;True;False;F;5
001531-8;2024;76;7;83;True;True;F;5
011223-2;2024;77;6;83;True;True;F;5
015240-4;2024;79;0;79;True;False;F;5
005508-5;2024;75;2;77;True;True;F;5
004516-0;2025;76;0;76;True;False;F;5
004504-7;2024;75;0;75;True;False;F;5
004525-0;2023;72;1;73;True;True;F;5
001544-0;2024;40;30;70;True;True;F;5
001554-7;2025;65;5;70;True;True;F;5
001553-9;2024;59;10;69;True;True;F;5
004503-9;2023;66;0;66;True;False;F;5
005492-5;2023;65;0;65;True;False;F;5
001542-3;2024;59;5;64;True;True;F;5
015236-6;2025;64;0;64;True;False;F;5
001538-5;2024;56;7;63;True;True;F;5
001509-1;2023;51;3;54;True;True;F;5
005533-6;2024;39;15;54;True;True;F;5
015242-0;2025;54;0;54;True;False;F;5
005509-3;2023;53;0;53;True;False;F;5
015236-6;2024;53;0;53;True;False;F;5
001538-5;2025;46;6;52;True;True;F;5
005527-1;2024;31;21;52;True;True;F;5
017071-2;2022;47;5;52;True;True;F;5
002181-4;2024;0;51;51;False;True;F;5
005543-3;2025;23;28;51;True;True;F;5
001509-1;2024;45;5;50;True;True;F;5
004532-2;2025;48;2;50;True;True;F;5
001530-0;2024;48;1;49;True;True;F;5
004413-0;2024;44;5;49;True;True;D;3
004515-2;2024;47;2;49;True;True;F;5
025266-2;2023;32;15;47;True;True;F;5
004397-4;2025;45;0;45;True;False;D;3
011232-1;2025;45;0;45;True;False;F;5
005538-7;2023;9;35;44;True;True;F;5
005534-4;2024;43;0;43;True;False;F;5
017081-0;2023;40;2;42;True;True;F;5
004538-1;2023;41;0;41;True;False;G;1
023187-8;2024;40;0;40;True;False;G;1
014114-3;2025;39;0;39;True;False;G;1
015165-3;2024;39;0;39;True;False;F;5
001558-0;2024;34;3;37;True;True;F;5
004541-1;2025;37;0;37;True;False;F;5
005485-2;2025;29;8;37;True;True;F;5
025331-6;2025;10;26;36;True;True;F;5
004550-0;2025;35;0;35;True;False;D;3
015235-8;2024;35;0;35;True;False;F;5
001554-7;2024;30;4;34;True;True;F;5
004517-9;2023;31;3;34;True;True;F;5
017081-0;2025;33;1;34;True;True;F;5
025301-4;2024;34;0;34;True;False;F;5
001544-0;2025;14;19;33;True;True;F;5
025267-0;2025;0;33;33;False;True;F;5
005543-3;2024;9;23;32;True;True;F;5
015200-5;2025;11;21;32;True;True;F;5
001494-0;2023;28;3;31;True;True;F;5
004516-0;2024;31;0;31;True;False;F;5
015215-3;2024;31;0;31;True;False;F;5
004500-4;2024;27;1;28;True;True;F;5
004501-2;2025;15;13;28;True;True;F;5
005485-2;2024;27;1;28;True;True;F;5
005527-1;2023;28;0;28;True;False;F;5
005526-3;2023;27;0;27;True;False;F;5
004512-8;2024;25;0;25;True;False;F;5
017085-2;2024;9;16;25;True;True;F;5
015239-0;2024;23;1;24;True;True;F;5
001536-9;2025;3;20;23;True;True;F;5
004494-6;2024;22;1;23;True;True;F;5
005536-0;2025;12;11;23;True;True;F;5
005542-5;2025;23;0;23;True;False;F;5
004501-2;2024;22;0;22;True;False;F;5
023187-8;2025;22;0;22;True;False;G;1
025322-7;2024;15;6;21;True;True;F;5
005525-5;2025;0;20;20;False;True;F;5
014112-7;2024;20;0;20;True;False;H;6
