TabelaReferenciaCodigo,CodigoTipoVeiculo,CodigoMarca,CodigoModelo,AnoModeloParam,CodigoTipoCombustivelParam,Valor,Marca,Modelo,AnoModelo,CodigoFipe,Combustivel,TipoVeiculo,SiglaCombustivel,MesReferencia,Autenticacao,DataConsulta,ValorNum
325,1,,,2021,,"R$ 46.428,00",Fiat,UNO ATTRACTIVE 1.0 Fire Flex 8V 5p,2021,001424-9,Flex,1,F,setembro de 2025 ,wwpl61v3p8g6,"segunda-feira, 1 de setembro de 2025 05:59",46428.0
325,1,,,2022,,"R$ 125.641,00",Fiat,Toro Volcano 2.0 16V 4x4 TB Diesel Aut.,2022,001453-2,Diesel,1,D,setembro de 2025 ,g2m0fj26dqdm9,"segunda-feira, 1 de setembro de 2025 05:59",125641.0
325,1,,,2023,,"R$ 141.199,00",Fiat,Toro Volcano 2.0 16V 4x4 TB Diesel Aut.,2023,001453-2,Diesel,1,D,setembro de 2025 ,hnwhhnk2lndrj,"segunda-feira, 1 de setembro de 2025 05:59",141199.0
325,1,,,2024,,"R$ 160.146,00",Fiat,Toro Volcano 2.0 16V 4x4 TB Diesel Aut.,2024,001453-2,Diesel,1,D,setembro de 2025 ,jc244l9y9rdvr,"segunda-feira, 1 de setembro de 2025 05:59",160146.0
325,1,,,2025,,"R$ 166.078,00",Fiat,Toro Volcano 2.0 16V 4x4 TB Diesel Aut.,2025,001453-2,Diesel,1,D,setembro de 2025 ,jl1r10jqwfdyz,"segunda-feira, 1 de setembro de 2025 05:59",166078.0
325,1,,,2021,,"R$ 47.727,00",Fiat,MOBI LIKE 1.0 Fire Flex 5p.,2021,001461-3,Flex,1,F,setembro de 2025 ,xcxrsdp6b7g6,"segunda-feira, 1 de setembro de 2025 05:59",47727.0
325,1,,,2022,,"R$ 50.567,00",Fiat,MOBI LIKE 1.0 Fire Flex 5p.,2022,001461-3,Flex,1,F,setembro de 2025 ,yf60m84709lf,"segunda-feira, 1 de setembro de 2025 05:59",50567.0
325,1,,,2023,,"R$ 53.572,00",Fiat,MOBI LIKE 1.0 Fire Flex 5p.,2023,001461-3,Flex,1,F,setembro de 2025 ,zlf7nq224zpn,"segunda-feira, 1 de setembro de 2025 05:59",53572.0
325,1,,,2024,,"R$ 57.208,00",Fiat,MOBI LIKE 1.0 Fire Flex 5p.,2024,001461-3,Flex,1,F,setembro de 2025 ,0y2thxbjdfsw,"segunda-feira, 1 de setembro de 2025 05:59",57208.0
325,1,,,2025,,"R$ 62.759,00",Fiat,MOBI LIKE 1.0 Fire Flex 5p.,2025,001461-3,Flex,1,F,setembro de 2025 ,215fqp7bsrw3,"segunda-feira, 1 de setembro de 2025 06:00",62759.0
325,1,,,2022,,"R$ 117.503,00",Fiat,Toro Freedom 2.0 16V 4x4 TB Diesel Aut.,2022,001487-7,Diesel,1,D,setembro de 2025 ,gr26wsz614dm9,"segunda-feira, 1 de setembro de 2025 06:00",117503.0
325,1,,,2023,,"R$ 128.234,00",Fiat,Toro Freedom 2.0 16V 4x4 TB Diesel Aut.,2023,001487-7,Diesel,1,D,setembro de 2025 ,g5n73jzf8qdrj,"segunda-feira, 1 de setembro de 2025 06:00",128234.0
325,1,,,2021,,"R$ 57.435,00",Fiat,ARGO DRIVE 1.0 6V Flex,2021,001494-0,Flex,1,F,setembro de 2025 ,01q97qy3dqg6,"segunda-feira, 1 de setembro de 2025 06:00",57435.0
325,1,,,2022,,"R$ 60.438,00",Fiat,ARGO DRIVE 1.0 6V Flex,2022,001494-0,Flex,1,F,setembro de 2025 ,15ytqlm7z2lf,"segunda-feira, 1 de setembro de 2025 06:00",60438.0
325,1,,,2023,,"R$ 65.643,00",Fiat,ARGO DRIVE 1.0 6V Flex,2023,001494-0,Flex,1,F,setembro de 2025 ,34zpcklx9lpn,"segunda-feira, 1 de setembro de 2025 06:00",65643.0
325,1,,,2024,,"R$ 70.113,00",Fiat,ARGO DRIVE 1.0 6V Flex,2024,001494-0,Flex,1,F,setembro de 2025 ,5vddb6bx3ksw,"segunda-feira, 1 de setembro de 2025 06:00",70113.0
325,1,,,2025,,"R$ 77.723,00",Fiat,ARGO DRIVE 1.0 6V Flex,2025,001494-0,Flex,1,F,setembro de 2025 ,8qmdg0r4kzw3,"segunda-feira, 1 de setembro de 2025 06:00",77723.0
325,1,,,2019,,"R$ 143.900,00",Fiat,Ducato Cargo Médio 2.3 16V Diesel,2019,001498-2,Diesel,1,D,setembro de 2025 ,hr1nv1zfyndbm,"segunda-feira, 1 de setembro de 2025 06:46",143900.0
325,1,,,2022,,"R$ 67.887,00",Fiat,CRONOS DRIVE 1.3 8V Flex,2022,001505-9,Flex,1,F,setembro de 2025 ,4z89r1byl5lf,"segunda-feira, 1 de setembro de 2025 06:00",67887.0
325,1,,,2023,,"R$ 75.450,00",Fiat,CRONOS DRIVE 1.3 8V Flex,2023,001505-9,Flex,1,F,setembro de 2025 ,7vy690ybp0pn,"segunda-feira, 1 de setembro de 2025 06:00",75450.0
325,1,,,2024,,"R$ 81.763,00",Fiat,CRONOS DRIVE 1.3 8V Flex,2024,001505-9,Flex,1,F,setembro de 2025 ,97ztd3dqp7sw,"segunda-feira, 1 de setembro de 2025 06:00",81763.0
325,1,,,2025,,"R$ 84.855,00",Fiat,CRONOS DRIVE 1.3 8V Flex,2025,001505-9,Flex,1,F,setembro de 2025 ,ccd7np438qyw3,"segunda-feira, 1 de setembro de 2025 06:00",84855.0
325,1,,,2022,,"R$ 66.487,00",Fiat,CRONOS 1.3 8V Flex,2022,001506-7,Flex,1,F,setembro de 2025 ,4gwf5zltz3lf,"segunda-feira, 1 de setembro de 2025 06:00",66487.0
325,1,,,2022,,"R$ 59.092,00",Fiat,ARGO 1.0 6V Flex,2022,001509-1,Flex,1,F,setembro de 2025 ,1n5lk56tk1dny,"segunda-feira, 1 de setembro de 2025 06:00",59092.0
325,1,,,2023,,"R$ 62.472,00",Fiat,ARGO 1.0 6V Flex,2023,001509-1,Flex,1,F,setembro de 2025 ,2ys3x0pcd6dr5,"segunda-feira, 1 de setembro de 2025 06:00",62472.0
325,1,,,2024,,"R$ 69.199,00",Fiat,ARGO 1.0 6V Flex,2024,001509-1,Flex,1,F,setembro de 2025 ,5hn5syjhd6dwd,"segunda-feira, 1 de setembro de 2025 06:00",69199.0
325,1,,,2025,,"R$ 75.670,00",Fiat,ARGO 1.0 6V Flex,2025,001509-1,Flex,1,F,setembro de 2025 ,7yj55jlq0xdzm,"segunda-feira, 1 de setembro de 2025 06:00",75670.0
325,1,,,2024,,"R$ 86.842,00",Fiat,ARGO TREKKING 1.3 8V Flex,2024,001519-9,Flex,1,F,setembro de 2025 ,cc5jwbz73qwsw,"segunda-feira, 1 de setembro de 2025 06:00",86842.0
325,1,,,2022,,"R$ 106.496,00",Fiat,Toro Endurance 2.0 16V 4x4 Diesel Aut.,2022,001520-2,Diesel,1,D,setembro de 2025 ,gb54pkmy9mdm9,"segunda-feira, 1 de setembro de 2025 06:00",106496.0
325,1,,,2022,,"R$ 70.742,00",Fiat,Strada Endurance 1.4 Flex 8V CS Plus,2022,001526-1,Flex,1,F,setembro de 2025 ,52r0ncm637lf,"segunda-feira, 1 de setembro de 2025 06:00",70742.0
325,1,,,2023,,"R$ 77.439,00",Fiat,Strada Endurance 1.4 Flex 8V CS Plus,2023,001526-1,Flex,1,F,setembro de 2025 ,8l85hgrx7dpn,"segunda-feira, 1 de setembro de 2025 06:00",77439.0
325,1,,,2024,,"R$ 95.401,00",Fiat,Strada Freedom 1.3 Flex 8V  CS Plus,2024,001527-0,Flex,1,F,setembro de 2025 ,chdwtc4xd2rsw,"segunda-feira, 1 de setembro de 2025 06:00",95401.0
325,1,,,2023,,"R$ 99.292,00",Fiat,Strada Freedom 1.3 Flex 8V CD,2023,001530-0,Flex,1,F,setembro de 2025 ,cjwh2gcsxhlpn,"segunda-feira, 1 de setembro de 2025 06:00",99292.0
325,1,,,2024,,"R$ 102.580,00",Fiat,Strada Freedom 1.3 Flex 8V CD,2024,001530-0,Flex,1,F,setembro de 2025 ,f6ls9w8vdsdwd,"segunda-feira, 1 de setembro de 2025 06:00",102580.0
325,1,,,2025,,"R$ 110.020,00",Fiat,Strada Freedom 1.3 Flex 8V CD,2025,001530-0,Flex,1,F,setembro de 2025 ,gg97cwl48sdzm,"segunda-feira, 1 de setembro de 2025 06:00",110020.0
325,1,,,2021,,"R$ 75.501,00",Fiat,Fiorino Endurance EVO 1.4 Flex 8V 2p,2021,001531-8,Flex,1,F,setembro de 2025 ,7wkry2bxgrg6,"segunda-feira, 1 de setembro de 2025 06:00",75501.0
325,1,,,2022,,"R$ 81.065,00",Fiat,Fiorino Endurance EVO 1.4 Flex 8V 2p,2022,001531-8,Flex,1,F,setembro de 2025 ,9zs3npvq85lf,"segunda-feira, 1 de setembro de 2025 06:00",81065.0
325,1,,,2023,,"R$ 85.763,00",Fiat,Fiorino Endurance EVO 1.4 Flex 8V 2p,2023,001531-8,Flex,1,F,setembro de 2025 ,ccrwpnfww3xpn,"segunda-feira, 1 de setembro de 2025 06:00",85763.0
325,1,,,2024,,"R$ 90.624,00",Fiat,Fiorino Endurance EVO 1.4 Flex 8V 2p,2024,001531-8,Flex,1,F,setembro de 2025 ,cflwh7444vysw,"segunda-feira, 1 de setembro de 2025 06:00",90624.0
325,1,,,2025,,"R$ 102.502,00",Fiat,Fiorino Endurance EVO 1.4 Flex 8V 2p,2025,001531-8,Flex,1,F,setembro de 2025 ,f6hzfdxqc8dzm,"segunda-feira, 1 de setembro de 2025 06:00",102502.0
325,1,,,2024,,"R$ 61.863,00",Fiat,MOBI TREKKING 1.0 Flex 5p.,2024,001536-9,Flex,1,F,setembro de 2025 ,2qnrz1vxdvsw,"segunda-feira, 1 de setembro de 2025 06:00",61863.0
325,1,,,2025,,"R$ 69.749,00",Fiat,MOBI TREKKING 1.0 Flex 5p.,2025,001536-9,Flex,1,F,setembro de 2025 ,5p32y3jyjsw3,"segunda-feira, 1 de setembro de 2025 06:00",69749.0
325,1,,,2022,,"R$ 109.807,00",Fiat,Toro Freedom 1.3 T270 4x2 Flex Aut.,2022,001538-5,Flex,1,F,setembro de 2025 ,gg2hcxl3fbdny,"segunda-feira, 1 de setembro de 2025 06:00",109807.0
325,1,,,2023,,"R$ 118.186,00",Fiat,Toro Freedom 1.3 T270 4x2 Flex Aut.,2023,001538-5,Flex,1,F,setembro de 2025 ,gsw1gmsv9zdr5,"segunda-feira, 1 de setembro de 2025 06:00",118186.0
325,1,,,2024,,"R$ 129.897,00",Fiat,Toro Freedom 1.3 T270 4x2 Flex Aut.,2024,001538-5,Flex,1,F,setembro de 2025 ,g7mpw6x4bcdwd,"segunda-feira, 1 de setembro de 2025 06:00",129897.0
325,1,,,2025,,"R$ 139.394,00",Fiat,Toro Freedom 1.3 T270 4x2 Flex Aut.,2025,001538-5,Flex,1,F,setembro de 2025 ,hlrwp1dd71dzm,"segunda-feira, 1 de setembro de 2025 06:00",139394.0
325,1,,,2024,,"R$ 137.465,00",Fiat,Toro Volcano 1.3 T270 4x2 Flex Aut.,2024,001539-3,Flex,1,F,setembro de 2025 ,hjhr54728ndwd,"segunda-feira, 1 de setembro de 2025 06:00",137465.0
325,1,,,2022,,"R$ 90.096,00",Fiat,PULSE AUDACE 1.0 Turbo 200 Flex Aut.,2022,001542-3,Flex,1,F,setembro de 2025 ,cfdplzr3y45lf,"segunda-feira, 1 de setembro de 2025 06:00",90096.0
325,1,,,2023,,"R$ 95.759,00",Fiat,PULSE AUDACE 1.0 Turbo 200 Flex Aut.,2023,001542-3,Flex,1,F,setembro de 2025 ,chj2x5jxn1kpn,"segunda-feira, 1 de setembro de 2025 06:00",95759.0
325,1,,,2024,,"R$ 101.020,00",Fiat,PULSE AUDACE 1.0 Turbo 200 Flex Aut.,2024,001542-3,Flex,1,F,setembro de 2025 ,f4r3kzzgw6dwd,"segunda-feira, 1 de setembro de 2025 06:00",101020.0
325,1,,,2025,,"R$ 112.604,00",Fiat,PULSE AUDACE 1.0 Turbo 200 Flex Aut.,2025,001542-3,Flex,1,F,setembro de 2025 ,glb4xjx8n1dzm,"segunda-feira, 1 de setembro de 2025 06:00",112604.0
325,1,,,2023,,"R$ 90.904,00",Fiat,PULSE DRIVE 1.3 8V Flex Aut.,2023,001544-0,Flex,1,F,setembro de 2025 ,cfp485ldky0pn,"segunda-feira, 1 de setembro de 2025 06:00",90904.0
325,1,,,2024,,"R$ 93.581,00",Fiat,PULSE DRIVE 1.3 8V Flex Aut.,2024,001544-0,Flex,1,F,setembro de 2025 ,cgqj9fhmjqssw,"segunda-feira, 1 de setembro de 2025 06:00",93581.0
325,1,,,2025,,"R$ 103.817,00",Fiat,PULSE DRIVE 1.3 8V Flex Aut.,2025,001544-0,Flex,1,F,setembro de 2025 ,f71r3l84m8dzm,"segunda-feira, 1 de setembro de 2025 06:00",103817.0
325,1,,,2023,,"R$ 66.620,00",Fiat,CRONOS DRIVE 1.0 6V Flex,2023,001553-9,Flex,1,F,setembro de 2025 ,4jfsr51lnhpn,"segunda-feira, 1 de setembro de 2025 06:00",66620.0
325,1,,,2024,,"R$ 76.145,00",Fiat,CRONOS DRIVE 1.0 6V Flex,2024,001553-9,Flex,1,F,setembro de 2025 ,733t8m358ssw,"segunda-feira, 1 de setembro de 2025 06:00",76145.0
325,1,,,2025,,"R$ 83.895,00",Fiat,CRONOS DRIVE 1.0 6V Flex,2025,001553-9,Flex,1,F,setembro de 2025 ,cb1zqvnx0lsw3,"segunda-feira, 1 de setembro de 2025 06:00",83895.0
325,1,,,2023,,"R$ 81.959,00",Fiat,CRONOS DRIVE 1.3 8V Flex Aut.,2023,001554-7,Flex,1,F,setembro de 2025 ,9981vvnvyspn,"segunda-feira, 1 de setembro de 2025 06:00",81959.0
325,1,,,2024,,"R$ 85.508,00",Fiat,CRONOS DRIVE 1.3 8V Flex Aut.,2024,001554-7,Flex,1,F,setembro de 2025 ,ccnw0fd3k86sw,"segunda-feira, 1 de setembro de 2025 06:00",85508.0
325,1,,,2025,,"R$ 99.147,00",Fiat,CRONOS DRIVE 1.3 8V Flex Aut.,2025,001554-7,Flex,1,F,setembro de 2025 ,cjttcnqrkz1w3,"segunda-feira, 1 de setembro de 2025 06:01",99147.0
