snapshot_date,flight_date,origin,destination,carrier,price
2025-12-15,2026-05-10,PVR,NLU,Aeromexico,R$514
2025-12-15,2026-05-10,PVR,NLU,Viva,Price unavailable
2025-12-15,2026-05-10,PVR,NLU,Mexicana,Price unavailable
2025-12-15,2026-05-10,PVR,NLU,Aeromexico,R$514
2025-12-15,2026-05-10,PVR,NLU,Viva,Price unavailable
2025-12-15,2026-05-11,PVR,NLU,Aeromexico,R$445
2025-12-15,2026-05-11,PVR,NLU,Viva,Price unavailable
2025-12-15,2026-05-11,PVR,NLU,Mexicana,Price unavailable
2025-12-15,2026-05-11,PVR,NLU,Aeromexico,R$445
2025-12-15,2026-05-11,PVR,NLU,Viva,Price unavailable
2025-12-15,2026-05-12,PVR,NLU,Aeromexico,R$445
2025-12-15,2026-05-12,PVR,NLU,Viva,Price unavailable
2025-12-15,2026-05-12,PVR,NLU,Aeromexico,R$445
2025-12-15,2026-05-13,PVR,NLU,Aeromexico,R$445
2025-12-15,2026-05-13,PVR,NLU,Viva,Price unavailable
2025-12-15,2026-05-13,PVR,NLU,Aeromexico,R$445
2025-12-15,2026-05-14,PVR,NLU,Aeromexico,R$445
2025-12-15,2026-05-14,PVR,NLU,Viva,Price unavailable
2025-12-15,2026-05-14,PVR,NLU,Aeromexico,R$445
2025-12-15,2026-05-15,PVR,NLU,Aeromexico,R$445
2025-12-15,2026-05-15,PVR,NLU,Viva,Price unavailable
2025-12-15,2026-05-15,PVR,NLU,Mexicana,Price unavailable
2025-12-15,2026-05-15,PVR,NLU,Aeromexico,R$445
2025-12-15,2026-05-15,PVR,NLU,Viva,Price unavailable
2025-12-15,2026-05-16,PVR,NLU,Aeromexico,R$445
2025-12-15,2026-05-16,PVR,NLU,Viva,Price unavailable
2025-12-15,2026-05-16,PVR,NLU,Aeromexico,R$445
2025-12-15,2026-05-10,SFO,GDL,Aeromexico,R$927
2025-12-15,2026-05-11,SFO,GDL,Aeromexico,R$927
2025-12-15,2026-05-12,SFO,GDL,Aeromexico,R$927
2025-12-15,2026-05-13,SFO,GDL,Aeromexico,R$927
2025-12-15,2026-05-14,SFO,GDL,Aeromexico,R$927
2025-12-15,2026-05-15,SFO,GDL,Aeromexico,R$927
2025-12-15,2026-05-16,SFO,GDL,Aeromexico,R$927
2025-12-15,2026-05-10,BOG,MEX,Avianca,R$1143
2025-12-15,2026-05-10,BOG,MEX,Avianca,R$1143
2025-12-15,2026-05-10,BOG,MEX,Avianca,R$1207
2025-12-15,2026-05-10,BOG,MEX,Avianca,R$1303
2025-12-15,2026-05-10,BOG,MEX,Aeromexico,R$1625
2025-12-15,2026-05-10,BOG,MEX,Aeromexico,R$1926
2025-12-15,2026-05-10,BOG,MEX,Avianca,R$1143
2025-12-15,2026-05-10,BOG,MEX,Avianca,R$1207
2025-12-15,2026-05-10,BOG,MEX,Avianca,R$1303
2025-12-15,2026-05-10,BOG,MEX,Aeromexico,R$1625
2025-12-15,2026-05-10,BOG,MEX,Aeromexico,R$1926
2025-12-15,2026-05-11,BOG,MEX,Avianca,R$1143
2025-12-15,2026-05-11,BOG,MEX,Avianca,R$1143
2025-12-15,2026-05-11,BOG,MEX,Avianca,R$1207
2025-12-15,2026-05-11,BOG,MEX,Avianca,R$1207
2025-12-15,2026-05-11,BOG,MEX,Aeromexico,R$1625
2025-12-15,2026-05-11,BOG,MEX,Aeromexico,R$1625
2025-12-15,2026-05-11,BOG,MEX,Avianca,R$1143
2025-12-15,2026-05-11,BOG,MEX,Avianca,R$1207
2025-12-15,2026-05-11,BOG,MEX,Avianca,R$1207
2025-12-15,2026-05-11,BOG,MEX,Aeromexico,R$1625
2025-12-15,2026-05-11,BOG,MEX,Aeromexico,R$1625
2025-12-15,2026-05-12,BOG,MEX,Avianca,R$1143
2025-12-15,2026-05-12,BOG,MEX,Avianca,R$1143
2025-12-15,2026-05-12,BOG,MEX,Avianca,R$1143
2025-12-15,2026-05-12,BOG,MEX,Avianca,R$1143
2025-12-15,2026-05-12,BOG,MEX,Aeromexico,R$1625
2025-12-15,2026-05-12,BOG,MEX,Aeromexico,R$1625
2025-12-15,2026-05-12,BOG,MEX,Avianca,R$1143
2025-12-15,2026-05-12,BOG,MEX,Avianca,R$1143
2025-12-15,2026-05-12,BOG,MEX,Avianca,R$1143
2025-12-15,2026-05-12,BOG,MEX,Aeromexico,R$1625
2025-12-15,2026-05-12,BOG,MEX,Aeromexico,R$1625
2025-12-15,2026-05-13,BOG,MEX,Avianca,R$1143
2025-12-15,2026-05-13,BOG,MEX,Avianca,R$1143
2025-12-15,2026-05-13,BOG,MEX,Avianca,R$1143
2025-12-15,2026-05-13,BOG,MEX,Avianca,R$1143
2025-12-15,2026-05-13,BOG,MEX,Aeromexico,R$1625
