snapshot_date,flight_date,origin,destination,carrier,price
2025-12-15,2025-12-15,MAD,MEX,Iberia,R$11536
2025-12-15,2025-12-15,MAD,MEX,Aeromexico,R$11574
2025-12-15,2025-12-15,MAD,MEX,Iberia,R$11536
2025-12-15,2025-12-16,MAD,MEX,Iberia,R$11536
2025-12-15,2025-12-16,MAD,MEX,Aeromexico,R$11574
2025-12-15,2025-12-16,MAD,MEX,Aeromexico,R$11574
2025-12-15,2025-12-16,MAD,MEX,Iberia,R$11536
2025-12-15,2025-12-16,MAD,MEX,Iberia,R$11536
2025-12-15,2025-12-16,MAD,MEX,Aeromexico,R$11574
2025-12-15,2025-12-16,MAD,MEX,Iberia,R$11536
2025-12-15,2025-12-17,MAD,MEX,Iberia,R$11536
2025-12-15,2025-12-17,MAD,MEX,Aeromexico,R$11574
2025-12-15,2025-12-17,MAD,MEX,Iberia,R$11536
2025-12-15,2025-12-17,MAD,MEX,Iberia,R$11536
2025-12-15,2025-12-17,MAD,MEX,Aeromexico,R$11574
2025-12-15,2025-12-17,MAD,MEX,Iberia,R$11536
2025-12-15,2025-12-17,MAD,MEX,Iberia,R$11536
2025-12-15,2025-12-17,MAD,MEX,Iberia,R$11536
2025-12-15,2025-12-17,MAD,MEX,Aeromexico,R$11574
2025-12-15,2025-12-18,MAD,MEX,Iberia,R$13092
2025-12-15,2025-12-18,MAD,MEX,Aeromexico,R$13130
2025-12-15,2025-12-18,MAD,MEX,Iberia,R$13092
2025-12-15,2025-12-18,MAD,MEX,Aeromexico,R$13130
2025-12-15,2025-12-18,MAD,MEX,Aeromexico,R$13130
2025-12-15,2025-12-18,MAD,MEX,Iberia,R$13092
2025-12-15,2025-12-18,MAD,MEX,Iberia,R$13092
2025-12-15,2025-12-18,MAD,MEX,Aeromexico,R$13130
2025-12-15,2025-12-18,MAD,MEX,Aeromexico,R$13130
2025-12-15,2025-12-19,MAD,MEX,Aeromexico,R$13225
2025-12-15,2025-12-19,MAD,MEX,Aeromexico,R$13225
2025-12-15,2025-12-19,MAD,MEX,Iberia,R$13225
2025-12-15,2025-12-19,MAD,MEX,Iberia,R$19682
2025-12-15,2025-12-19,MAD,MEX,Iberia,R$19682
2025-12-15,2025-12-19,MAD,MEX,Aeromexico,R$13225
2025-12-15,2025-12-19,MAD,MEX,Aeromexico,R$13225
2025-12-15,2025-12-19,MAD,MEX,Iberia,R$19682
2025-12-15,2025-12-19,MAD,MEX,Iberia,R$19682
2025-12-15,2025-12-20,MAD,MEX,Aeromexico,R$13225
2025-12-15,2025-12-20,MAD,MEX,Aeromexico,R$13225
2025-12-15,2025-12-20,MAD,MEX,Iberia,R$19682
2025-12-15,2025-12-20,MAD,MEX,Iberia,R$19682
2025-12-15,2025-12-20,MAD,MEX,Aeromexico,R$13225
2025-12-15,2025-12-20,MAD,MEX,Iberia,R$19682
2025-12-15,2025-12-20,MAD,MEX,Iberia,R$19682
2025-12-15,2025-12-21,MAD,MEX,Aeromexico,R$13225
2025-12-15,2025-12-21,MAD,MEX,Aeromexico,R$13225
