snapshot_date,flight_date,origin,destination,carrier,price
2025-11-13,2026-04-12,MEX,TIJ,Viva,R$463
2025-11-13,2026-04-12,MEX,TIJ,Viva,R$529
2025-11-13,2026-04-12,MEX,TIJ,Viva,R$529
2025-11-13,2026-04-12,MEX,TIJ,Viva,R$567
2025-11-13,2026-04-12,MEX,TIJ,Volaris,Price unavailable
2025-11-13,2026-04-12,MEX,TIJ,Aeromexico,R$1214
2025-11-13,2026-04-12,MEX,TIJ,Aeromexico,R$1244
2025-11-13,2026-04-12,MEX,TIJ,Aeromexico,R$1244
2025-11-13,2026-04-12,MEX,TIJ,Aeromexico,R$1334
2025-11-13,2026-04-12,MEX,TIJ,Aeromexico,R$1334
2025-11-13,2026-04-12,MEX,TIJ,Aeromexico,R$1334
2025-11-13,2026-04-12,MEX,TIJ,Volaris,Price unavailable
2025-11-13,2026-04-12,MEX,TIJ,Volaris,Price unavailable
2025-11-13,2026-04-12,MEX,TIJ,Viva,R$463
2025-11-13,2026-04-12,MEX,TIJ,Viva,R$529
2025-11-13,2026-04-12,MEX,TIJ,Viva,R$529
2025-11-13,2026-04-12,MEX,TIJ,Viva,R$567
2025-11-13,2026-04-12,MEX,TIJ,Aeromexico,R$1214
2025-11-13,2026-04-12,MEX,TIJ,Aeromexico,R$1244
2025-11-13,2026-04-12,MEX,TIJ,Aeromexico,R$1244
2025-11-13,2026-04-12,MEX,TIJ,Aeromexico,R$1334
2025-11-13,2026-04-12,MEX,TIJ,Aeromexico,R$1334
2025-11-13,2026-04-12,MEX,TIJ,Aeromexico,R$1334
2025-11-13,2026-04-12,MEX,TIJ,Volaris,Price unavailable
2025-11-13,2026-04-12,MEX,TIJ,Volaris,Price unavailable
2025-11-13,2026-04-13,MEX,TIJ,Viva,R$405
2025-11-13,2026-04-13,MEX,TIJ,Viva,R$463
2025-11-13,2026-04-13,MEX,TIJ,Viva,R$463
2025-11-13,2026-04-13,MEX,TIJ,Viva,R$492
2025-11-13,2026-04-13,MEX,TIJ,Volaris,Price unavailable
2025-11-13,2026-04-13,MEX,TIJ,Aeromexico,R$1199
2025-11-13,2026-04-13,MEX,TIJ,Aeromexico,R$1229
2025-11-13,2026-04-13,MEX,TIJ,Aeromexico,R$1229
2025-11-13,2026-04-13,MEX,TIJ,Aeromexico,R$1289
2025-11-13,2026-04-13,MEX,TIJ,Aeromexico,R$1319
2025-11-13,2026-04-13,MEX,TIJ,Aeromexico,R$1319
2025-11-13,2026-04-13,MEX,TIJ,Aeromexico,R$1319
2025-11-13,2026-04-13,MEX,TIJ,Aeromexico,R$1319
2025-11-13,2026-04-13,MEX,TIJ,Volaris,Price unavailable
2025-11-13,2026-04-13,MEX,TIJ,Volaris,Price unavailable
2025-11-13,2026-04-13,MEX,TIJ,Viva,R$405
2025-11-13,2026-04-13,MEX,TIJ,Viva,R$463
2025-11-13,2026-04-13,MEX,TIJ,Viva,R$463
2025-11-13,2026-04-13,MEX,TIJ,Viva,R$492
2025-11-13,2026-04-13,MEX,TIJ,Aeromexico,R$1199
2025-11-13,2026-04-13,MEX,TIJ,Aeromexico,R$1229
2025-11-13,2026-04-13,MEX,TIJ,Aeromexico,R$1229
2025-11-13,2026-04-13,MEX,TIJ,Aeromexico,R$1289
2025-11-13,2026-04-13,MEX,TIJ,Aeromexico,R$1319
2025-11-13,2026-04-13,MEX,TIJ,Aeromexico,R$1319
2025-11-13,2026-04-13,MEX,TIJ,Aeromexico,R$1319
2025-11-13,2026-04-13,MEX,TIJ,Aeromexico,R$1319
2025-11-13,2026-04-13,MEX,TIJ,Volaris,Price unavailable
2025-11-13,2026-04-13,MEX,TIJ,Volaris,Price unavailable
2025-11-13,2026-04-14,MEX,TIJ,Viva,R$405
2025-11-13,2026-04-14,MEX,TIJ,Viva,R$405
2025-11-13,2026-04-14,MEX,TIJ,Viva,R$405
2025-11-13,2026-04-14,MEX,TIJ,Viva,R$434
2025-11-13,2026-04-14,MEX,TIJ,Volaris,Price unavailable
2025-11-13,2026-04-14,MEX,TIJ,Aeromexico,R$968
2025-11-13,2026-04-14,MEX,TIJ,Aeromexico,R$968
2025-11-13,2026-04-14,MEX,TIJ,Aeromexico,R$968
2025-11-13,2026-04-14,MEX,TIJ,Aeromexico,R$968
2025-11-13,2026-04-14,MEX,TIJ,Aeromexico,R$968
2025-11-13,2026-04-14,MEX,TIJ,Aeromexico,R$968
2025-11-13,2026-04-14,MEX,TIJ,Aeromexico,R$998
2025-11-13,2026-04-14,MEX,TIJ,Aeromexico,R$998
2025-11-13,2026-04-14,MEX,TIJ,Volaris,Price unavailable
