snapshot_date,flight_date,origin,destination,carrier,price
2025-11-13,2026-02-14,PVR,NLU,Viva,R$232
2025-11-13,2026-02-14,PVR,NLU,Aeromexico,R$536
2025-11-13,2026-02-14,PVR,NLU,Viva,R$232
2025-11-13,2026-02-14,SFO,GDL,Aeromexico,R$1193
2025-11-13,2026-02-14,BOG,MEX,Avianca,R$1155
2025-11-13,2026-02-14,BOG,MEX,Avianca,R$1155
2025-11-13,2026-02-14,BOG,MEX,Avianca,R$1155
2025-11-13,2026-02-14,BOG,MEX,Avianca,R$1155
2025-11-13,2026-02-14,BOG,MEX,Aeromexico,R$1595
2025-11-13,2026-02-14,BOG,MEX,Aeromexico,R$1595
2025-11-13,2026-02-14,BOG,MEX,Avianca,R$1155
2025-11-13,2026-02-14,BOG,MEX,Avianca,R$1155
2025-11-13,2026-02-14,BOG,MEX,Avianca,R$1155
2025-11-13,2026-02-14,BOG,MEX,Aeromexico,R$1595
2025-11-13,2026-02-14,BOG,MEX,Aeromexico,R$1595
2025-11-13,2026-02-14,FAT,GDL,Aeromexico,R$1225
2025-11-13,2026-02-14,FAT,GDL,Volaris,Price unavailable
2025-11-13,2026-02-14,FAT,GDL,Volaris,Price unavailable
2025-11-13,2026-02-14,FAT,GDL,Aeromexico,R$1225
2025-11-13,2026-02-14,FAT,GDL,Volaris,Price unavailable
2025-11-13,2026-02-14,GDL,ATL,Delta,R$1749
2025-11-13,2026-02-14,HAV,MEX,Aeromexico,R$1940
2025-11-13,2026-02-14,MEX,LAP,Aeromexico,R$843
2025-11-13,2026-02-14,MEX,LAP,Aeromexico,R$843
2025-11-13,2026-02-14,MEX,LAP,Volaris,Price unavailable
2025-11-13,2026-02-14,MEX,LAP,Aeromexico,R$843
2025-11-13,2026-02-14,MEX,LAP,Aeromexico,R$843
2025-11-13,2026-02-14,NLU,CLQ,Aeromexico,R$437
2025-11-13,2026-02-14,MEX,PVR,Viva,R$283
2025-11-13,2026-02-14,MEX,PVR,Viva,R$283
2025-11-13,2026-02-14,MEX,PVR,Aeromexico,R$541
2025-11-13,2026-02-14,MEX,PVR,Aeromexico,R$541
2025-11-13,2026-02-14,MEX,PVR,Volaris,Price unavailable
2025-11-13,2026-02-14,MEX,PVR,Aeromexico,R$869
2025-11-13,2026-02-14,MEX,PVR,Aeromexico,R$869
2025-11-13,2026-02-14,MEX,PVR,Viva,R$283
2025-11-13,2026-02-14,MEX,PVR,Viva,R$283
2025-11-13,2026-02-14,MEX,PVR,Aeromexico,R$541
2025-11-13,2026-02-14,MEX,PVR,Aeromexico,R$541
2025-11-13,2026-02-14,MEX,PVR,Aeromexico,R$869
2025-11-13,2026-02-14,MEX,PVR,Aeromexico,R$869
2025-11-13,2026-02-14,MTY,NRT,Aeromexico,R$5526
2025-11-13,2026-02-14,NLU,PVR,Viva,R$206
2025-11-13,2026-02-14,NLU,PVR,Aeromexico,R$373
2025-11-13,2026-02-14,NLU,PVR,Viva,R$206
2025-11-13,2026-02-14,CUL,MEX,Aeromexico,R$813
2025-11-13,2026-02-14,CUL,MEX,Aeromexico,R$813
2025-11-13,2026-02-14,CUL,MEX,Volaris,Price unavailable
2025-11-13,2026-02-14,CUL,MEX,Aeromexico,R$813
2025-11-13,2026-02-14,CUL,MEX,Aeromexico,R$813
2025-11-13,2026-02-14,MEX,TAP,Aeromexico,R$514
2025-11-13,2026-02-14,MEX,TAP,Aeromexico,R$598
2025-11-13,2026-02-14,MEX,TAP,Volaris,Price unavailable
2025-11-13,2026-02-14,MEX,TAP,Aeromexico,R$514
2025-11-13,2026-02-14,MEX,TAP,Aeromexico,R$598
2025-11-13,2026-02-14,LAX,GDL,Viva,R$400
2025-11-13,2026-02-14,LAX,GDL,Viva,R$400
2025-11-13,2026-02-14,LAX,GDL,Volaris,R$717
2025-11-13,2026-02-14,LAX,GDL,Volaris,R$717
2025-11-13,2026-02-14,LAX,GDL,Volaris,R$717
2025-11-13,2026-02-14,LAX,GDL,Volaris,R$717
2025-11-13,2026-02-14,LAX,GDL,Alaska,R$892
2025-11-13,2026-02-14,LAX,GDL,Alaska,R$1051
2025-11-13,2026-02-14,LAX,GDL,Viva,R$400
2025-11-13,2026-02-14,LAX,GDL,Viva,R$400
2025-11-13,2026-02-14,LAX,GDL,Volaris,R$717
2025-11-13,2026-02-14,LAX,GDL,Volaris,R$717
2025-11-13,2026-02-14,LAX,GDL,Volaris,R$717
2025-11-13,2026-02-14,LAX,GDL,Alaska,R$892
2025-11-13,2026-02-14,LAX,GDL,Alaska,R$1051
2025-11-13,2026-02-14,DFW,MEX,Volaris,R$717
2025-11-13,2026-02-14,DFW,MEX,Aeromexico,R$1209
2025-11-13,2026-02-14,DFW,MEX,American,R$1447
2025-11-13,2026-02-14,DFW,MEX,American,R$1447
2025-11-13,2026-02-14,DFW,MEX,American,R$1447
2025-11-13,2026-02-14,DFW,MEX,Aeromexico,R$1209
2025-11-13,2026-02-14,DFW,MEX,American,R$1447
2025-11-13,2026-02-14,DFW,MEX,American,R$1447
2025-11-13,2026-02-14,DFW,MEX,American,R$1447
2025-11-13,2026-02-14,MEX,TPA,Aeromexico,R$1262
2025-11-13,2026-02-14,ORD,MEX,Viva,R$536
2025-11-13,2026-02-14,ORD,MEX,Volaris,R$775
2025-11-13,2026-02-14,ORD,MEX,American,R$1649
2025-11-13,2026-02-14,ORD,MEX,United,R$1754
2025-11-13,2026-02-14,ORD,MEX,Aeromexico,R$2284
2025-11-13,2026-02-14,ORD,MEX,Viva,R$536
2025-11-13,2026-02-14,ORD,MEX,American,R$1649
2025-11-13,2026-02-14,ORD,MEX,United,R$1754
2025-11-13,2026-02-14,ORD,MEX,Aeromexico,R$2284
2025-11-13,2026-02-14,AMS,MEX,Aeromexico,R$8975
2025-11-13,2026-02-14,AMS,MEX,KLM,R$8983
2025-11-13,2026-02-14,AMS,MEX,Aeromexico,R$8975
2025-11-13,2026-02-14,DTW,QRO,Aeromexico,R$2151
2025-11-13,2026-02-14,MEX,LAX,Volaris,R$849
2025-11-13,2026-02-14,MEX,LAX,Viva,R$890
2025-11-13,2026-02-14,MEX,LAX,Aeromexico,R$1652
2025-11-13,2026-02-14,MEX,LAX,Aeromexico,R$1652
2025-11-13,2026-02-14,MEX,LAX,Aeromexico,R$1652
2025-11-13,2026-02-14,MEX,LAX,Aeromexico,R$1652
2025-11-13,2026-02-14,MEX,LAX,Volaris,R$849
2025-11-13,2026-02-14,MEX,LAX,Aeromexico,R$1652
2025-11-13,2026-02-14,MEX,LAX,Aeromexico,R$1652
2025-11-13,2026-02-14,MEX,LAX,Aeromexico,R$1652
2025-11-13,2026-02-14,MEX,LAX,Aeromexico,R$1652
2025-11-13,2026-02-14,OAX,MEX,Viva,R$223
2025-11-13,2026-02-14,OAX,MEX,Aeromexico,R$626
2025-11-13,2026-02-14,OAX,MEX,Aeromexico,R$936
2025-11-13,2026-02-14,OAX,MEX,Aeromexico,R$1007
2025-11-13,2026-02-14,OAX,MEX,Viva,R$223
2025-11-13,2026-02-14,OAX,MEX,Aeromexico,R$936
2025-11-13,2026-02-14,OAX,MEX,Aeromexico,R$1007
2025-11-13,2026-02-14,MEX,SLP,Aeromexico,R$861
2025-11-13,2026-02-14,MEX,SLP,Aeromexico,R$861
2025-11-13,2026-02-14,MEX,SLP,Aeromexico,R$861
2025-11-13,2026-02-14,MEX,SLP,Aeromexico,R$861
2025-11-13,2026-02-14,MEX,SLP,Aeromexico,R$861
2025-11-13,2026-02-14,MEX,SLP,Aeromexico,R$861
2025-11-13,2026-02-14,MEX,SLP,Aeromexico,R$861
2025-11-13,2026-02-14,MTT,MEX,Aeromexico,R$917
2025-11-13,2026-02-14,MTT,MEX,Aeromexico,R$917
2025-11-13,2026-02-14,MTT,MEX,Aeromexico,R$917
2025-11-13,2026-02-14,MEX,CDG,Air France,R$2582
2025-11-13,2026-02-14,MEX,CDG,Aeromexico,R$5179
2025-11-13,2026-02-14,MEX,CDG,Air France,R$5780
2025-11-13,2026-02-14,MEX,CDG,Air France,R$2582
2025-11-13,2026-02-14,MEX,CDG,Aeromexico,R$5179
2025-11-13,2026-02-14,ATL,GDL,Delta,R$3289
2025-11-13,2026-02-14,CEN,MEX,Aeromexico,R$835
2025-11-13,2026-02-14,MEX,EZE,Aeromexico,R$5726
2025-11-13,2026-02-14,EZE,MEX,Aeromexico,R$6832
2025-11-13,2026-02-14,MEX,CUN,Viva,R$188
2025-11-13,2026-02-14,MEX,CUN,Viva,R$337
2025-11-13,2026-02-14,MEX,CUN,Viva,R$344
2025-11-13,2026-02-14,MEX,CUN,Volaris,Price unavailable
2025-11-13,2026-02-14,MEX,CUN,Viva,R$395
2025-11-13,2026-02-14,MEX,CUN,Viva,R$489
2025-11-13,2026-02-14,MEX,CUN,Viva,R$518
2025-11-13,2026-02-14,MEX,CUN,Viva,R$518
2025-11-13,2026-02-14,MEX,CUN,Aeromexico,R$664
2025-11-13,2026-02-14,MEX,CUN,Aeromexico,R$664
2025-11-13,2026-02-14,MEX,CUN,Aeromexico,R$664
2025-11-13,2026-02-14,MEX,CUN,Aeromexico,R$664
2025-11-13,2026-02-14,MEX,CUN,Aeromexico,R$664
2025-11-13,2026-02-14,MEX,CUN,Aeromexico,R$664
2025-11-13,2026-02-14,MEX,CUN,Aeromexico,R$664
2025-11-13,2026-02-14,MEX,CUN,Aeromexico,R$664
2025-11-13,2026-02-14,MEX,CUN,Aeromexico,R$807
2025-11-13,2026-02-14,MEX,CUN,Aeromexico,R$807
2025-11-13,2026-02-14,MEX,CUN,Aeromexico,R$807
2025-11-13,2026-02-14,MEX,CUN,Aeromexico,R$807
2025-11-13,2026-02-14,MEX,CUN,Aeromexico,R$807
2025-11-13,2026-02-14,MEX,CUN,Volaris,Price unavailable
2025-11-13,2026-02-14,MEX,CUN,Volaris,Price unavailable
2025-11-13,2026-02-14,MEX,CUN,Viva,R$188
2025-11-13,2026-02-14,MEX,CUN,Viva,R$337
2025-11-13,2026-02-14,MEX,CUN,Viva,R$344
2025-11-13,2026-02-14,MEX,CUN,Viva,R$395
2025-11-13,2026-02-14,MEX,CUN,Viva,R$489
2025-11-13,2026-02-14,MEX,CUN,Viva,R$518
2025-11-13,2026-02-14,MEX,CUN,Viva,R$518
2025-11-13,2026-02-14,MEX,CUN,Aeromexico,R$664
2025-11-13,2026-02-14,MEX,CUN,Aeromexico,R$664
2025-11-13,2026-02-14,MEX,CUN,Aeromexico,R$664
2025-11-13,2026-02-14,MEX,CUN,Aeromexico,R$664
2025-11-13,2026-02-14,MEX,CUN,Aeromexico,R$664
2025-11-13,2026-02-14,MEX,CUN,Aeromexico,R$664
2025-11-13,2026-02-14,MEX,CUN,Aeromexico,R$664
2025-11-13,2026-02-14,MEX,CUN,Aeromexico,R$664
2025-11-13,2026-02-14,MEX,CUN,Aeromexico,R$807
2025-11-13,2026-02-14,MEX,CUN,Aeromexico,R$807
2025-11-13,2026-02-14,MEX,CUN,Aeromexico,R$807
2025-11-13,2026-02-14,MEX,CUN,Aeromexico,R$807
2025-11-13,2026-02-14,MEX,CUN,Aeromexico,R$807
2025-11-13,2026-02-14,MEX,CUN,Volaris,Price unavailable
2025-11-13,2026-02-14,MEX,CUN,Volaris,Price unavailable
2025-11-13,2026-02-14,MEX,MDE,Aeromexico,R$1517
2025-11-13,2026-02-14,MEX,MDE,Avianca,R$1701
2025-11-13,2026-02-14,MEX,MDE,Aeromexico,R$1517
2025-11-13,2026-02-14,MEX,RDU,Aeromexico,R$1839
2025-11-13,2026-02-14,MTY,DTW,Aeromexico,R$2795
2025-11-13,2026-02-14,MEX,CLO,Aeromexico,R$1379
2025-11-13,2026-02-14,MEX,LHR,British Airways,R$2871
2025-11-13,2026-02-14,MEX,LHR,Aeromexico,R$3522
2025-11-13,2026-02-14,MEX,LHR,British Airways,R$2871
2025-11-13,2026-02-14,LAP,MEX,Aeromexico,R$861
2025-11-13,2026-02-14,LAP,MEX,Aeromexico,R$895
2025-11-13,2026-02-14,LAP,MEX,Volaris,Price unavailable
2025-11-13,2026-02-14,LAP,MEX,Aeromexico,R$861
2025-11-13,2026-02-14,LAP,MEX,Aeromexico,R$895
2025-11-13,2026-02-14,MTY,DEN,Viva,R$979
2025-11-13,2026-02-14,MAD,MEX,Aeromexico,R$2634
2025-11-13,2026-02-14,MAD,MEX,Aeromexico,R$2634
2025-11-13,2026-02-14,MAD,MEX,Aeromexico,R$2634
2025-11-13,2026-02-14,MAD,MEX,Iberia,R$3230
2025-11-13,2026-02-14,MAD,MEX,Iberia,R$3230
2025-11-13,2026-02-14,MAD,MEX,Aeromexico,R$2634
2025-11-13,2026-02-14,MAD,MEX,Aeromexico,R$2634
2025-11-13,2026-02-14,MAD,MEX,Iberia,R$3230
2025-11-13,2026-02-14,MAD,MEX,Iberia,R$3230
2025-11-13,2026-02-14,MEX,ZIH,Aeromexico,R$541
2025-11-13,2026-02-14,MEX,ZIH,Aeromexico,R$541
2025-11-13,2026-02-14,MEX,ZIH,Volaris,Price unavailable
2025-11-13,2026-02-14,MEX,ZIH,Aeromexico,R$541
2025-11-13,2026-02-14,MEX,ZIH,Aeromexico,R$541
2025-11-13,2026-02-14,MEX,SAP,Aeromexico,R$1967
2025-11-13,2026-02-14,MEX,ACA,Aeromexico,R$558
2025-11-13,2026-02-14,MEX,ACA,Aeromexico,R$591
2025-11-13,2026-02-14,MEX,ACA,Volaris,Price unavailable
2025-11-13,2026-02-14,MEX,ACA,Aeromexico,R$558
2025-11-13,2026-02-14,MEX,ACA,Aeromexico,R$591
2025-11-13,2026-02-14,GDL,SEA,Volaris,R$1139
2025-11-13,2026-02-14,MEX,SDQ,Aeromexico,R$2257
2025-11-13,2026-02-14,VER,NLU,Aeromexico,R$254
2025-11-13,2026-02-14,CUN,NLU,Viva,R$325
2025-11-13,2026-02-14,CUN,NLU,Volaris,Price unavailable
2025-11-13,2026-02-14,CUN,NLU,Viva,R$314
2025-11-13,2026-02-14,CUN,NLU,Viva,R$325
2025-11-13,2026-02-14,CUN,NLU,Aeromexico,R$483
2025-11-13,2026-02-14,CUN,NLU,Viva,R$325
2025-11-13,2026-02-14,CUN,NLU,Viva,R$314
2025-11-13,2026-02-14,CUN,NLU,Viva,R$325
2025-11-13,2026-02-14,CUN,NLU,Aeromexico,R$483
2025-11-13,2026-02-14,MEX,MTT,Aeromexico,R$906
2025-11-13,2026-02-14,MEX,MTT,Aeromexico,R$906
2025-11-13,2026-02-14,MEX,MTT,Aeromexico,R$906
2025-11-13,2026-02-14,MTY,QRO,Viva,R$203
2025-11-13,2026-02-14,MTY,QRO,Viva,R$203
2025-11-13,2026-02-14,MTY,QRO,Volaris,Price unavailable
2025-11-13,2026-02-14,MTY,QRO,Viva,R$203
2025-11-13,2026-02-14,MTY,QRO,Viva,R$203
2025-11-13,2026-02-14,MTY,QRO,Viva,R$203
2025-11-13,2026-02-14,MTY,QRO,Viva,R$203
2025-11-13,2026-02-14,MTY,QRO,Viva,R$203
2025-11-13,2026-02-14,MTY,QRO,Viva,R$203
2025-11-13,2026-02-14,MAM,MEX,Aeromexico,R$548
2025-11-13,2026-02-14,GDL,SMF,Volaris,R$1001
2025-11-13,2026-02-14,GDL,SMF,Aeromexico,R$1463
2025-11-13,2026-02-14,GDL,SMF,Volaris,R$1001
2025-11-13,2026-02-14,MEX,JFK,Viva,R$1230
2025-11-13,2026-02-14,MEX,JFK,Aeromexico,R$1938
2025-11-13,2026-02-14,MEX,JFK,Aeromexico,R$1938
2025-11-13,2026-02-14,MEX,JFK,Delta,R$1938
2025-11-13,2026-02-14,MEX,JFK,Aeromexico,R$1938
2025-11-13,2026-02-14,MEX,JFK,Aeromexico,R$1938
2025-11-13,2026-02-14,MEX,JFK,Delta,R$1938
2025-11-13,2026-02-14,MXL,MEX,Aeromexico,R$899
2025-11-13,2026-02-14,MXL,MEX,Aeromexico,R$899
2025-11-13,2026-02-14,MXL,MEX,Volaris,Price unavailable
2025-11-13,2026-02-14,MXL,MEX,Aeromexico,R$899
2025-11-13,2026-02-14,MXL,MEX,Aeromexico,R$899
2025-11-13,2026-02-14,BJX,ATL,Aeromexico,R$2319
2025-11-13,2026-02-14,MTY,ICN,Aeromexico,R$6554
2025-11-13,2026-02-14,SEA,GDL,Volaris,R$1352
2025-11-13,2026-02-14,CLQ,NLU,Aeromexico,R$489
2025-11-13,2026-02-14,MID,NLU,Viva,R$275
2025-11-13,2026-02-14,MID,NLU,Viva,R$298
2025-11-13,2026-02-14,MID,NLU,Aeromexico,R$537
2025-11-13,2026-02-14,MID,NLU,Volaris,Price unavailable
2025-11-13,2026-02-14,MID,NLU,Mexicana,Price unavailable
2025-11-13,2026-02-14,MID,NLU,Viva,R$275
2025-11-13,2026-02-14,MID,NLU,Viva,R$298
2025-11-13,2026-02-14,MID,NLU,Aeromexico,R$537
2025-11-13,2026-02-14,MID,NLU,Volaris,Price unavailable
2025-11-13,2026-02-14,ZLO,MEX,Aeromexico,R$939
2025-11-13,2026-02-14,ZLO,MEX,Aeromexico,R$939
2025-11-13,2026-02-14,ZLO,MEX,Aeromexico,R$939
2025-11-13,2026-02-14,RDU,CUN,Delta,R$1320
2025-11-13,2026-02-14,RDU,CUN,American,R$1871
2025-11-13,2026-02-14,RDU,CUN,Aeromexico,R$2977
2025-11-13,2026-02-14,RDU,CUN,Delta,R$1320
2025-11-13,2026-02-14,RDU,CUN,American,R$1871
2025-11-13,2026-02-14,MTY,MIA,American,R$1753
2025-11-13,2026-02-14,MEX,PUJ,Aeromexico,R$2202
2025-11-13,2026-02-14,MEX,BJX,Aeromexico,R$1199
2025-11-13,2026-02-14,MEX,BJX,Aeromexico,R$1199
2025-11-13,2026-02-14,MEX,BJX,Aeromexico,R$1199
2025-11-13,2026-02-14,MEX,BJX,Aeromexico,R$1199
2025-11-13,2026-02-14,MEX,BJX,Aeromexico,R$1199
2025-11-13,2026-02-14,MEX,BJX,Aeromexico,R$1199
2025-11-13,2026-02-14,MEX,BJX,Aeromexico,R$1199
2025-11-13,2026-02-14,AGU,MEX,Aeromexico,R$693
2025-11-13,2026-02-14,AGU,MEX,Aeromexico,R$693
2025-11-13,2026-02-14,AGU,MEX,Aeromexico,R$693
2025-11-13,2026-02-14,AGU,MEX,Aeromexico,R$693
2025-11-13,2026-02-14,AGU,MEX,Aeromexico,R$693
2025-11-13,2026-02-14,MEX,MAD,Iberia,R$2141
2025-11-13,2026-02-14,MEX,MAD,Iberia,R$2141
2025-11-13,2026-02-14,MEX,MAD,Aeromexico,R$2272
2025-11-13,2026-02-14,MEX,MAD,Iberia,R$2532
2025-11-13,2026-02-14,MEX,MAD,Iberia,R$2141
2025-11-13,2026-02-14,MEX,MAD,Iberia,R$2141
2025-11-13,2026-02-14,MEX,MAD,Iberia,R$2532
2025-11-13,2026-02-14,MEX,GUA,Aeromexico,R$972
2025-11-13,2026-02-14,MEX,GUA,Aeromexico,R$972
2025-11-13,2026-02-14,MEX,GUA,Aeromexico,R$972
2025-11-13,2026-02-14,MEX,GUA,Volaris,Price unavailable
2025-11-13,2026-02-14,MEX,GUA,Aeromexico,R$972
