snapshot_date,flight_date,origin,destination,carrier,price
2025-11-13,2026-04-12,YYZ,MEX,Air Canada,R$2324
2025-11-13,2026-04-12,YYZ,MEX,Air Canada,R$2324
2025-11-13,2026-04-12,YYZ,MEX,Aeromexico,R$2630
2025-11-13,2026-04-12,YYZ,MEX,Air Canada,R$2324
2025-11-13,2026-04-12,YYZ,MEX,Air Canada,R$2324
2025-11-13,2026-04-13,YYZ,MEX,Air Canada,R$2324
2025-11-13,2026-04-13,YYZ,MEX,Air Canada,R$2324
2025-11-13,2026-04-13,YYZ,MEX,Aeromexico,R$2630
2025-11-13,2026-04-13,YYZ,MEX,Air Canada,R$2324
2025-11-13,2026-04-13,YYZ,MEX,Air Canada,R$2324
2025-11-13,2026-04-14,YYZ,MEX,Aeromexico,R$1718
2025-11-13,2026-04-14,YYZ,MEX,Air Canada,R$2023
2025-11-13,2026-04-14,YYZ,MEX,Air Canada,R$2023
2025-11-13,2026-04-14,YYZ,MEX,Flair Airlines,R$2662
2025-11-13,2026-04-14,YYZ,MEX,Aeromexico,R$1718
2025-11-13,2026-04-14,YYZ,MEX,Air Canada,R$2023
2025-11-13,2026-04-14,YYZ,MEX,Air Canada,R$2023
2025-11-13,2026-04-15,YYZ,MEX,Aeromexico,R$1718
2025-11-13,2026-04-15,YYZ,MEX,Air Canada,R$2023
2025-11-13,2026-04-15,YYZ,MEX,Air Canada,R$2023
2025-11-13,2026-04-15,YYZ,MEX,Aeromexico,R$1718
2025-11-13,2026-04-15,YYZ,MEX,Air Canada,R$2023
2025-11-13,2026-04-16,YYZ,MEX,Aeromexico,R$1718
2025-11-13,2026-04-16,YYZ,MEX,Air Canada,R$2023
2025-11-13,2026-04-16,YYZ,MEX,Air Canada,R$2023
2025-11-13,2026-04-16,YYZ,MEX,Flair Airlines,R$2285
2025-11-13,2026-04-16,YYZ,MEX,Aeromexico,R$1718
2025-11-13,2026-04-16,YYZ,MEX,Air Canada,R$2023
2025-11-13,2026-04-16,YYZ,MEX,Air Canada,R$2023
2025-11-13,2026-04-17,YYZ,MEX,Aeromexico,R$1831
2025-11-13,2026-04-17,YYZ,MEX,Air Canada,R$2023
2025-11-13,2026-04-17,YYZ,MEX,Air Canada,R$2023
2025-11-13,2026-04-17,YYZ,MEX,Aeromexico,R$1831
2025-11-13,2026-04-17,YYZ,MEX,Air Canada,R$2023
2025-11-13,2026-04-18,YYZ,MEX,Aeromexico,R$1831
2025-11-13,2026-04-18,YYZ,MEX,Air Canada,R$2023
2025-11-13,2026-04-18,YYZ,MEX,Air Canada,R$2023
2025-11-13,2026-04-18,YYZ,MEX,Flair Airlines,R$2285
2025-11-13,2026-04-18,YYZ,MEX,Aeromexico,R$1831
2025-11-13,2026-04-18,YYZ,MEX,Air Canada,R$2023
2025-11-13,2026-04-18,YYZ,MEX,Air Canada,R$2023
2025-11-13,2026-04-12,EWR,MEX,Aeromexico,R$1779
2025-11-13,2026-04-12,EWR,MEX,United,R$1779
2025-11-13,2026-04-12,EWR,MEX,United,R$1779
2025-11-13,2026-04-12,EWR,MEX,Volaris,Price unavailable
2025-11-13,2026-04-12,EWR,MEX,Aeromexico,R$1779
2025-11-13,2026-04-12,EWR,MEX,United,R$1779
2025-11-13,2026-04-12,EWR,MEX,United,R$1779
2025-11-13,2026-04-13,EWR,MEX,Aeromexico,R$1673
2025-11-13,2026-04-13,EWR,MEX,United,R$1673
2025-11-13,2026-04-13,EWR,MEX,United,R$1673
2025-11-13,2026-04-13,EWR,MEX,Volaris,Price unavailable
2025-11-13,2026-04-13,EWR,MEX,Aeromexico,R$1673
