origin,destination,carrier,price
PVR,NLU,Viva,R$392
PVR,NLU,Aeromexico,R$601
PVR,NLU,Viva,R$392
SFO,GDL,Aeromexico,R$929
BOG,MEX,Avianca,R$1121
BOG,MEX,Avianca,R$1121
BOG,MEX,Avianca,R$1153
BOG,MEX,Avianca,R$1343
BOG,MEX,Aeromexico,R$1564
BOG,MEX,Aeromexico,R$2979
BOG,MEX,Avianca,R$1121
BOG,MEX,Avianca,R$1153
BOG,MEX,Avianca,R$1343
BOG,MEX,Aeromexico,R$1564
BOG,MEX,Aeromexico,R$2979
FAT,GDL,Aeromexico,R$807
FAT,GDL,Volaris,Price unavailable
FAT,GDL,Volaris,Price unavailable
FAT,GDL,Aeromexico,R$807
FAT,GDL,Volaris,Price unavailable
GDL,ATL,Delta,R$1755
HAV,MEX,Aeromexico,R$1911
MEX,LAP,Aeromexico,R$839
MEX,LAP,Aeromexico,R$839
MEX,LAP,Volaris,Price unavailable
MEX,LAP,Aeromexico,R$839
MEX,LAP,Aeromexico,R$839
NLU,CLQ,Aeromexico,R$435
MEX,PVR,Viva,R$280
MEX,PVR,Viva,R$280
MEX,PVR,Aeromexico,R$538
MEX,PVR,Volaris,Price unavailable
MEX,PVR,Aeromexico,R$538
MEX,PVR,Aeromexico,R$538
MEX,PVR,Aeromexico,R$538
MEX,PVR,Aeromexico,R$639
MEX,PVR,Viva,R$280
MEX,PVR,Viva,R$280
MEX,PVR,Aeromexico,R$538
MEX,PVR,Aeromexico,R$538
MEX,PVR,Aeromexico,R$538
MEX,PVR,Aeromexico,R$538
MEX,PVR,Aeromexico,R$639
MTY,NRT,Aeromexico,R$6475
NLU,PVR,Viva,R$234
NLU,PVR,Aeromexico,R$372
NLU,PVR,Viva,R$234
CUL,MEX,Aeromexico,R$809
CUL,MEX,Aeromexico,R$809
CUL,MEX,Aeromexico,R$809
CUL,MEX,Volaris,Price unavailable
CUL,MEX,Aeromexico,R$809
CUL,MEX,Aeromexico,R$809
CUL,MEX,Aeromexico,R$809
MEX,TAP,Aeromexico,R$512
MEX,TAP,Aeromexico,R$512
MEX,TAP,Aeromexico,R$632
MEX,TAP,Volaris,Price unavailable
MEX,TAP,Aeromexico,R$512
MEX,TAP,Aeromexico,R$512
MEX,TAP,Aeromexico,R$632
LAX,GDL,Viva,R$359
LAX,GDL,Viva,R$359
LAX,GDL,Aeromexico,R$860
LAX,GDL,Alaska,R$1019
LAX,GDL,Volaris,Price unavailable
LAX,GDL,Volaris,Price unavailable
LAX,GDL,Volaris,Price unavailable
LAX,GDL,Viva,R$359
LAX,GDL,Viva,R$359
LAX,GDL,Aeromexico,R$860
LAX,GDL,Alaska,R$1019
LAX,GDL,Volaris,Price unavailable
LAX,GDL,Volaris,Price unavailable
DFW,MEX,American,R$1178
DFW,MEX,Aeromexico,R$1178
DFW,MEX,American,R$1178
DFW,MEX,Volaris,Price unavailable
DFW,MEX,American,R$1178
DFW,MEX,American,R$1178
DFW,MEX,American,R$1178
DFW,MEX,Aeromexico,R$1178
DFW,MEX,American,R$1178
DFW,MEX,American,R$1178
DFW,MEX,American,R$1178
MEX,TPA,Aeromexico,R$1111
ORD,MEX,Viva,R$537
ORD,MEX,American,R$690
ORD,MEX,United,R$695
ORD,MEX,Volaris,Price unavailable
ORD,MEX,Aeromexico,R$982
ORD,MEX,Aeromexico,R$1242
ORD,MEX,Viva,R$537
