"SNV.latitude","SNV.longitude","Min(SNV.SNV_Conces)","Min(SNV.Rodovia)","CountNonNull(SNV.km - SNV)"
-22.903,-43.825,"ECOVIAS RIO MINAS","BR-493-RJ","123.55882352941177"
-22.903,-43.824,"ECOVIAS RIO MINAS","BR-493-RJ","123.52352941176471"
-22.902,-43.824,"ECOVIAS RIO MINAS","BR-493-RJ","123.37058823529412"
-22.902,-43.823,"ECOVIAS RIO MINAS","BR-493-RJ","123.35882352941177"
-22.901,-43.823,"ECOVIAS RIO MINAS","BR-493-RJ","123.19411764705883"
-22.9,-43.823,"ECOVIAS RIO MINAS","BR-493-RJ","123.0529411764706"
-22.899,-43.823,"ECOVIAS RIO MINAS","BR-493-RJ","122.9235294117647"
-22.898,-43.823,"ECOVIAS RIO MINAS","BR-493-RJ","122.79411764705883"
-22.897,-43.823,"ECOVIAS RIO MINAS","BR-493-RJ","122.66470588235295"
-22.896,-43.824,"ECOVIAS RIO MINAS","BR-493-RJ","122.53529411764706"
-22.896,-43.823,"ECOVIAS RIO MINAS","BR-493-RJ","122.58235294117647"
-22.895,-43.824,"ECOVIAS RIO MINAS","BR-493-RJ","122.40588235294118"
-22.894,-43.824,"ECOVIAS RIO MINAS","BR-493-RJ","122.26470588235294"
-22.893,-43.824,"ECOVIAS RIO MINAS","BR-493-RJ","122.13529411764706"
-22.892,-43.824,"ECOVIAS RIO MINAS","BR-493-RJ","122.00588235294119"
-22.891,-43.824,"ECOVIAS RIO MINAS","BR-493-RJ","121.87647058823529"
-22.89,-43.824,"ECOVIAS RIO MINAS","BR-493-RJ","121.74705882352941"
-22.889,-43.825,"ECOVIAS RIO MINAS","BR-493-RJ","121.61764705882354"
-22.889,-43.824,"ECOVIAS RIO MINAS","BR-493-RJ","121.7235294117647"
-22.888,-43.825,"ECOVIAS RIO MINAS","BR-493-RJ","121.48823529411764"
-22.887,-43.825,"ECOVIAS RIO MINAS","BR-493-RJ","121.34705882352941"
-22.886,-43.825,"ECOVIAS RIO MINAS","BR-493-RJ","121.21764705882353"
-22.885,-43.825,"ECOVIAS RIO MINAS","BR-493-RJ","121.08823529411765"
-22.884,-43.825,"ECOVIAS RIO MINAS","BR-493-RJ","120.95882352941177"
-22.883,-43.826,"ECOVIAS RIO MINAS","BR-493-RJ","120.82941176470588"
-22.883,-43.825,"ECOVIAS RIO MINAS","BR-493-RJ","120.86470588235295"
-22.882,-43.826,"ECOVIAS RIO MINAS","BR-493-RJ",120.7
-22.881,-43.826,"ECOVIAS RIO MINAS","BR-493-RJ","120.58734939759036"
-22.88,-43.826,"ECOVIAS RIO MINAS","BR-493-RJ","120.47469879518073"
-22.879,-43.826,"ECOVIAS RIO MINAS","BR-493-RJ","120.45421686746988"
-22.879,-43.825,"ECOVIAS RIO MINAS","BR-493-RJ","120.35180722891566"
-22.878,-43.825,"ECOVIAS RIO MINAS","BR-493-RJ","120.26987951807229"
-22.878,-43.824,"ECOVIAS RIO MINAS","BR-493-RJ","120.14698795180722"
-22.877,-43.824,"ECOVIAS RIO MINAS","BR-493-RJ","120.1367469879518"
-22.877,-43.823,"ECOVIAS RIO MINAS","BR-493-RJ","120.00361445783132"
-22.877,-43.822,"ECOVIAS RIO MINAS","BR-493-RJ","119.95240963855422"
-22.876,-43.822,"ECOVIAS RIO MINAS","BR-493-RJ","119.86024096385542"
-22.876,-43.821,"ECOVIAS RIO MINAS","BR-493-RJ","119.78855421686747"
-22.875,-43.821,"ECOVIAS RIO MINAS","BR-493-RJ","119.71686746987952"
-22.875,-43.82,"ECOVIAS RIO MINAS","BR-493-RJ","119.62469879518072"
-22.874,-43.82,"ECOVIAS RIO MINAS","BR-493-RJ","119.56325301204819"
-22.874,-43.819,"ECOVIAS RIO MINAS","BR-493-RJ","119.46084337349397"
-22.873,-43.819,"ECOVIAS RIO MINAS","BR-493-RJ","119.40963855421687"
-22.873,-43.818,"ECOVIAS RIO MINAS","BR-493-RJ","119.29698795180722"
-22.872,-43.818,"ECOVIAS RIO MINAS","BR-493-RJ","119.26626506024095"
-22.872,-43.817,"ECOVIAS RIO MINAS","BR-493-RJ","119.13313253012048"
-22.871,-43.817,"ECOVIAS RIO MINAS","BR-493-RJ","119.11265060240963"
-22.871,-43.816,"ECOVIAS RIO MINAS","BR-493-RJ","118.96927710843373"
-22.87,-43.815,"ECOVIAS RIO MINAS","BR-493-RJ","118.81566265060241"
-22.87,-43.814,"ECOVIAS RIO MINAS","BR-493-RJ","118.80542168674698"
-22.869,-43.814,"ECOVIAS RIO MINAS","BR-493-RJ","118.6722891566265"
-22.869,-43.813,"ECOVIAS RIO MINAS","BR-493-RJ","118.64156626506023"
-22.869,-43.598,"ECOVIAS RIO MINAS","BR-465-RJ","22.658585858585859"
-22.869,-43.597,"ECOVIAS RIO MINAS","BR-465-RJ","22.668686868686869"
-22.869,-43.596,"ECOVIAS RIO MINAS","BR-465-RJ","22.78989898989899"
-22.868,-43.813,"ECOVIAS RIO MINAS","BR-493-RJ","118.49819277108433"
-22.868,-43.6,"ECOVIAS RIO MINAS","BR-465-RJ","22.355555555555554"
-22.868,-43.599,"ECOVIAS RIO MINAS","BR-465-RJ","22.446464646464648"
-22.868,-43.598,"ECOVIAS RIO MINAS","BR-465-RJ","22.557575757575759"
-22.867,-43.813,"ECOVIAS RIO MINAS","BR-493-RJ","118.48795180722891"
-22.867,-43.812,"ECOVIAS RIO MINAS","BR-493-RJ","118.37530120481927"
-22.867,-43.601,"ECOVIAS RIO MINAS","BR-465-RJ","22.214141414141416"
-22.867,-43.6,"ECOVIAS RIO MINAS","BR-465-RJ","22.305050505050506"
-22.866,-43.812,"ECOVIAS RIO MINAS","BR-493-RJ","118.25240963855421"
-22.866,-43.601,"ECOVIAS RIO MINAS","BR-465-RJ","22.103030303030305"
-22.865,-43.812,"ECOVIAS RIO MINAS","BR-493-RJ","118.13975903614457"
-22.865,-43.601,"ECOVIAS RIO MINAS","BR-465-RJ","21.991919191919195"
-22.864,-43.812,"ECOVIAS RIO MINAS","BR-493-RJ","118.03734939759036"
-22.864,-43.602,"ECOVIAS RIO MINAS","BR-465-RJ","21.87070707070707"
-22.864,-43.601,"ECOVIAS RIO MINAS","BR-465-RJ","21.88080808080808"
-22.863,-43.812,"ECOVIAS RIO MINAS","BR-493-RJ","117.92469879518072"
-22.863,-43.602,"ECOVIAS RIO MINAS","BR-465-RJ","21.759595959595959"
-22.862,-43.812,"ECOVIAS RIO MINAS","BR-493-RJ","117.81204819277107"
-22.862,-43.602,"ECOVIAS RIO MINAS","BR-465-RJ","21.648484848484848"
-22.861,-43.812,"ECOVIAS RIO MINAS","BR-493-RJ","117.69939759036144"
-22.861,-43.602,"ECOVIAS RIO MINAS","BR-465-RJ","21.537373737373738"
-22.86,-43.812,"ECOVIAS RIO MINAS","BR-493-RJ","117.5867469879518"
-22.86,-43.602,"ECOVIAS RIO MINAS","BR-465-RJ","21.426262626262627"
-22.859,-43.812,"ECOVIAS RIO MINAS","BR-493-RJ","117.48433734939758"
-22.859,-43.602,"ECOVIAS RIO MINAS","BR-465-RJ","21.315151515151516"
-22.858,-43.812,"ECOVIAS RIO MINAS","BR-493-RJ","117.37168674698795"
-22.858,-43.602,"ECOVIAS RIO MINAS","BR-465-RJ","21.204040404040406"
-22.857,-43.812,"ECOVIAS RIO MINAS","BR-493-RJ","117.25903614457832"
-22.857,-43.602,"ECOVIAS RIO MINAS","BR-465-RJ","21.092929292929295"
-22.856,-43.812,"ECOVIAS RIO MINAS","BR-493-RJ","117.14638554216867"
-22.856,-43.602,"ECOVIAS RIO MINAS","BR-465-RJ","20.981818181818184"
-22.855,-43.812,"ECOVIAS RIO MINAS","BR-493-RJ","117.04397590361445"
-22.855,-43.602,"ECOVIAS RIO MINAS","BR-465-RJ","20.87070707070707"
-22.854,-43.812,"ECOVIAS RIO MINAS","BR-493-RJ","116.93132530120482"
-22.854,-43.602,"ECOVIAS RIO MINAS","BR-465-RJ","20.759595959595959"
-22.853,-43.812,"ECOVIAS RIO MINAS","BR-493-RJ","116.81867469879518"
-22.853,-43.602,"ECOVIAS RIO MINAS","BR-465-RJ","20.658585858585859"
-22.852,-43.812,"ECOVIAS RIO MINAS","BR-493-RJ","116.70602409638553"
-22.852,-43.602,"ECOVIAS RIO MINAS","BR-465-RJ","20.547474747474748"
-22.851,-43.812,"ECOVIAS RIO MINAS","BR-493-RJ","116.60361445783133"
-22.851,-43.602,"ECOVIAS RIO MINAS","BR-465-RJ","20.436363636363637"
-22.85,-43.812,"ECOVIAS RIO MINAS","BR-493-RJ","116.49096385542168"
-22.85,-43.603,"ECOVIAS RIO MINAS","BR-465-RJ","20.294949494949496"
-22.85,-43.602,"ECOVIAS RIO MINAS","BR-465-RJ","20.365656565656565"
-22.849,-43.812,"ECOVIAS RIO MINAS","BR-493-RJ","116.37831325301204"
-22.849,-43.604,"ECOVIAS RIO MINAS","BR-465-RJ","20.153535353535354"
-22.849,-43.603,"ECOVIAS RIO MINAS","BR-465-RJ","20.204040404040406"
-22.848,-43.812,"ECOVIAS RIO MINAS","BR-493-RJ","116.26566265060241"
-22.848,-43.605,"ECOVIAS RIO MINAS","BR-465-RJ","20.0020202020202"
-22.848,-43.604,"ECOVIAS RIO MINAS","BR-465-RJ","20.042424242424243"
-22.847,-43.812,"ECOVIAS RIO MINAS","BR-493-RJ","116.15301204819276"
-22.847,-43.606,"ECOVIAS RIO MINAS","BR-465-RJ","19.850505050505053"
-22.847,-43.605,"ECOVIAS RIO MINAS","BR-465-RJ","19.87070707070707"
-22.846,-43.811,"ECOVIAS RIO MINAS","BR-493-RJ","116.04036144578313"
-22.846,-43.606,"ECOVIAS RIO MINAS","BR-465-RJ",19.71
-22.845,-43.811,"ECOVIAS RIO MINAS","BR-493-RJ","115.92771084337349"
-22.845,-43.607,"ECOVIAS RIO MINAS","BR-465-RJ",19.57
-22.844,-43.811,"ECOVIAS RIO MINAS","BR-493-RJ","115.81506024096385"
-22.844,-43.608,"ECOVIAS RIO MINAS","BR-465-RJ","19.450000000000003"
-22.844,-43.607,"ECOVIAS RIO MINAS","BR-465-RJ",19.52
-22.843,-43.811,"ECOVIAS RIO MINAS","BR-493-RJ","115.70240963855422"
-22.843,-43.608,"ECOVIAS RIO MINAS","BR-465-RJ",19.32
-22.842,-43.811,"ECOVIAS RIO MINAS","BR-493-RJ","115.58975903614457"
-22.842,-43.609,"ECOVIAS RIO MINAS","BR-465-RJ","19.200000000000003"
-22.842,-43.608,"ECOVIAS RIO MINAS","BR-465-RJ","19.310000000000002"
-22.841,-43.811,"ECOVIAS RIO MINAS","BR-493-RJ","115.57951807228915"
-22.841,-43.81,"ECOVIAS RIO MINAS","BR-493-RJ","115.48734939759035"
-22.841,-43.61,"ECOVIAS RIO MINAS","BR-465-RJ",19.07
-22.841,-43.609,"ECOVIAS RIO MINAS","BR-465-RJ",19.1
-22.84,-43.81,"ECOVIAS RIO MINAS","BR-493-RJ","115.37469879518072"
-22.84,-43.61,"ECOVIAS RIO MINAS","BR-465-RJ","18.950000000000003"
-22.839,-43.81,"ECOVIAS RIO MINAS","BR-493-RJ","115.26204819277108"
-22.839,-43.611,"ECOVIAS RIO MINAS","BR-465-RJ",18.82
-22.839,-43.61,"ECOVIAS RIO MINAS","BR-465-RJ",18.9
-22.838,-43.81,"ECOVIAS RIO MINAS","BR-493-RJ","115.14939759036145"
-22.838,-43.611,"ECOVIAS RIO MINAS","BR-465-RJ","18.700000000000003"
-22.837,-43.81,"ECOVIAS RIO MINAS","BR-493-RJ","115.0367469879518"
-22.837,-43.612,"ECOVIAS RIO MINAS","BR-465-RJ",18.57
-22.837,-43.611,"ECOVIAS RIO MINAS","BR-465-RJ",18.69
-22.836,-43.81,"ECOVIAS RIO MINAS","BR-493-RJ","115.00602409638554"
-22.836,-43.809,"ECOVIAS RIO MINAS","BR-493-RJ","114.92409638554216"
-22.836,-43.613,"ECOVIAS RIO MINAS","BR-465-RJ","18.450000000000003"
-22.836,-43.612,"ECOVIAS RIO MINAS","BR-465-RJ",18.48
-22.835,-43.809,"ECOVIAS RIO MINAS","BR-493-RJ","114.81144578313253"
-22.835,-43.613,"ECOVIAS RIO MINAS","BR-465-RJ",18.32
-22.834,-43.809,"ECOVIAS RIO MINAS","BR-493-RJ","114.6987951807229"
-22.834,-43.614,"ECOVIAS RIO MINAS","BR-465-RJ",18.19
-22.834,-43.613,"ECOVIAS RIO MINAS","BR-465-RJ",18.27
-22.833,-43.809,"ECOVIAS RIO MINAS","BR-493-RJ","114.58614457831325"
-22.833,-43.614,"ECOVIAS RIO MINAS","BR-465-RJ",18.07
-22.832,-43.809,"ECOVIAS RIO MINAS","BR-493-RJ","114.47349397590361"
-22.832,-43.615,"ECOVIAS RIO MINAS","BR-465-RJ",17.94
-22.832,-43.614,"ECOVIAS RIO MINAS","BR-465-RJ","18.060000000000002"
-22.831,-43.809,"ECOVIAS RIO MINAS","BR-493-RJ","114.44277108433735"
-22.831,-43.808,"ECOVIAS RIO MINAS","BR-493-RJ","114.36084337349396"
-22.831,-43.616,"ECOVIAS RIO MINAS","BR-465-RJ",17.82
-22.831,-43.615,"ECOVIAS RIO MINAS","BR-465-RJ",17.85
-22.83,-43.808,"ECOVIAS RIO MINAS","BR-493-RJ","114.23795180722891"
-22.83,-43.616,"ECOVIAS RIO MINAS","BR-465-RJ",17.69
-22.829,-43.808,"ECOVIAS RIO MINAS","BR-493-RJ","114.12530120481927"
-22.829,-43.617,"ECOVIAS RIO MINAS","BR-465-RJ",17.57
-22.829,-43.616,"ECOVIAS RIO MINAS","BR-465-RJ",17.64
-22.828,-43.808,"ECOVIAS RIO MINAS","BR-493-RJ","114.04337349397591"
-22.828,-43.807,"ECOVIAS RIO MINAS","BR-493-RJ","114.01265060240964"
-22.828,-43.617,"ECOVIAS RIO MINAS","BR-465-RJ",17.44
-22.827,-43.807,"ECOVIAS RIO MINAS","BR-493-RJ","113.89999999999999"
-22.827,-43.618,"ECOVIAS RIO MINAS","BR-465-RJ",17.32
-22.827,-43.617,"ECOVIAS RIO MINAS","BR-465-RJ",17.42
-22.826,-43.807,"ECOVIAS RIO MINAS","BR-493-RJ","113.77710843373494"
-22.826,-43.619,"ECOVIAS RIO MINAS","BR-465-RJ",17.19
-22.826,-43.618,"ECOVIAS RIO MINAS","BR-465-RJ",17.22
-22.825,-43.807,"ECOVIAS RIO MINAS","BR-493-RJ","113.67469879518072"
-22.825,-43.806,"ECOVIAS RIO MINAS","BR-493-RJ","113.66445783132529"
-22.825,-43.619,"ECOVIAS RIO MINAS","BR-465-RJ",17.07
-22.824,-43.806,"ECOVIAS RIO MINAS","BR-493-RJ","113.55180722891566"
-22.824,-43.62,"ECOVIAS RIO MINAS","BR-465-RJ",16.94
-22.824,-43.619,"ECOVIAS RIO MINAS","BR-465-RJ",17.01
-22.823,-43.806,"ECOVIAS RIO MINAS","BR-493-RJ","113.4289156626506"
