snapshot_date;id;marcaId;marcaDescricao;modeloFamiliaId;modeloFamiliaDescricao;modeloId;modeloDescricao;modeloDescricaoReduzida;versaoId;versaoDescricao;corId;corDescricao;tipoTransmissaoId;categoriaId;categoriaDescricao;tipoTransmissaoDescricao;tipoCombustivelId;tipoCombustivelDescricao;anoModelo;anoFabricacao;odometro;preco;precoDe;desconto;cidadeId;cidadeDescricao;siglaEstado;siglaLoja;fotoUrl;pdpUrl;selo;maisProcurado;origem;selos;temFoto360;premium;blindado;type;brand;model;version_raw;manufacture_year;model_year;price;fuel;transmission;version
2026-03-01;365462;7;CHEVROLET;4;ONIX;3696;ONIX PLUS LT 1.0 12V FLEX 4P C/AR;PLUS LT 1.0 12V FLEX MANUAL;1;LONGITUDE;1349;PRETO OURO NEGRO;2;11;SEDAN;MANUAL;4;GASOLINA/ETANOL;2025;2024;45847;76990;81290.0;4300.0;4895;CAMPINAS;SP;VCCPK;https://cdn-site-seminovos.localiza.com/prd/site/anuncio/365462/general-motors-onix-plus-lt-10-12v-flex-4p-car-2025-preto-manual-seminovo-365462-33b4bb10-a12e-4ec6-8a50-5ee75a5ea150-1-thumb.webp;https://seminovos.localiza.com/detalhes-carro/chevrolet-onix-plus-lt-10-12v-flex-manual-365462;True;True;1;[];;;;sedan;chevrolet;onix;onix plus lt 1.0 12v flex 4p c/ar;2024;2025;76990;flex;mec.;onix sedan plus LT 1.0 12V FLEX 4P C/AR flex mec.
2026-03-01;365538;7;CHEVROLET;4;ONIX;3696;ONIX PLUS LT 1.0 12V FLEX 4P C/AR;PLUS LT 1.0 12V FLEX MANUAL;1;LONGITUDE;530;BRANCO SUMMIT;2;11;SEDAN;MANUAL;4;GASOLINA/ETANOL;2025;2024;47862;76990;78490.0;1500.0;1417;BETIM;MG;VCBET;https://cdn-site-seminovos.localiza.com/prd/site/anuncio/365538/general-motors-onix-plus-lt-10-12v-flex-4p-car-2025-branco-manual-seminovo-365538-610037da-3af6-4ee3-9006-4b2a0eea341c-1-thumb.webp;https://seminovos.localiza.com/detalhes-carro/chevrolet-onix-plus-lt-10-12v-flex-manual-365538;True;True;1;[];True;;;sedan;chevrolet;onix;onix plus lt 1.0 12v flex 4p c/ar;2024;2025;76990;flex;mec.;onix sedan plus LT 1.0 12V FLEX 4P C/AR flex mec.
2026-03-01;365590;5;RENAULT;26;KWID;4441;KWID ZEN 1.0 12V SCE FLEX 4P C/AR;ZEN 1.0 12V SCE FLEX MANUAL;1;LONGITUDE;1119;PRATA ETOILE;2;10;HATCH;MANUAL;4;GASOLINA/ETANOL;2025;2024;40712;56990;58590.0;1600.0;5253;PRESIDENTE PRUDENTE;SP;VCPPR;https://cdn-site-seminovos.localiza.com/prd/site/anuncio/365590/renault-kwid-zen-10-12v-sce-flex-4p-car-2025-prata-manual-seminovo-365590-67298122-3982-423d-9b4f-9c811025002e-1-thumb.webp;https://seminovos.localiza.com/detalhes-carro/renault-kwid-zen-10-12v-sce-flex-manual-365590;True;;1;[];;;;hatch;renault;kwid;kwid zen 1.0 12v sce flex 4p c/ar;2024;2025;56990;flex;mec.;KWID ZEN 1.0 12V SCE FLEX 4P C/AR flex mec.
2026-03-01;365600;7;CHEVROLET;4;ONIX;3696;ONIX PLUS LT 1.0 12V FLEX 4P C/AR;PLUS LT 1.0 12V FLEX MANUAL;1;LONGITUDE;643;CINZA DRAKE;2;11;SEDAN;MANUAL;4;GASOLINA/ETANOL;2025;2024;47129;76990;81290.0;4300.0;804;BRASÍLIA;DF;VCBSI;https://cdn-site-seminovos.localiza.com/prd/site/anuncio/365600/general-motors-onix-plus-lt-10-12v-flex-4p-car-2025-cinza-manual-seminovo-365600-2c516e10-87b5-439a-b726-d708352e4612-1-thumb.webp;https://seminovos.localiza.com/detalhes-carro/chevrolet-onix-plus-lt-10-12v-flex-manual-365600;True;True;1;[];;;;sedan;chevrolet;onix;onix plus lt 1.0 12v flex 4p c/ar;2024;2025;76990;flex;mec.;onix sedan plus LT 1.0 12V FLEX 4P C/AR flex mec.
2026-03-01;365669;7;CHEVROLET;4;ONIX;3704;ONIX PLUS LTZ 1.0 12V TURBO FLEX 4P C/AR - AUTOMÁTICO;PLUS LTZ 1.0 12V TURBO FLEX AUTOMATICO;1;LONGITUDE;3422;PRATA SHARK;8;11;SEDAN;AUTOMATICO;4;GASOLINA/ETANOL;2025;2024;46788;98490;101290.0;2800.0;5351;SÃO PAULO;SP;VCSPP;https://cdn-site-seminovos.localiza.com/prd/site/anuncio/365669/general-motors-onix-plus-ltz-10-12v-turbo-flex-4p-car--automtico-2025-prata-automatico-seminovo-365669-0008bc55-a48a-497e-8e22-e33fa437c931-1-thumb.webp;https://seminovos.localiza.com/detalhes-carro/chevrolet-onix-plus-ltz-10-12v-turbo-flex-automatico-365669;True;True;1;[];True;;;sedan;chevrolet;onix;onix plus ltz 1.0 12v turbo flex 4p c/ar - automático;2024;2025;98490;flex;aut.;onix sedan plus LTZ 1.0 12V TURBO FLEX 4P C/AR - AUTOMÁTICO flex aut.
2026-03-01;365773;2;VOLKSWAGEN;17;T-CROSS;4072;T-CROSS 1.0 200 TSI 12V TOTAL FLEX 4P C/AR - AUTOMÁTICO;1.0 200 TSI 12V TOTAL FLEX AUTOMATICO;1;LONGITUDE;770;CINZA PLATINUM;8;9;SUV;AUTOMATICO;4;GASOLINA/ETANOL;2025;2024;47326;122490;124390.0;1900.0;874;SERRA;ES;VCSER;https://cdn-site-seminovos.localiza.com/prd/site/anuncio/365773/volkswagen-tcross-10-200-tsi-12v-total-flex-4p-car--automtico-2025-cinza-automatico-seminovo-365773-6c58a188-d090-4902-83e8-170954cc9d91-1-thumb.webp;https://seminovos.localiza.com/detalhes-carro/volkswagen-t-cross-10-200-tsi-12v-total-flex-automatico-365773;True;;1;[];True;;;suv;volkswagen;t-cross;t-cross 1.0 200 tsi 12v total flex 4p c/ar - automático;2024;2025;122490;flex;aut.;T-CROSS 1.0 200 TSI 12V TOTAL FLEX 4P C/AR - AUTOMÁTICO flex aut.
2026-03-01;365794;7;CHEVROLET;39;TRACKER;10043;TRACKER LT 1.0 12V TURBO FLEX 4P C/AR - AUTOMÁTICO;LT 1.0 12V TURBO FLEX AUTOMATICO;1;LONGITUDE;530;BRANCO SUMMIT;8;9;SUV;AUTOMATICO;4;GASOLINA/ETANOL;2025;2024;44759;108990;110490.0;1500.0;5061;ITU;SP;VCOPI;https://cdn-site-seminovos.localiza.com/prd/site/anuncio/365794/general-motors-tracker-lt-10-12v-turbo-flex-4p-car--automtico-2025-branco-automatico-seminovo-365794-2c639995-a6cb-4b2e-9fd0-77edf1ed077f-1-thumb.webp;https://seminovos.localiza.com/detalhes-carro/chevrolet-tracker-lt-10-12v-turbo-flex-automatico-365794;True;True;1;[];;;;suv;chevrolet;tracker;tracker lt 1.0 12v turbo flex 4p c/ar - automático;2024;2025;108990;flex;aut.;TRACKER LT 1.0 12V TURBO FLEX 4P C/AR - AUTOMÁTICO flex aut.
2026-03-01;365837;2;VOLKSWAGEN;41;POLO;4836;POLO TRACK 1.0 12V FLEX 4P C/AR;TRACK 1.0 12V FLEX MANUAL;1;LONGITUDE;1338;PRETO NINJA;2;10;HATCH;MANUAL;4;GASOLINA/ETANOL;2025;2024;47773;76990;82790.0;5800.0;69;MACEIÓ;AL;VCMAC;https://cdn-site-seminovos.localiza.com/prd/site/anuncio/365837/volkswagen-polo-track-10-12v-flex-4p-car-2025-preto-manual-seminovo-365837-e972a2ba-785c-46ce-bd72-4264307eca2f-1-thumb.webp;https://seminovos.localiza.com/detalhes-carro/volkswagen-polo-track-10-12v-flex-manual-365837;True;True;1;[];;;;hatch;volkswagen;polo;polo track 1.0 12v flex 4p c/ar;2024;2025;76990;flex;mec.;POLO TRACK 1.0 12V FLEX 4P C/AR flex mec.
2026-03-01;365882;2;VOLKSWAGEN;41;POLO;4837;POLO TRACK 1.0 12V FLEX 4P C/AR - SM;TRACK 1.0 12V FLEX - SM MANUAL;1;LONGITUDE;470;BRANCO CRISTAL;2;10;HATCH;MANUAL;4;GASOLINA/ETANOL;2025;2024;45267;72990;78590.0;5600.0;1314;SÃO LUÍS;MA;VCSLS;https://cdn-site-seminovos.localiza.com/prd/site/anuncio/365882/volkswagen-polo-track-10-12v-flex-4p-car--sm-2025-branco-manual-seminovo-365882-02ac7ed0-969e-4f33-9f3b-19069b5cd0ba-2-thumb.webp;https://seminovos.localiza.com/detalhes-carro/volkswagen-polo-track-10-12v-flex-sm-manual-365882;True;True;1;[];;;;hatch;volkswagen;polo;polo track 1.0 12v flex 4p c/ar - sm;2024;2025;72990;flex;mec.;POLO TRACK 1.0 12V FLEX 4P C/AR - SM flex mec.
2026-03-01;365903;2;VOLKSWAGEN;17;T-CROSS;4072;T-CROSS 1.0 200 TSI 12V TOTAL FLEX 4P C/AR - AUTOMÁTICO;1.0 200 TSI 12V TOTAL FLEX AUTOMATICO;1;LONGITUDE;770;CINZA PLATINUM;8;9;SUV;AUTOMATICO;4;GASOLINA/ETANOL;2025;2024;41316;122490;125090.0;2600.0;5351;SÃO PAULO;SP;VCLEP;https://cdn-site-seminovos.localiza.com/prd/site/anuncio/365903/volkswagen-tcross-10-200-tsi-12v-total-flex-4p-car--automtico-2025-cinza-automatico-seminovo-365903-1eb5e398-dbca-4dba-a567-67b0a8b70ed7-1-thumb.webp;https://seminovos.localiza.com/detalhes-carro/volkswagen-t-cross-10-200-tsi-12v-total-flex-automatico-365903;True;True;1;[];True;;;suv;volkswagen;t-cross;t-cross 1.0 200 tsi 12v total flex 4p c/ar - automático;2024;2025;122490;flex;aut.;T-CROSS 1.0 200 TSI 12V TOTAL FLEX 4P C/AR - AUTOMÁTICO flex aut.
2026-03-01;365906;10;HYUNDAI;46;HB20S;3140;HB20S COMFORT PLUS FLEX 1.0;COMFORT PLUS FLEX 1.0 MANUAL;1;LONGITUDE;1345;PRETO ONIX;2;11;SEDAN;MANUAL;4;GASOLINA/ETANOL;2025;2024;48000;81990;86690.0;4700.0;2180;VARGINHA;MG;VCVAR;https://cdn-site-seminovos.localiza.com/prd/site/anuncio/365906/hyundai-hb20s-comfort-plus-flex-10-2025-preto-manual-seminovo-365906-76c89bd7-3540-4582-be4f-a172097e772a-1-thumb.webp;https://seminovos.localiza.com/detalhes-carro/hyundai-hb20s-comfort-plus-flex-10-manual-365906;True;True;1;[];True;;;sedan;hyundai;hb20s;hb20s comfort plus flex 1.0;2024;2025;81990;flex;mec.;HB20S COMFORT PLUS FLEX 1.0 flex mec.
