snapshot_date;id;marcaId;marcaDescricao;modeloFamiliaId;modeloFamiliaDescricao;modeloId;modeloDescricao;modeloDescricaoReduzida;versaoId;versaoDescricao;corId;corDescricao;tipoTransmissaoId;categoriaId;categoriaDescricao;tipoTransmissaoDescricao;tipoCombustivelId;tipoCombustivelDescricao;anoModelo;anoFabricacao;odometro;preco;precoDe;desconto;cidadeId;cidadeDescricao;siglaEstado;siglaLoja;fotoUrl;pdpUrl;temFoto360;selo;origem;selos;caracteristicas;maisProcurado;blindado;premium;type;brand;model;version_raw;manufacture_year;model_year;price;fuel;transmission;version
2026-03-15;370657;2;VOLKSWAGEN;41;POLO;4836;POLO TRACK 1.0 12V FLEX 4P C/AR;TRACK 1.0 12V FLEX MANUAL;1;LONGITUDE;1209;PRATA SIRIUS;2;10;HATCH;MANUAL;4;GASOLINA/ETANOL;2025;2024;44126;77490;79190.0;1700.0;3661;RIO DE JANEIRO;RJ;VCQNS;https://cdn-site-seminovos.localiza.com/prd/site/anuncio/370657/volkswagen-polo-track-10-12v-flex-4p-car-2025-prata-manual-seminovo-370657-7d254b84-08b0-4f93-b612-172aff3a555a-1-thumb.webp;https://seminovos.localiza.com/detalhes-carro/volkswagen-polo-track-10-12v-flex-manual-370657;True;True;1;[];"[{""id"": 10, ""descricao"": ""Carros em oferta""}]";;;;hatch;volkswagen;polo;polo track 1.0 12v flex 4p c/ar;2024;2025;77490;flex;mec.;POLO TRACK 1.0 12V FLEX 4P C/AR flex mec.
2026-03-15;370678;2;VOLKSWAGEN;41;POLO;4836;POLO TRACK 1.0 12V FLEX 4P C/AR;TRACK 1.0 12V FLEX MANUAL;1;LONGITUDE;770;CINZA PLATINUM;2;10;HATCH;MANUAL;4;GASOLINA/ETANOL;2025;2024;46634;77490;82290.0;4800.0;2218;CAMPO GRANDE;MS;VCCGR;https://cdn-site-seminovos.localiza.com/prd/site/anuncio/370678/volkswagen-polo-track-10-12v-flex-4p-car-2025-cinza-manual-seminovo-370678-24244410-0c4e-451f-b7e9-446ebcfe411d-1-thumb.webp;https://seminovos.localiza.com/detalhes-carro/volkswagen-polo-track-10-12v-flex-manual-370678;;True;1;[];"[{""id"": 10, ""descricao"": ""Carros em oferta""}]";True;;;hatch;volkswagen;polo;polo track 1.0 12v flex 4p c/ar;2024;2025;77490;flex;mec.;POLO TRACK 1.0 12V FLEX 4P C/AR flex mec.
2026-03-15;370740;2;VOLKSWAGEN;17;T-CROSS;4080;T-CROSS HIGHLINE 1.4 250 TSI 16V TOTAL FLEX 4P C/AR - AUTOMÁTICO;HIGHLINE 1.4 250 TSI 16V TOTAL FLEX AUTOMATICO;1;LONGITUDE;243;AZUL NORWAY;8;9;SUV;AUTOMATICO;4;GASOLINA/ETANOL;2025;2024;41655;139990;147990.0;8000.0;538;SALVADOR;BA;VCSAS;https://cdn-site-seminovos.localiza.com/prd/site/anuncio/370740/volkswagen-tcross-highline-14-250-tsi-16v-total-flex-4p-car--automtico-2025-azul-automatico-seminovo-370740-dd14ef30-d6a2-4e9a-921f-0130f38c78c5-1-thumb.webp;https://seminovos.localiza.com/detalhes-carro/volkswagen-t-cross-highline-14-250-tsi-16v-total-flex-automatico-370740;True;True;1;[];"[{""id"": 10, ""descricao"": ""Carros em oferta""}]";;;;suv;volkswagen;t-cross;t-cross highline 1.4 250 tsi 16v total flex 4p c/ar - automático;2024;2025;139990;flex;aut.;T-CROSS HIGHLINE 1.4 250 TSI 16V TOTAL FLEX 4P C/AR - AUTOMÁTICO flex aut.
2026-03-15;370791;7;CHEVROLET;4;ONIX;3661;ONIX LT 1.0 12V FLEX 4P C/AR;LT 1.0 12V FLEX MANUAL;1;LONGITUDE;530;BRANCO SUMMIT;2;10;HATCH;MANUAL;4;GASOLINA/ETANOL;2025;2024;47600;72490;74990.0;2500.0;1593;DIVINÓPOLIS;MG;VCDVN;https://cdn-site-seminovos.localiza.com/prd/site/anuncio/370791/general-motors-onix-lt-10-12v-flex-4p-car-2025-branco-manual-seminovo-370791-964b2f43-44af-4b53-849a-7656761228ca-1-thumb.webp;https://seminovos.localiza.com/detalhes-carro/chevrolet-onix-lt-10-12v-flex-manual-370791;True;True;1;[];"[{""id"": 10, ""descricao"": ""Carros em oferta""}]";True;;;hatch;chevrolet;onix;onix lt 1.0 12v flex 4p c/ar;2024;2025;72490;flex;mec.;onix hatch LT 1.0 12V FLEX 4P C/AR flex mec.
2026-03-15;370806;10;HYUNDAI;46;HB20S;3140;HB20S COMFORT PLUS FLEX 1.0;COMFORT PLUS FLEX 1.0 MANUAL;1;LONGITUDE;449;BRANCO ATLAS;2;11;SEDAN;MANUAL;4;GASOLINA/ETANOL;2025;2024;45213;81490;85490.0;4000.0;5374;SUZANO;SP;VCSZN;https://cdn-site-seminovos.localiza.com/prd/site/anuncio/370806/hyundai-hb20s-comfort-plus-flex-10-2025-branco-manual-seminovo-370806-8479842d-dc29-4115-8bf2-8bdbfea53d8b-1-thumb.webp;https://seminovos.localiza.com/detalhes-carro/hyundai-hb20s-comfort-plus-flex-10-manual-370806;True;True;1;[];"[{""id"": 10, ""descricao"": ""Carros em oferta""}]";;;;sedan;hyundai;hb20s;hb20s comfort plus flex 1.0;2024;2025;81490;flex;mec.;HB20S COMFORT PLUS FLEX 1.0 flex mec.
2026-03-15;370826;2;VOLKSWAGEN;41;POLO;4836;POLO TRACK 1.0 12V FLEX 4P C/AR;TRACK 1.0 12V FLEX MANUAL;1;LONGITUDE;770;CINZA PLATINUM;2;10;HATCH;MANUAL;4;GASOLINA/ETANOL;2025;2024;44643;77490;79590.0;2100.0;5351;SÃO PAULO;SP;VCSAO;https://cdn-site-seminovos.localiza.com/prd/site/anuncio/370826/volkswagen-polo-track-10-12v-flex-4p-car-2025-cinza-manual-seminovo-370826-d2965989-d403-4671-b6de-c4b8322c0600-1-thumb.webp;https://seminovos.localiza.com/detalhes-carro/volkswagen-polo-track-10-12v-flex-manual-370826;True;True;1;[];"[{""id"": 10, ""descricao"": ""Carros em oferta""}]";True;;;hatch;volkswagen;polo;polo track 1.0 12v flex 4p c/ar;2024;2025;77490;flex;mec.;POLO TRACK 1.0 12V FLEX 4P C/AR flex mec.
2026-03-15;370864;2;VOLKSWAGEN;41;POLO;4836;POLO TRACK 1.0 12V FLEX 4P C/AR;TRACK 1.0 12V FLEX MANUAL;1;LONGITUDE;770;CINZA PLATINUM;2;10;HATCH;MANUAL;4;GASOLINA/ETANOL;2025;2024;40102;77490;84090.0;6600.0;2918;RECIFE;PE;VCREC;https://cdn-site-seminovos.localiza.com/prd/site/anuncio/370864/volkswagen-polo-track-10-12v-flex-4p-car-2025-cinza-manual-seminovo-370864-248c46db-aa09-440e-84f9-7cc5013f3f45-1-thumb.webp;https://seminovos.localiza.com/detalhes-carro/volkswagen-polo-track-10-12v-flex-manual-370864;True;True;1;[];"[{""id"": 10, ""descricao"": ""Carros em oferta""}]";True;;;hatch;volkswagen;polo;polo track 1.0 12v flex 4p c/ar;2024;2025;77490;flex;mec.;POLO TRACK 1.0 12V FLEX 4P C/AR flex mec.
2026-03-15;370868;10;HYUNDAI;46;HB20S;3140;HB20S COMFORT PLUS FLEX 1.0;COMFORT PLUS FLEX 1.0 MANUAL;1;LONGITUDE;449;BRANCO ATLAS;2;11;SEDAN;MANUAL;4;GASOLINA/ETANOL;2025;2024;45359;81490;85490.0;4000.0;5351;SÃO PAULO;SP;VCSPN;https://cdn-site-seminovos.localiza.com/prd/site/anuncio/370868/hyundai-hb20s-comfort-plus-flex-10-2025-branco-manual-seminovo-370868-d18e6f49-b5cd-4636-b257-703078bf4bf4-1-thumb.webp;https://seminovos.localiza.com/detalhes-carro/hyundai-hb20s-comfort-plus-flex-10-manual-370868;True;True;1;[];"[{""id"": 10, ""descricao"": ""Carros em oferta""}]";True;;;sedan;hyundai;hb20s;hb20s comfort plus flex 1.0;2024;2025;81490;flex;mec.;HB20S COMFORT PLUS FLEX 1.0 flex mec.
2026-03-15;370897;7;CHEVROLET;38;SPIN;4786;SPIN PREMIER 7L 1.8 8V ECONOFLEX 4P C/AR - AUTOMÁTICO;PREMIER 7L 1.8 8V ECONOFLEX AUTOMATICO;1;LONGITUDE;94;AZUL BOREAL;8;12;MINIVAN;AUTOMATICO;4;GASOLINA/ETANOL;2025;2024;46294;125990;133590.0;7600.0;5351;SÃO PAULO;SP;VCCTN;https://cdn-site-seminovos.localiza.com/prd/site/anuncio/370897/general-motors-spin-premier-7l-18-8v-econoflex-4p-car--automtico-2025-azul-automatico-seminovo-370897-0d6b53d8-d793-4f52-8375-cd9f39486e99-1-thumb.webp;https://seminovos.localiza.com/detalhes-carro/chevrolet-spin-premier-7l-18-8v-econoflex-automatico-370897;;True;1;[];"[{""id"": 10, ""descricao"": ""Carros em oferta""}]";;;;minivan;chevrolet;spin;spin premier 7l 1.8 8v econoflex 4p c/ar - automático;2024;2025;125990;flex;aut.;SPIN PREMIER 7L 1.8 8V ECONOFLEX 4P C/AR - AUTOMÁTICO flex aut.
2026-03-15;370972;2;VOLKSWAGEN;41;POLO;4836;POLO TRACK 1.0 12V FLEX 4P C/AR;TRACK 1.0 12V FLEX MANUAL;1;LONGITUDE;1209;PRATA SIRIUS;2;10;HATCH;MANUAL;4;GASOLINA/ETANOL;2025;2024;43929;77490;80590.0;3100.0;5176;OSASCO;SP;VCSOS;https://cdn-site-seminovos.localiza.com/prd/site/anuncio/370972/volkswagen-polo-track-10-12v-flex-4p-car-2025-prata-manual-seminovo-370972-6eba6175-1af6-4740-9627-b09357d13dfe-1-thumb.webp;https://seminovos.localiza.com/detalhes-carro/volkswagen-polo-track-10-12v-flex-manual-370972;True;True;1;[];"[{""id"": 10, ""descricao"": ""Carros em oferta""}]";;;;hatch;volkswagen;polo;polo track 1.0 12v flex 4p c/ar;2024;2025;77490;flex;mec.;POLO TRACK 1.0 12V FLEX 4P C/AR flex mec.
