snapshot_date;id;marcaId;marcaDescricao;modeloFamiliaId;modeloFamiliaDescricao;modeloId;modeloDescricao;modeloDescricaoReduzida;versaoId;versaoDescricao;corId;corDescricao;tipoTransmissaoId;categoriaId;categoriaDescricao;tipoTransmissaoDescricao;tipoCombustivelId;tipoCombustivelDescricao;anoModelo;anoFabricacao;odometro;preco;precoDe;desconto;cidadeId;cidadeDescricao;siglaEstado;siglaLoja;fotoUrl;pdpUrl;temFoto360;cidadeProxima;premium;blindado;selo;maisProcurado;favorite;bonus;origem;selos;caracteristicas;type;brand;model;version_raw;manufacture_year;model_year;price;fuel;transmission;version
2026-07-15;427887;6;CITROEN;101;C3;6436;C3 LIVE PACK 1.0 6V FLEX 4P C/AR;LIVE PACK 1.0 6V FLEX MANUAL;1;LONGITUDE;581;CINZA ARTENSE;2;10;HATCH;MANUAL;4;GASOLINA/ETANOL;2025;2024;40881;69990;74090.0;4100.0;3661;RIO DE JANEIRO;RJ;VCITD;https://cdn-site-seminovos.localiza.com/prd/site/anuncio/427887/citroen-c3-live-pack-10-6v-flex-4p-car-2025-cinza-manual-seminovo-427887-3602c029-559e-484d-a79d-075655d65392-1-thumb.webp;https://seminovos.localiza.com/detalhes-carro/citroen-c3-live-pack-10-6v-flex-manual-427887;True;False;False;False;True;True;False;False;1;[];"[{""id"": 10, ""descricao"": ""Carros em oferta""}]";hatch;citroen;c3;c3 live pack 1.0 6v flex 4p c/ar;2024;2025;69990;flex;mec.;C3 LIVE PACK 1.0 6V FLEX 4P C/AR flex mec.
2026-07-15;427909;4;JEEP;1;RENEGADE;3353;RENEGADE LONGITUDE 1.3 16V TURBO 270 FLEX 4P C/AR - AUTOMÁTICO;LONGITUDE 1.3 16V TURBO 270 FLEX AUTOMATICO;1;LONGITUDE;1274;PRETO CARBON;8;9;SUV;AUTOMATICO;4;GASOLINA/ETANOL;2025;2024;42669;115990;122890.0;6900.0;3289;CURITIBA;PR;VCCTR;https://cdn-site-seminovos.localiza.com/prd/site/anuncio/427909/jeep-renegade-longitude-13-16v-turbo-270-flex-4p-car--automtico-2025-preto-automatico-seminovo-427909-9c6aefc2-696f-4a8a-8d6c-0423be2562fa-1-thumb.webp;https://seminovos.localiza.com/detalhes-carro/jeep-renegade-longitude-13-16v-turbo-270-flex-automatico-427909;True;False;False;False;True;True;False;False;1;[];"[{""id"": 10, ""descricao"": ""Carros em oferta""}]";suv;jeep;renegade;renegade longitude 1.3 16v turbo 270 flex 4p c/ar - automático;2024;2025;115990;flex;aut.;RENEGADE LONGITUDE 1.3 16V TURBO 270 FLEX 4P C/AR - AUTOMÁTICO flex aut.
2026-07-15;427939;2;VOLKSWAGEN;17;T-CROSS;4072;T-CROSS 1.0 200 TSI 12V TOTAL FLEX 4P C/AR - AUTOMÁTICO;1.0 200 TSI 12V TOTAL FLEX AUTOMATICO;1;LONGITUDE;1338;PRETO NINJA;8;9;SUV;AUTOMATICO;4;GASOLINA/ETANOL;2025;2024;44688;119990;121690.0;1700.0;4854;BAURU;SP;VCBAU;https://cdn-site-seminovos.localiza.com/prd/site/anuncio/427939/volkswagen-tcross-10-200-tsi-12v-total-flex-4p-car--automtico-2025-preto-automatico-seminovo-427939-a279de0d-7f6f-4982-abc0-d93c69712737-1-thumb.webp;https://seminovos.localiza.com/detalhes-carro/volkswagen-t-cross-10-200-tsi-12v-total-flex-automatico-427939;False;False;False;False;True;False;False;False;1;[];"[{""id"": 10, ""descricao"": ""Carros em oferta""}]";suv;volkswagen;t-cross;t-cross 1.0 200 tsi 12v total flex 4p c/ar - automático;2024;2025;119990;flex;aut.;T-CROSS 1.0 200 TSI 12V TOTAL FLEX 4P C/AR - AUTOMÁTICO flex aut.
2026-07-15;428081;7;CHEVROLET;4;ONIX;3696;ONIX PLUS LT 1.0 12V FLEX 4P C/AR;PLUS LT 1.0 12V FLEX MANUAL;1;LONGITUDE;530;BRANCO SUMMIT;2;11;SEDAN;MANUAL;4;GASOLINA/ETANOL;2025;2024;44377;76990;78990.0;2000.0;5333;SÃO BERNARDO DO CAMPO;SP;VCSBR;https://cdn-site-seminovos.localiza.com/prd/site/anuncio/428081/general-motors-onix-plus-lt-10-12v-flex-4p-car-2025-branco-manual-seminovo-428081-f7c2e22e-6ca5-4792-a8da-841b0716b426-1-thumb.webp;https://seminovos.localiza.com/detalhes-carro/chevrolet-onix-plus-lt-10-12v-flex-manual-428081;True;False;False;False;True;True;False;False;1;[];"[{""id"": 10, ""descricao"": ""Carros em oferta""}]";sedan;chevrolet;onix;onix plus lt 1.0 12v flex 4p c/ar;2024;2025;76990;flex;mec.;onix sedan plus LT 1.0 12V FLEX 4P C/AR flex mec.
2026-07-15;428109;7;CHEVROLET;4;ONIX;3696;ONIX PLUS LT 1.0 12V FLEX 4P C/AR;PLUS LT 1.0 12V FLEX MANUAL;1;LONGITUDE;530;BRANCO SUMMIT;2;11;SEDAN;MANUAL;4;GASOLINA/ETANOL;2025;2024;41022;76990;80690.0;3700.0;4895;CAMPINAS;SP;VCTAQ;https://cdn-site-seminovos.localiza.com/prd/site/anuncio/428109/general-motors-onix-plus-lt-10-12v-flex-4p-car-2025-branco-manual-seminovo-428109-c5560fec-ede9-475d-9348-1b0c22cc55a3-1-thumb.webp;https://seminovos.localiza.com/detalhes-carro/chevrolet-onix-plus-lt-10-12v-flex-manual-428109;True;False;False;False;True;True;False;False;1;[];"[{""id"": 10, ""descricao"": ""Carros em oferta""}]";sedan;chevrolet;onix;onix plus lt 1.0 12v flex 4p c/ar;2024;2025;76990;flex;mec.;onix sedan plus LT 1.0 12V FLEX 4P C/AR flex mec.
2026-07-15;428185;7;CHEVROLET;4;ONIX;3661;ONIX LT 1.0 12V FLEX 4P C/AR;LT 1.0 12V FLEX MANUAL;1;LONGITUDE;530;BRANCO SUMMIT;2;10;HATCH;MANUAL;4;GASOLINA/ETANOL;2025;2024;46523;72990;75590.0;2600.0;2180;VARGINHA;MG;VCVAR;https://cdn-site-seminovos.localiza.com/prd/site/anuncio/428185/general-motors-onix-lt-10-12v-flex-4p-car-2025-branco-manual-seminovo-428185-df10f83f-e26c-40cb-aa56-688d4692062d-1-thumb.webp;https://seminovos.localiza.com/detalhes-carro/chevrolet-onix-lt-10-12v-flex-manual-428185;True;False;False;False;True;True;False;False;1;[];"[{""id"": 10, ""descricao"": ""Carros em oferta""}]";hatch;chevrolet;onix;onix lt 1.0 12v flex 4p c/ar;2024;2025;72990;flex;mec.;onix hatch LT 1.0 12V FLEX 4P C/AR flex mec.
2026-07-15;428213;7;CHEVROLET;4;ONIX;3696;ONIX PLUS LT 1.0 12V FLEX 4P C/AR;PLUS LT 1.0 12V FLEX MANUAL;1;LONGITUDE;1349;PRETO OURO NEGRO;2;11;SEDAN;MANUAL;4;GASOLINA/ETANOL;2025;2024;46830;76990;78090.0;1100.0;5351;SÃO PAULO;SP;VCSAO;https://cdn-site-seminovos.localiza.com/prd/site/anuncio/428213/general-motors-onix-plus-lt-10-12v-flex-4p-car-2025-preto-manual-seminovo-428213-8d37ea8f-c6c7-4000-8a54-c317cf6ee76c-1-thumb.webp;https://seminovos.localiza.com/detalhes-carro/chevrolet-onix-plus-lt-10-12v-flex-manual-428213;True;False;False;False;True;True;False;False;1;[];"[{""id"": 10, ""descricao"": ""Carros em oferta""}]";sedan;chevrolet;onix;onix plus lt 1.0 12v flex 4p c/ar;2024;2025;76990;flex;mec.;onix sedan plus LT 1.0 12V FLEX 4P C/AR flex mec.
2026-07-15;428227;6;CITROEN;101;C3;6436;C3 LIVE PACK 1.0 6V FLEX 4P C/AR;LIVE PACK 1.0 6V FLEX MANUAL;1;LONGITUDE;453;BRANCO BANQUISE;2;10;HATCH;MANUAL;4;GASOLINA/ETANOL;2025;2024;40953;69990;72190.0;2200.0;5351;SÃO PAULO;SP;VCRJF;https://cdn-site-seminovos.localiza.com/prd/site/anuncio/428227/citroen-c3-live-pack-10-6v-flex-4p-car-2025-branco-manual-seminovo-428227-11cc941b-2126-45fe-9d4c-f37aef34e63d-1-thumb.webp;https://seminovos.localiza.com/detalhes-carro/citroen-c3-live-pack-10-6v-flex-manual-428227;False;False;False;False;True;True;False;False;1;[];"[{""id"": 10, ""descricao"": ""Carros em oferta""}]";hatch;citroen;c3;c3 live pack 1.0 6v flex 4p c/ar;2024;2025;69990;flex;mec.;C3 LIVE PACK 1.0 6V FLEX 4P C/AR flex mec.
2026-07-15;428236;7;CHEVROLET;4;ONIX;3661;ONIX LT 1.0 12V FLEX 4P C/AR;LT 1.0 12V FLEX MANUAL;1;LONGITUDE;530;BRANCO SUMMIT;2;10;HATCH;MANUAL;4;GASOLINA/ETANOL;2025;2024;41204;72990;74890.0;1900.0;2737;SANTO ANDRÉ;SP;VCSTD;https://cdn-site-seminovos.localiza.com/prd/site/anuncio/428236/general-motors-onix-lt-10-12v-flex-4p-car-2025-branco-manual-seminovo-428236-e3979b77-3f14-4f10-a270-f0bbebe74d51-1-thumb.webp;https://seminovos.localiza.com/detalhes-carro/chevrolet-onix-lt-10-12v-flex-manual-428236;True;False;False;False;True;True;False;False;1;[];"[{""id"": 10, ""descricao"": ""Carros em oferta""}]";hatch;chevrolet;onix;onix lt 1.0 12v flex 4p c/ar;2024;2025;72990;flex;mec.;onix hatch LT 1.0 12V FLEX 4P C/AR flex mec.
2026-07-15;428383;7;CHEVROLET;4;ONIX;3704;ONIX PLUS LTZ 1.0 12V TURBO FLEX 4P C/AR - AUTOMÁTICO;PLUS LTZ 1.0 12V TURBO FLEX AUTOMATICO;1;LONGITUDE;1349;PRETO OURO NEGRO;8;11;SEDAN;AUTOMATICO;4;GASOLINA/ETANOL;2025;2024;41839;92990;95490.0;2500.0;5132;MOGI DAS CRUZES;SP;VCMOG;https://cdn-site-seminovos.localiza.com/prd/site/anuncio/428383/general-motors-onix-plus-ltz-10-12v-turbo-flex-4p-car--automtico-2025-preta-automatico-seminovo-428383-f7e32ded-fc27-4434-85fd-8f222388659c-1-thumb.webp;https://seminovos.localiza.com/detalhes-carro/chevrolet-onix-plus-ltz-10-12v-turbo-flex-automatico-428383;True;False;False;False;True;True;False;False;1;[];"[{""id"": 10, ""descricao"": ""Carros em oferta""}]";sedan;chevrolet;onix;onix plus ltz 1.0 12v turbo flex 4p c/ar - automático;2024;2025;92990;flex;aut.;onix sedan plus LTZ 1.0 12V TURBO FLEX 4P C/AR - AUTOMÁTICO flex aut.
