snapshot_date;offer_id;fipe_code;type;brand;model;version_raw;manufacture_year;model_year;price;city;state;store_code;store_name;source;version
2025-08-25;11401206;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2022;2023;50400;Rio de Janeiro;RJ;;Rio de Janeiro Tijuca;movida;kwid zen 1.0 flex 12v 5p mec.
2025-08-25;11400050;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2023;2024;51000;Belo Horizonte;MG;;Belo Horizonte Carlos Luz;movida;kwid zen 1.0 flex 12v 5p mec.
2025-08-25;11400618;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2023;2024;51000;Belo Horizonte;MG;;Belo Horizonte Raja;movida;kwid zen 1.0 flex 12v 5p mec.
2025-08-25;11401666;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2023;2024;51000;João Pessoa;PB;;João Pessoa Brisamar;movida;kwid zen 1.0 flex 12v 5p mec.
2025-08-25;11406883;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2022;2023;51900;Campinas;SP;;Campinas Shopping Dom Pedro;movida;kwid zen 1.0 flex 12v 5p mec.
2025-08-25;11389764;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2023;2024;52000;Juiz de Fora;MG;;Juiz de Fora;movida;kwid zen 1.0 flex 12v 5p mec.
2025-08-25;11393651;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2023;2024;52000;Contagem;MG;;Contagem Babita Camargo;movida;kwid zen 1.0 flex 12v 5p mec.
2025-08-25;11394425;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2023;2024;52000;Fortaleza;CE;;Fortaleza Auto Shopping;movida;kwid zen 1.0 flex 12v 5p mec.
2025-08-25;11396188;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2023;2024;52000;Londrina;PR;;Londrina;movida;kwid zen 1.0 flex 12v 5p mec.
2025-08-25;11396278;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2023;2024;52000;Niterói;RJ;;Niterói;movida;kwid zen 1.0 flex 12v 5p mec.
2025-08-25;11396371;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2023;2024;52000;Fortaleza;CE;;Fortaleza;movida;kwid zen 1.0 flex 12v 5p mec.
2025-08-25;11396570;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2023;2024;52000;Manaus;AM;;Manaus;movida;kwid zen 1.0 flex 12v 5p mec.
2025-08-25;11396575;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2023;2024;52000;Natal;RN;;Natal;movida;kwid zen 1.0 flex 12v 5p mec.
2025-08-25;11399961;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2022;2023;52000;Aparecida de Goiânia;GO;;Aparecida de Goiânia;movida;kwid zen 1.0 flex 12v 5p mec.
2025-08-25;11400332;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2023;2024;52000;São Paulo;SP;;São Paulo Penha;movida;kwid zen 1.0 flex 12v 5p mec.
2025-08-25;11400867;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2023;2024;52000;Niterói;RJ;;Niterói;movida;kwid zen 1.0 flex 12v 5p mec.
2025-08-25;11401029;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2023;2024;52000;Santo André;SP;;Santo André;movida;kwid zen 1.0 flex 12v 5p mec.
2025-08-25;11401114;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2023;2024;52000;Goiânia;GO;;Goiânia Mutirão;movida;kwid zen 1.0 flex 12v 5p mec.
2025-08-25;11401159;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2023;2024;52000;Rio de Janeiro;RJ;;Rio de Janeiro Barra da Tijuca;movida;kwid zen 1.0 flex 12v 5p mec.
2025-08-25;11401561;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2023;2024;52000;São Carlos;SP;;São Carlos;movida;kwid zen 1.0 flex 12v 5p mec.
2025-08-25;11403702;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2023;2024;52000;Rio de Janeiro;RJ;;Rio de Janeiro Barra da Tijuca;movida;kwid zen 1.0 flex 12v 5p mec.
2025-08-25;11403907;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2023;2024;52000;Rio de Janeiro;RJ;;Rio de Janeiro Av. das Américas;movida;kwid zen 1.0 flex 12v 5p mec.
2025-08-25;11403924;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2023;2024;52000;Belo Horizonte;MG;;Belo Horizonte Carlos Luz;movida;kwid zen 1.0 flex 12v 5p mec.
2025-08-25;11404158;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2023;2024;52000;Santo André;SP;;Santo André;movida;kwid zen 1.0 flex 12v 5p mec.
