snapshot_date;ano_fabricacao;caracteristicas;cidade;estado;tem_fotos;img;portas;cor;loja;codigo_fipe;marca_modelo;id_marca;preco;especial_ecommerce;marca;uf;grupo_id;marca_modelo_versao;dt_atualizacao_elastic;id;complemento_opcional;id_loja;preco_0km;combustivel;localizacao;incentivos;quantidade_visualizacoes;modelo_versao;categoria;final_placa;modelo;id_vetor;dt_criacao;preco_anterior;ano_modelo;selos;quilometragem;promocoes;transmissao;versao;financiamento_parcelas;financiamento_porcentagem_entrada;financiamento_coeficiente;financiamento_valor_parcela;financiamento_valor_entrada;offer_id;fipe_code;type;brand;model;version_raw;manufacture_year;model_year;price;version
2025-12-01;2023;"[""Travas elétricas"", ""Airbags frontais"", ""Banco do motorista com ajuste de altura"", ""Conexão USB"", ""Freios ABS"", ""Airbag para motorista"", ""Volante com ajuste de altura"", ""Airbags laterais"", ""Controle elétrico do vidros dianteiros"", ""Ar condicionado"", ""Conexão Bluetooth"", ""Volante multifuncional"", ""Ar quente"", ""Rádio""]";Manaus;Amazonas;True;https://content.seminovosmovida.com.br/veiculos/1010603_377521adbdbe1599e01d831ec035547avmob.webp;4;Branco;Manaus;025266-2;Renault Kwid;48;45440;51910;Renault;AM;AX;Renault Kwid Zen 1.0 Flex 12V 5P Mec.;2025-12-01T02:31:49.772-03:00;1010603;;231;0.00;Flex;-3.0640312868064,-60.024858530683;"[{""img"": ""https://static.seminovosmovida.com.br/storage_dev/12x_sem_juros_sf.png"", ""incentivo"": ""12x sem juros""}]";0;Kwid Zen 1.0 Flex 12V 5P Mec.;Hatch;2;Kwid;1010603;2025-12-01 02:31:49;45440;2024;"[""https://static.seminovosmovida.com.br/storage_dev/Black_Friday.png""]";48371;"[""Black Friday""]";Manual;Zen 1.0 Flex 12V 5P Mec.;60;60;0.037014;672.77;27264;1010603;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2023;2024;45440;kwid zen 1.0 flex 12v 5p mec.
2025-12-01;2021;"[""Encosto de cabeça para todos os ocupantes"", ""Banco traseiro bipartido"", ""Controle elétrico do vidros dianteiros"", ""Ar condicionado"", ""Banco traseiro rebatível"", ""Cintos de três pontos para todos os ocupantes"", ""ISOFIX para fixação de cadeira infantil"", ""Airbags frontais"", ""Ar quente"", ""Freios ABS"", ""Volante com ajuste de altura""]";Limeira;São Paulo;True;https://content.seminovosmovida.com.br/veiculos/702025_135f7497bb9e3704512f124b56f1d788.jpeg;4;Branco;Limeira;001424-9;Fiat Uno;21;48100;38463;Fiat;SP;GT;Fiat Uno Attractive 1.0 Fire Flex 8V 5P;2025-12-01T02:35:14.234-03:00;702025;;1239;0.00;Flex;-22.552427786515,-47.379178252522;"[{""img"": ""https://static.seminovosmovida.com.br/storage_dev/12x_sem_juros_sf.png"", ""incentivo"": ""12x sem juros""}]";0;Uno Attractive 1.0 Fire Flex 8V 5P;Hatch;0;Uno;702025;2025-12-01 02:35:13;48100;2021;[];74658;[];Manual;Attractive 1.0 Fire Flex 8V 5P;60;60;0.037014;712.15;28860;702025;001424-9;hatch;fiat;uno;attractive 1.0 fire flex 8v 5p;2021;2021;48100;uno attractive 1.0 fire flex 8v 5p
2025-12-01;2021;"[""Encosto de cabeça para todos os ocupantes"", ""Banco traseiro bipartido"", ""Controle elétrico do vidros dianteiros"", ""Ar condicionado"", ""Banco traseiro rebatível"", ""Cintos de três pontos para todos os ocupantes"", ""ISOFIX para fixação de cadeira infantil"", ""Airbags frontais"", ""Ar quente"", ""Freios ABS"", ""Volante com ajuste de altura""]";São Paulo;São Paulo;True;https://content.seminovosmovida.com.br/veiculos/734402_7668299227cdad500033f57dc0959993vmob.webp;4;Branco;São Paulo Vila Guilherme;001424-9;Fiat Uno;21;48900;39041;Fiat;SP;GT;Fiat Uno Attractive 1.0 Fire Flex 8V 5P;2025-12-01T02:29:59.666-03:00;734402;;98;0.00;Flex;-23.513433693691,-46.607427115341;"[{""img"": ""https://static.seminovosmovida.com.br/storage_dev/12x_sem_juros_sf.png"", ""incentivo"": ""12x sem juros""}]";0;Uno Attractive 1.0 Fire Flex 8V 5P;Hatch;9;Uno;734402;2025-12-01 02:29:58;48900;2021;[];65269;[];Manual;Attractive 1.0 Fire Flex 8V 5P;60;60;0.037014;723.99;29340;734402;001424-9;hatch;fiat;uno;attractive 1.0 fire flex 8v 5p;2021;2021;48900;uno attractive 1.0 fire flex 8v 5p
2025-12-01;2022;"[""Travas elétricas"", ""Airbags frontais"", ""Banco do motorista com ajuste de altura"", ""Conexão USB"", ""Freios ABS"", ""Airbag para motorista"", ""Volante com ajuste de altura"", ""Airbags laterais"", ""Controle elétrico do vidros dianteiros"", ""Ar condicionado"", ""Conexão Bluetooth"", ""Volante multifuncional"", ""Ar quente"", ""Rádio""]";Santos;São Paulo;True;https://content.seminovosmovida.com.br/veiculos/908185_266c008832fbe4b30091b5c39eea2d24547d0bec.png;4;Branco;Santos;025266-2;Renault Kwid;48;50400;40298;Renault;SP;GT;Renault Kwid Zen 1.0 Flex 12V 5P Mec.;2025-12-01T02:32:35.026-03:00;908185;;1019;0.00;Flex;-23.956455189656,-46.331797199439;"[{""img"": ""https://static.seminovosmovida.com.br/storage_dev/12x_sem_juros_sf.png"", ""incentivo"": ""12x sem juros""}]";0;Kwid Zen 1.0 Flex 12V 5P Mec.;Hatch;2;Kwid;908185;2025-12-01 02:32:34;50400;2023;[];49924;[];Manual;Zen 1.0 Flex 12V 5P Mec.;60;60;0.037014;746.2;30240;908185;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2022;2023;50400;kwid zen 1.0 flex 12v 5p mec.
2025-12-01;2024;"[""Travas elétricas"", ""Airbags frontais"", ""Banco do motorista com ajuste de altura"", ""Conexão USB"", ""Freios ABS"", ""Airbag para motorista"", ""Volante com ajuste de altura"", ""Airbags laterais"", ""Controle elétrico do vidros dianteiros"", ""Ar condicionado"", ""Conexão Bluetooth"", ""Volante multifuncional"", ""Ar quente"", ""Rádio""]";Goiânia;Goiás;True;https://content.seminovosmovida.com.br/veiculos/1074506_d68e09c5b43ed2f4fd0844744e779532.jpeg;4;Prata;Goiânia Mutirão;025266-2;Renault Kwid;48;50600;56630;Renault;GO;AX;Renault Kwid Zen 1.0 Flex 12V 5P Mec.;2025-12-01T02:33:03.468-03:00;1074506;;168;0.00;Flex;-16.696879338019,-49.270411226988;"[{""img"": ""https://static.seminovosmovida.com.br/storage_dev/12x_sem_juros_sf.png"", ""incentivo"": ""12x sem juros""}]";0;Kwid Zen 1.0 Flex 12V 5P Mec.;Hatch;1;Kwid;1074506;2025-12-01 02:33:03;50600;2025;"[""https://static.seminovosmovida.com.br/storage_dev/Black_Friday.png""]";49664;"[""Black Friday""]";Manual;Zen 1.0 Flex 12V 5P Mec.;60;60;0.037014;749.16;30360;1074506;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2024;2025;50600;kwid zen 1.0 flex 12v 5p mec.
2025-12-01;2023;"[""Desembaçador do vidro traseiro"", ""Controle elétrico do vidros dianteiros"", ""Computador de bordo"", ""Ar condicionado"", ""Travas elétricas"", ""Airbags frontais"", ""Ar quente"", ""Freios ABS"", ""Airbag para motorista"", ""Limpador do vidro traseiro""]";Juiz de Fora;Minas Gerais;True;https://content.seminovosmovida.com.br/veiculos/990980_4c33f3ee983cb12d77c1d571fba74407.jpeg;4;Branco;Juiz de Fora;001461-3;Fiat Mobi;21;50780;56360;Fiat;MG;AX;Fiat Mobi Like 1.0 Fire Flex 5P.;2025-12-01T02:31:55.326-03:00;990980;;1296;0.00;Flex;-21.803930377379,-43.372257842329;"[{""img"": ""https://static.seminovosmovida.com.br/storage_dev/12x_sem_juros_sf.png"", ""incentivo"": ""12x sem juros""}]";0;Mobi Like 1.0 Fire Flex 5P.;Hatch;6;Mobi;990980;2025-12-01 02:31:54;50780;2024;"[""https://static.seminovosmovida.com.br/storage_dev/Black_Friday.png""]";50144;"[""Black Friday""]";Manual;Like 1.0 Fire Flex 5P.;60;60;0.037014;751.83;30468;990980;001461-3;hatch;fiat;mobi;like 1.0 fire flex 5p.;2023;2024;50780;mobi like 1.0 fire flex 5p.
2025-12-01;2024;"[""Travas elétricas"", ""Airbags frontais"", ""Banco do motorista com ajuste de altura"", ""Conexão USB"", ""Freios ABS"", ""Airbag para motorista"", ""Volante com ajuste de altura"", ""Airbags laterais"", ""Controle elétrico do vidros dianteiros"", ""Ar condicionado"", ""Conexão Bluetooth"", ""Volante multifuncional"", ""Ar quente"", ""Rádio""]";Belo Horizonte;Minas Gerais;True;https://content.seminovosmovida.com.br/veiculos/1078387_5bcf778277fb4711aded042ea7965bf6.jpeg;4;Branco;Belo Horizonte Raja;025266-2;Renault Kwid;48;50780;58080;Renault;MG;AX;Renault Kwid Zen 1.0 Flex 12V 5P Mec.;2025-12-01T02:34:13.665-03:00;1078387;;895;0.00;Flex;-19.963392339261,-43.956414907391;"[{""img"": ""https://static.seminovosmovida.com.br/storage_dev/12x_sem_juros_sf.png"", ""incentivo"": ""12x sem juros""}]";0;Kwid Zen 1.0 Flex 12V 5P Mec.;Hatch;0;Kwid;1078387;2025-12-01 02:34:13;50780;2025;"[""https://static.seminovosmovida.com.br/storage_dev/Black_Friday.png""]";39401;"[""Black Friday""]";Manual;Zen 1.0 Flex 12V 5P Mec.;60;60;0.037014;751.83;30468;1078387;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2024;2025;50780;kwid zen 1.0 flex 12v 5p mec.
2025-12-01;2023;"[""Desembaçador do vidro traseiro"", ""Controle elétrico do vidros dianteiros"", ""Computador de bordo"", ""Ar condicionado"", ""Travas elétricas"", ""Airbags frontais"", ""Ar quente"", ""Freios ABS"", ""Airbag para motorista"", ""Limpador do vidro traseiro""]";Juiz de Fora;Minas Gerais;True;https://content.seminovosmovida.com.br/veiculos/1003756_38496885c428f2ede67368ad2eddd833.jpeg;4;Branco;Juiz de Fora;001461-3;Fiat Mobi;21;50780;56930;Fiat;MG;AX;Fiat Mobi Like 1.0 Fire Flex 5P.;2025-12-01T02:35:54.845-03:00;1003756;;1296;0.00;Flex;-21.803930377379,-43.372257842329;"[{""img"": ""https://static.seminovosmovida.com.br/storage_dev/12x_sem_juros_sf.png"", ""incentivo"": ""12x sem juros""}]";0;Mobi Like 1.0 Fire Flex 5P.;Hatch;8;Mobi;1003756;2025-12-01 02:35:54;50780;2024;"[""https://static.seminovosmovida.com.br/storage_dev/Black_Friday.png""]";56809;"[""Black Friday""]";Manual;Like 1.0 Fire Flex 5P.;60;60;0.037014;751.83;30468;1003756;001461-3;hatch;fiat;mobi;like 1.0 fire flex 5p.;2023;2024;50780;mobi like 1.0 fire flex 5p.
2025-12-01;2023;"[""Travas elétricas"", ""Airbags frontais"", ""Banco do motorista com ajuste de altura"", ""Conexão USB"", ""Freios ABS"", ""Airbag para motorista"", ""Volante com ajuste de altura"", ""Airbags laterais"", ""Controle elétrico do vidros dianteiros"", ""Ar condicionado"", ""Conexão Bluetooth"", ""Volante multifuncional"", ""Ar quente"", ""Rádio""]";São José do Rio Preto;São Paulo;True;https://content.seminovosmovida.com.br/veiculos/1032218_5003fd6abee9da6669b3d7cf69b769e4.jfif;4;Branco;São José do Rio Preto;025266-2;Renault Kwid;48;50800;40634;Renault;SP;AX;Renault Kwid Zen 1.0 Flex 12V 5P Mec.;2025-12-01T02:35:04.333-03:00;1032218;;229;0.00;Flex;-20.828292459807,-49.404950498152;"[{""img"": ""https://static.seminovosmovida.com.br/storage_dev/12x_sem_juros_sf.png"", ""incentivo"": ""12x sem juros""}]";0;Kwid Zen 1.0 Flex 12V 5P Mec.;Hatch;2;Kwid;1032218;2025-12-01 02:35:03;50800;2024;[];60037;[];Manual;Zen 1.0 Flex 12V 5P Mec.;60;60;0.037014;752.12;30480;1032218;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2023;2024;50800;kwid zen 1.0 flex 12v 5p mec.
2025-12-01;2023;"[""Travas elétricas"", ""Airbags frontais"", ""Banco do motorista com ajuste de altura"", ""Conexão USB"", ""Freios ABS"", ""Airbag para motorista"", ""Volante com ajuste de altura"", ""Airbags laterais"", ""Controle elétrico do vidros dianteiros"", ""Ar condicionado"", ""Conexão Bluetooth"", ""Volante multifuncional"", ""Ar quente"", ""Rádio""]";Goiânia;Goiás;True;https://content.seminovosmovida.com.br/veiculos/995283_3b6042a05b8c68b25d4cca95b2047b47vmob.webp;4;Branco;Goiânia Mutirão;025266-2;Renault Kwid;48;51400;41053;Renault;GO;AX;Renault Kwid Zen 1.0 Flex 12V 5P Mec.;2025-12-01T02:31:35.867-03:00;995283;;168;0.00;Flex;-16.696879338019,-49.270411226988;"[{""img"": ""https://static.seminovosmovida.com.br/storage_dev/12x_sem_juros_sf.png"", ""incentivo"": ""12x sem juros""}]";0;Kwid Zen 1.0 Flex 12V 5P Mec.;Hatch;2;Kwid;995283;2025-12-01 02:31:35;51400;2024;[];58028;[];Manual;Zen 1.0 Flex 12V 5P Mec.;60;60;0.037014;761.01;30840;995283;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2023;2024;51400;kwid zen 1.0 flex 12v 5p mec.
