snapshot_date;ano_fabricacao;caracteristicas;cidade;estado;tem_fotos;img;portas;cor;loja;codigo_fipe;marca_modelo;id_marca;preco;especial_ecommerce;marca;uf;grupo_id;marca_modelo_versao;dt_atualizacao_elastic;id;complemento_opcional;id_loja;preco_0km;itens_especiais;combustivel;localizacao;incentivos;quantidade_visualizacoes;modelo_versao;categoria;final_placa;modelo;id_vetor;dt_criacao;preco_anterior;subcategoria;ano_modelo;selos;quilometragem;promocoes;transmissao;versao;financiamento_parcelas;financiamento_porcentagem_entrada;financiamento_coeficiente;financiamento_valor_parcela;financiamento_valor_entrada;offer_id;fipe_code;type;brand;model;version_raw;manufacture_year;model_year;price;version
2026-03-15;2019;"[""Desembaçador do vidro traseiro"", ""Controle elétrico do vidros dianteiros"", ""Ar condicionado"", ""Travas elétricas"", ""Airbags frontais"", ""Alarme"", ""Freios ABS"", ""Airbag para motorista""]";Teresina;Piauí;False;;4;Branco;Teresina;025289-1;Renault Logan;48;41900;33451;Renault;PI;BS;Renault Logan Life Flex 1.0 12V 4P Mec.;2026-03-15T02:07:50.947-03:00;597327;;321;0.00;;Flex;-5.0798630763995,-42.785883428835;"[{""img"": ""https://static.seminovosmovida.com.br/storage_dev/12x_sem_juros_sf.png"", ""incentivo"": ""12x sem juros""}]";0;Logan Life Flex 1.0 12V 4P Mec.;Sedan;9;Logan;597327;2026-03-15 02:07:50;41900;Sedan Compacto;2020;[];49767;[];Manual;Life Flex 1.0 12V 4P Mec.;60;60;0.037014;620.35;25140;597327;025289-1;sedan;renault;logan;life flex 1.0 12v 4p mec.;2019;2020;41900;logan life flex 1.0 12v 4p mec.
2026-03-15;2020;"[""Encosto de cabeça para todos os ocupantes"", ""Banco traseiro bipartido"", ""Controle elétrico do vidros dianteiros"", ""Ar condicionado"", ""Banco traseiro rebatível"", ""Cintos de três pontos para todos os ocupantes"", ""ISOFIX para fixação de cadeira infantil"", ""Airbags frontais"", ""Ar quente"", ""Freios ABS"", ""Volante com ajuste de altura""]";São Paulo;São Paulo;False;;4;Prata;São Paulo Vila Carrão;001424-9;Fiat Uno;21;45600;36460;Fiat;SP;BX;Fiat Uno Attractive 1.0 Fire Flex 8V 5P;2026-03-15T02:18:08.830-03:00;1089160;;298;0.00;;Gasolina;-23.549958383185,-46.534480459518;"[{""img"": ""https://static.seminovosmovida.com.br/storage_dev/12x_sem_juros_sf.png"", ""incentivo"": ""12x sem juros""}]";0;Uno Attractive 1.0 Fire Flex 8V 5P;Hatch;5;Uno;1089160;2026-03-15 02:18:08;45600;Hatch Compacto;2021;[];82817;[];Manual;Attractive 1.0 Fire Flex 8V 5P;60;60;0.037014;675.14;27360;1089160;001424-9;hatch;fiat;uno;attractive 1.0 fire flex 8v 5p;2020;2021;45600;uno attractive 1.0 fire flex 8v 5p
2026-03-15;2020;"[""Encosto de cabeça para todos os ocupantes"", ""Banco traseiro bipartido"", ""Controle elétrico do vidros dianteiros"", ""Ar condicionado"", ""Banco traseiro rebatível"", ""Cintos de três pontos para todos os ocupantes"", ""ISOFIX para fixação de cadeira infantil"", ""Airbags frontais"", ""Ar quente"", ""Freios ABS"", ""Volante com ajuste de altura""]";São Paulo;São Paulo;True;https://content.seminovosmovida.com.br/veiculos/1089140_a3f82a8cf4a06cf579ec49fd0647833dvmob.webp;4;Branco;São Paulo Penha;001424-9;Fiat Uno;21;46600;37204;Fiat;SP;BX;Fiat Uno Attractive 1.0 Fire Flex 8V 5P;2026-03-15T02:11:47.882-03:00;1089140;;332;0.00;;Gasolina;-23.512483696115,-46.523686150675;"[{""img"": ""https://static.seminovosmovida.com.br/storage_dev/12x_sem_juros_sf.png"", ""incentivo"": ""12x sem juros""}]";0;Uno Attractive 1.0 Fire Flex 8V 5P;Hatch;0;Uno;1089140;2026-03-15 02:11:47;46600;Hatch Compacto;2021;[];70185;[];Manual;Attractive 1.0 Fire Flex 8V 5P;60;60;0.037014;689.94;27960;1089140;001424-9;hatch;fiat;uno;attractive 1.0 fire flex 8v 5p;2020;2021;46600;uno attractive 1.0 fire flex 8v 5p
2026-03-15;2020;"[""Encosto de cabeça para todos os ocupantes"", ""Banco traseiro bipartido"", ""Controle elétrico do vidros dianteiros"", ""Ar condicionado"", ""Banco traseiro rebatível"", ""Cintos de três pontos para todos os ocupantes"", ""ISOFIX para fixação de cadeira infantil"", ""Airbags frontais"", ""Ar quente"", ""Freios ABS"", ""Volante com ajuste de altura""]";Mogi das Cruzes;São Paulo;False;;4;Branco;Mogi das Cruzes;001424-9;Fiat Uno;21;46600;37204;Fiat;SP;BX;Fiat Uno Attractive 1.0 Fire Flex 8V 5P;2026-03-15T02:24:12.530-03:00;1089215;;156;0.00;;Gasolina;-23.527630712352,-46.205204171165;"[{""img"": ""https://static.seminovosmovida.com.br/storage_dev/12x_sem_juros_sf.png"", ""incentivo"": ""12x sem juros""}]";0;Uno Attractive 1.0 Fire Flex 8V 5P;Hatch;5;Uno;1089215;2026-03-15 02:24:12;46600;Hatch Compacto;2021;[];77065;[];Manual;Attractive 1.0 Fire Flex 8V 5P;60;60;0.037014;689.94;27960;1089215;001424-9;hatch;fiat;uno;attractive 1.0 fire flex 8v 5p;2020;2021;46600;uno attractive 1.0 fire flex 8v 5p
2026-03-15;2022;"[""Travas elétricas"", ""Airbags frontais"", ""Banco do motorista com ajuste de altura"", ""Conexão USB"", ""Freios ABS"", ""Airbag para motorista"", ""Volante com ajuste de altura"", ""Airbags laterais"", ""Controle elétrico do vidros dianteiros"", ""Ar condicionado"", ""Conexão Bluetooth"", ""Volante multifuncional"", ""Ar quente"", ""Rádio""]";Salvador;Bahia;True;https://content.seminovosmovida.com.br/veiculos/886924_4d2856213307075601891bf8f77a0ca2vmob.webp;4;Branco;Salvador Paralela;025266-2;Renault Kwid;48;49200;39357;Renault;BA;GT;Renault Kwid Zen 1.0 Flex 12V 5P Mec.;2026-03-15T02:27:54.146-03:00;886924;;478;0.00;;Flex;-12.939381743809,-38.410139001848;"[{""img"": ""https://static.seminovosmovida.com.br/storage_dev/12x_sem_juros_sf.png"", ""incentivo"": ""12x sem juros""}]";0;Kwid Zen 1.0 Flex 12V 5P Mec.;Hatch;5;Kwid;886924;2026-03-15 02:27:53;49200;Hatch Compacto;2023;"[""https://static.seminovosmovida.com.br/storage_dev/Tanque_Cheio.png""]";89694;"[""Tanque Cheio""]";Manual;Zen 1.0 Flex 12V 5P Mec.;60;60;0.037014;728.44;29520;886924;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2022;2023;49200;kwid zen 1.0 flex 12v 5p mec.
2026-03-15;2022;"[""Travas elétricas"", ""Airbags frontais"", ""Banco do motorista com ajuste de altura"", ""Conexão USB"", ""Freios ABS"", ""Airbag para motorista"", ""Volante com ajuste de altura"", ""Airbags laterais"", ""Controle elétrico do vidros dianteiros"", ""Ar condicionado"", ""Conexão Bluetooth"", ""Volante multifuncional"", ""Ar quente"", ""Rádio""]";Serra;Espírito Santo;True;https://content.seminovosmovida.com.br/veiculos/886925_06eb31ce9a5c94cc4268514d38d49376vmob.webp;4;Branco;Serra;025266-2;Renault Kwid;48;49400;39454;Renault;ES;AX;Renault Kwid Zen 1.0 Flex 12V 5P Mec.;2026-03-15T02:27:52.144-03:00;886925;;1043;0.00;;Flex;-20.195055272835,-40.268695542329;"[{""img"": ""https://static.seminovosmovida.com.br/storage_dev/12x_sem_juros_sf.png"", ""incentivo"": ""12x sem juros""}]";0;Kwid Zen 1.0 Flex 12V 5P Mec.;Hatch;1;Kwid;886925;2026-03-15 02:27:51;49400;Hatch Compacto;2023;"[""https://static.seminovosmovida.com.br/storage_dev/Tanque_Cheio.png""]";60513;"[""Tanque Cheio""]";Manual;Zen 1.0 Flex 12V 5P Mec.;60;60;0.037014;731.4;29640;886925;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2022;2023;49400;kwid zen 1.0 flex 12v 5p mec.
2026-03-15;2023;"[""Travas elétricas"", ""Airbags frontais"", ""Banco do motorista com ajuste de altura"", ""Conexão USB"", ""Freios ABS"", ""Airbag para motorista"", ""Volante com ajuste de altura"", ""Airbags laterais"", ""Controle elétrico do vidros dianteiros"", ""Ar condicionado"", ""Conexão Bluetooth"", ""Volante multifuncional"", ""Ar quente"", ""Rádio""]";Manaus;Amazonas;True;https://content.seminovosmovida.com.br/veiculos/1009971_a8d1e49e665f214f768bea23cfb2cadbvmob.webp;4;Branco;Manaus;025266-2;Renault Kwid;48;49500;39525;Renault;AM;AX;Renault Kwid Zen 1.0 Flex 12V 5P Mec.;2026-03-15T02:12:18.947-03:00;1009971;;231;0.00;;Flex;-3.0640312868064,-60.024858530683;"[{""img"": ""https://static.seminovosmovida.com.br/storage_dev/12x_sem_juros_sf.png"", ""incentivo"": ""12x sem juros""}]";0;Kwid Zen 1.0 Flex 12V 5P Mec.;Hatch;2;Kwid;1009971;2026-03-15 02:12:18;49500;Hatch Compacto;2024;"[""https://static.seminovosmovida.com.br/storage_dev/Tanque_Cheio.png""]";52789;"[""Tanque Cheio""]";Manual;Zen 1.0 Flex 12V 5P Mec.;60;60;0.037014;732.88;29700;1009971;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2023;2024;49500;kwid zen 1.0 flex 12v 5p mec.
2026-03-15;2021;"[""Controle elétrico do vidros dianteiros"", ""Computador de bordo"", ""Ar condicionado"", ""Travas elétricas"", ""Airbags frontais"", ""Freios ABS"", ""Airbag para motorista""]";Limeira;São Paulo;False;;4;Prata;Limeira;001461-3;Fiat Mobi;21;49500;39579;Fiat;SP;RF;Fiat Mobi Like 1.0 Fire Flex 5P.;2026-03-15T02:21:11.351-03:00;694032;;1239;0.00;;Flex;-22.552427786515,-47.379178252522;"[{""img"": ""https://static.seminovosmovida.com.br/storage_dev/12x_sem_juros_sf.png"", ""incentivo"": ""12x sem juros""}]";0;Mobi Like 1.0 Fire Flex 5P.;Hatch;0;Mobi;694032;2026-03-15 02:21:10;49500;Hatch Compacto;2021;[];61353;[];Manual;Like 1.0 Fire Flex 5P.;60;60;0.037014;732.88;29700;694032;001461-3;hatch;fiat;mobi;like 1.0 fire flex 5p.;2021;2021;49500;mobi like 1.0 fire flex 5p.
2026-03-15;2022;"[""Travas elétricas"", ""Airbags frontais"", ""Banco do motorista com ajuste de altura"", ""Conexão USB"", ""Freios ABS"", ""Airbag para motorista"", ""Volante com ajuste de altura"", ""Airbags laterais"", ""Controle elétrico do vidros dianteiros"", ""Ar condicionado"", ""Conexão Bluetooth"", ""Volante multifuncional"", ""Ar quente"", ""Rádio""]";Goiânia;Goiás;True;https://content.seminovosmovida.com.br/veiculos/907366_d08a1480431f341fa6e093574fc1d783vmob.webp;4;Branco;Auto Shopping Passeio das Águas;025266-2;Renault Kwid;48;49700;39719;Renault;GO;GT;Renault Kwid Zen 1.0 Flex 12V 5P Mec.;2026-03-15T02:21:56.857-03:00;907366;;1502;0.00;;Flex;-16.63573,-49.28354;"[{""img"": ""https://static.seminovosmovida.com.br/storage_dev/12x_sem_juros_sf.png"", ""incentivo"": ""12x sem juros""}]";0;Kwid Zen 1.0 Flex 12V 5P Mec.;Hatch;1;Kwid;907366;2026-03-15 02:21:56;49700;Hatch Compacto;2023;"[""https://static.seminovosmovida.com.br/storage_dev/Tanque_Cheio.png""]";88386;"[""Tanque Cheio""]";Manual;Zen 1.0 Flex 12V 5P Mec.;60;60;0.037014;735.84;29820;907366;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2022;2023;49700;kwid zen 1.0 flex 12v 5p mec.
2026-03-15;2023;"[""Travas elétricas"", ""Airbags frontais"", ""Banco do motorista com ajuste de altura"", ""Conexão USB"", ""Freios ABS"", ""Airbag para motorista"", ""Volante com ajuste de altura"", ""Airbags laterais"", ""Controle elétrico do vidros dianteiros"", ""Ar condicionado"", ""Conexão Bluetooth"", ""Volante multifuncional"", ""Ar quente"", ""Rádio""]";São Paulo;São Paulo;True;https://content.seminovosmovida.com.br/veiculos/1028239_b8177748d66571593a1770f80d58ccc1.jpeg;4;Branco;São Paulo Vila Ema;025266-2;Renault Kwid;48;49990;55990;Renault;SP;AX;Renault Kwid Zen 1.0 Flex 12V 5P Mec.;2026-03-15T02:06:20.943-03:00;1028239;;87;0.00;;Flex;-23.581213560954,-46.558138826988;"[{""img"": ""https://static.seminovosmovida.com.br/storage_dev/12x_sem_juros_sf.png"", ""incentivo"": ""12x sem juros""}]";0;Kwid Zen 1.0 Flex 12V 5P Mec.;Hatch;2;Kwid;1028239;2026-03-15 02:06:19;49990;Hatch Compacto;2024;"[""https://static.seminovosmovida.com.br/storage_dev/Tanque_Cheio.png""]";80709;"[""Tanque Cheio""]";Manual;Zen 1.0 Flex 12V 5P Mec.;60;60;0.037014;740.13;29994;1028239;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2023;2024;49990;kwid zen 1.0 flex 12v 5p mec.
