snapshot_date;ano_fabricacao;caracteristicas;cidade;estado;tem_fotos;img;portas;cor;loja;codigo_fipe;marca_modelo;baixo_km;id_marca;preco;especial_ecommerce;marca;uf;grupo_id;marca_modelo_versao;dt_atualizacao_elastic;id;complemento_opcional;id_loja;preco_0km;itens_especiais;combustivel;localizacao;incentivos;quantidade_visualizacoes;modelo_versao;categoria;final_placa;modelo;id_vetor;dt_criacao;preco_anterior;subcategoria;ano_modelo;selos;quilometragem;promocoes;transmissao;versao;financiamento_parcelas;financiamento_porcentagem_entrada;financiamento_coeficiente;financiamento_valor_parcela;financiamento_valor_entrada;offer_id;fipe_code;type;brand;model;version_raw;manufacture_year;model_year;price;version
2026-07-15;2023;"[""Travas elétricas"", ""Airbags frontais"", ""Banco do motorista com ajuste de altura"", ""Conexão USB"", ""Freios ABS"", ""Airbag para motorista"", ""Volante com ajuste de altura"", ""Airbags laterais"", ""Controle elétrico do vidros dianteiros"", ""Ar condicionado"", ""Conexão Bluetooth"", ""Volante multifuncional"", ""Ar quente"", ""Rádio""]";Piracicaba;São Paulo;True;https://content.seminovosmovida.com.br/veiculos/1008845_cb19be0df2c93f4489be8f99c5d1f47e.jpeg;4;Branco;Piracicaba;025266-2;Renault Kwid;False;48;48400;53900;Renault;SP;AX;Renault Kwid Zen 1.0 Flex 12V 5P Mec.;2026-07-15T01:49:53.771-03:00;1008845;;97;57560.8;;Flex;-22.727489461322,-47.619065260245;"[{""img"": ""https://static.seminovosmovida.com.br/storage_dev/12x_sem_juros_sf.png"", ""incentivo"": ""12x sem juros""}]";0;Kwid Zen 1.0 Flex 12V 5P Mec.;Hatch;1;Kwid;1008845;2026-07-15 01:49:52;48400;Hatch Compacto;2024;"[""https://static.seminovosmovida.com.br/storage_dev/1_Ano_de_Garantia.png""]";80766;"[""1 Ano de Garantia""]";Manual;Zen 1.0 Flex 12V 5P Mec.;60;60;0.037014;716.59;29040;1008845;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2023;2024;48400;kwid zen 1.0 flex 12v 5p mec.
2026-07-15;2023;"[""Travas elétricas"", ""Airbags frontais"", ""Banco do motorista com ajuste de altura"", ""Conexão USB"", ""Freios ABS"", ""Airbag para motorista"", ""Volante com ajuste de altura"", ""Airbags laterais"", ""Controle elétrico do vidros dianteiros"", ""Ar condicionado"", ""Conexão Bluetooth"", ""Volante multifuncional"", ""Ar quente"", ""Rádio""]";Barueri;São Paulo;True;https://content.seminovosmovida.com.br/veiculos/1017689_fc9da25bfbffd8885321264365d82b11vmob.webp;4;Branco;Auto Shopping Tamboré;025266-2;Renault Kwid;False;48;48400;53900;Renault;SP;AX;Renault Kwid Zen 1.0 Flex 12V 5P Mec.;2026-07-15T01:51:52.517-03:00;1017689;;1491;57560.8;;Flex;-23.50393,-46.83201;"[{""img"": ""https://static.seminovosmovida.com.br/storage_dev/12x_sem_juros_sf.png"", ""incentivo"": ""12x sem juros""}]";0;Kwid Zen 1.0 Flex 12V 5P Mec.;Hatch;8;Kwid;1017689;2026-07-15 01:51:52;48400;Hatch Compacto;2024;"[""https://static.seminovosmovida.com.br/storage_dev/1_Ano_de_Garantia.png""]";85001;"[""1 Ano de Garantia""]";Manual;Zen 1.0 Flex 12V 5P Mec.;60;60;0.037014;716.59;29040;1017689;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2023;2024;48400;kwid zen 1.0 flex 12v 5p mec.
2026-07-15;2023;"[""Travas elétricas"", ""Airbags frontais"", ""Banco do motorista com ajuste de altura"", ""Conexão USB"", ""Freios ABS"", ""Airbag para motorista"", ""Volante com ajuste de altura"", ""Airbags laterais"", ""Controle elétrico do vidros dianteiros"", ""Ar condicionado"", ""Conexão Bluetooth"", ""Volante multifuncional"", ""Ar quente"", ""Rádio""]";Americana;São Paulo;True;https://content.seminovosmovida.com.br/veiculos/996705_34e99ce3d53fa20254a6f6604e31c71evmob.webp;4;Branco;Americana;025266-2;Renault Kwid;False;48;48400;38704;Renault;SP;AX;Renault Kwid Zen 1.0 Flex 12V 5P Mec.;2026-07-15T01:53:39.722-03:00;996705;;1236;57560.8;;Flex;-22.748374131398,-47.30399658705;"[{""img"": ""https://static.seminovosmovida.com.br/storage_dev/12x_sem_juros_sf.png"", ""incentivo"": ""12x sem juros""}]";0;Kwid Zen 1.0 Flex 12V 5P Mec.;Hatch;2;Kwid;996705;2026-07-15 01:53:39;48400;Hatch Compacto;2024;"[""https://static.seminovosmovida.com.br/storage_dev/1_Ano_de_Garantia.png""]";81700;"[""1 Ano de Garantia""]";Manual;Zen 1.0 Flex 12V 5P Mec.;60;60;0.037014;716.59;29040;996705;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2023;2024;48400;kwid zen 1.0 flex 12v 5p mec.
2026-07-15;2023;"[""Travas elétricas"", ""Airbags frontais"", ""Banco do motorista com ajuste de altura"", ""Conexão USB"", ""Freios ABS"", ""Airbag para motorista"", ""Volante com ajuste de altura"", ""Airbags laterais"", ""Controle elétrico do vidros dianteiros"", ""Ar condicionado"", ""Conexão Bluetooth"", ""Volante multifuncional"", ""Ar quente"", ""Rádio""]";Barueri;São Paulo;True;https://content.seminovosmovida.com.br/veiculos/1027388_f0165a621629b56c61bd59241fde6b28vmob.webp;4;Branco;Auto Shopping Tamboré;025266-2;Renault Kwid;False;48;48400;53900;Renault;SP;AX;Renault Kwid Zen 1.0 Flex 12V 5P Mec.;2026-07-15T01:54:50.904-03:00;1027388;;1491;57560.8;;Flex;-23.50393,-46.83201;"[{""img"": ""https://static.seminovosmovida.com.br/storage_dev/12x_sem_juros_sf.png"", ""incentivo"": ""12x sem juros""}]";0;Kwid Zen 1.0 Flex 12V 5P Mec.;Hatch;1;Kwid;1027388;2026-07-15 01:54:50;48400;Hatch Compacto;2024;"[""https://static.seminovosmovida.com.br/storage_dev/1_Ano_de_Garantia.png""]";82501;"[""1 Ano de Garantia""]";Manual;Zen 1.0 Flex 12V 5P Mec.;60;60;0.037014;716.59;29040;1027388;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2023;2024;48400;kwid zen 1.0 flex 12v 5p mec.
2026-07-15;2023;"[""Travas elétricas"", ""Airbags frontais"", ""Banco do motorista com ajuste de altura"", ""Conexão USB"", ""Freios ABS"", ""Airbag para motorista"", ""Volante com ajuste de altura"", ""Airbags laterais"", ""Controle elétrico do vidros dianteiros"", ""Ar condicionado"", ""Conexão Bluetooth"", ""Volante multifuncional"", ""Ar quente"", ""Rádio""]";São Paulo;São Paulo;True;https://content.seminovosmovida.com.br/veiculos/1029897_12ead0c462a8eaa45fc31ea6b391a45avmob.webp;4;Branco;São Paulo Radial Leste;025266-2;Renault Kwid;False;48;48400;53900;Renault;SP;AX;Renault Kwid Zen 1.0 Flex 12V 5P Mec.;2026-07-15T01:58:49.833-03:00;1029897;;1311;57560.8;;Flex;-23.533963663531,-46.594105296669;"[{""img"": ""https://static.seminovosmovida.com.br/storage_dev/12x_sem_juros_sf.png"", ""incentivo"": ""12x sem juros""}]";0;Kwid Zen 1.0 Flex 12V 5P Mec.;Hatch;5;Kwid;1029897;2026-07-15 01:58:49;48400;Hatch Compacto;2024;"[""https://static.seminovosmovida.com.br/storage_dev/1_Ano_de_Garantia.png""]";88819;"[""1 Ano de Garantia""]";Manual;Zen 1.0 Flex 12V 5P Mec.;60;60;0.037014;716.59;29040;1029897;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2023;2024;48400;kwid zen 1.0 flex 12v 5p mec.
2026-07-15;2023;"[""Travas elétricas"", ""Airbags frontais"", ""Banco do motorista com ajuste de altura"", ""Conexão USB"", ""Freios ABS"", ""Airbag para motorista"", ""Volante com ajuste de altura"", ""Airbags laterais"", ""Controle elétrico do vidros dianteiros"", ""Ar condicionado"", ""Conexão Bluetooth"", ""Volante multifuncional"", ""Ar quente"", ""Rádio""]";Campinas;São Paulo;True;https://content.seminovosmovida.com.br/veiculos/1023312_bc7b300ba235caeec33691d805d1cfacvmob.webp;4;Branco;Campinas Shopping Dom Pedro;025266-2;Renault Kwid;False;48;48800;54200;Renault;SP;AX;Renault Kwid Zen 1.0 Flex 12V 5P Mec.;2026-07-15T01:54:10.657-03:00;1023312;;1074;57560.8;;Flex;-22.848839708638,-47.061658186506;"[{""img"": ""https://static.seminovosmovida.com.br/storage_dev/12x_sem_juros_sf.png"", ""incentivo"": ""12x sem juros""}]";0;Kwid Zen 1.0 Flex 12V 5P Mec.;Hatch;2;Kwid;1023312;2026-07-15 01:54:10;48800;Hatch Compacto;2024;"[""https://static.seminovosmovida.com.br/storage_dev/1_Ano_de_Garantia.png""]";78335;"[""1 Ano de Garantia""]";Manual;Zen 1.0 Flex 12V 5P Mec.;60;60;0.037014;722.51;29280;1023312;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2023;2024;48800;kwid zen 1.0 flex 12v 5p mec.
2026-07-15;2021;"[""Computador de bordo"", ""Travas elétricas"", ""Airbags frontais"", ""Banco do motorista com ajuste de altura"", ""Conexão USB"", ""Freios ABS"", ""Airbag para motorista"", ""Volante com ajuste de altura"", ""Desembaçador do vidro traseiro"", ""Airbags laterais"", ""Controle elétrico do vidros dianteiros"", ""Ar condicionado"", ""Conexão Bluetooth"", ""Ar quente"", ""Alarme"", ""Rádio"", ""Limpador do vidro traseiro""]";São Paulo;São Paulo;True;https://content.seminovosmovida.com.br/veiculos/717741_c61ff0746fbf82e792c9d2383469f83avmob.webp;4;Branco;São Paulo Penha;025266-2;Renault Kwid;False;48;49000;39163;Renault;SP;GT;Renault Kwid Zen 1.0 Flex 12V 5P Mec.;2026-07-15T01:52:39.922-03:00;717741;;332;49200.8;;Flex;-23.512483696115,-46.523686150675;"[{""img"": ""https://static.seminovosmovida.com.br/storage_dev/12x_sem_juros_sf.png"", ""incentivo"": ""12x sem juros""}]";0;Kwid Zen 1.0 Flex 12V 5P Mec.;Hatch;5;Kwid;717741;2026-07-15 01:52:39;49000;Hatch Compacto;2022;[];46926;[];Manual;Zen 1.0 Flex 12V 5P Mec.;60;60;0.037014;725.47;29400;717741;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2021;2022;49000;kwid zen 1.0 flex 12v 5p mec.
2026-07-15;2023;"[""Travas elétricas"", ""Airbags frontais"", ""Banco do motorista com ajuste de altura"", ""Conexão USB"", ""Freios ABS"", ""Airbag para motorista"", ""Volante com ajuste de altura"", ""Airbags laterais"", ""Controle elétrico do vidros dianteiros"", ""Ar condicionado"", ""Conexão Bluetooth"", ""Volante multifuncional"", ""Ar quente"", ""Rádio""]";Belo Horizonte;Minas Gerais;True;https://content.seminovosmovida.com.br/veiculos/970507_1c7989b45b23efb132987c05b9e69948vmob.webp;4;Branco;Belo Horizonte Antonio Carlos;025266-2;Renault Kwid;False;48;49200;39297;Renault;MG;AX;Renault Kwid Zen 1.0 Flex 12V 5P Mec.;2026-07-15T01:57:49.007-03:00;970507;;666;57560.8;;Flex;-19.903454586242,-43.965802756217;"[{""img"": ""https://static.seminovosmovida.com.br/storage_dev/12x_sem_juros_sf.png"", ""incentivo"": ""12x sem juros""}]";0;Kwid Zen 1.0 Flex 12V 5P Mec.;Hatch;1;Kwid;970507;2026-07-15 01:57:48;49200;Hatch Compacto;2024;"[""https://static.seminovosmovida.com.br/storage_dev/1_Ano_de_Garantia.png""]";77448;"[""1 Ano de Garantia""]";Manual;Zen 1.0 Flex 12V 5P Mec.;60;60;0.037014;728.44;29520;970507;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2023;2024;49200;kwid zen 1.0 flex 12v 5p mec.
2026-07-15;2023;"[""Travas elétricas"", ""Airbags frontais"", ""Banco do motorista com ajuste de altura"", ""Conexão USB"", ""Freios ABS"", ""Airbag para motorista"", ""Volante com ajuste de altura"", ""Airbags laterais"", ""Controle elétrico do vidros dianteiros"", ""Ar condicionado"", ""Conexão Bluetooth"", ""Volante multifuncional"", ""Ar quente"", ""Rádio""]";São Paulo;São Paulo;True;https://content.seminovosmovida.com.br/veiculos/1032122_7e401103e97280577c9cf274b41eba1evmob.webp;4;Branco;São Paulo Vila Guilherme;025266-2;Renault Kwid;False;48;49400;39494;Renault;SP;AX;Renault Kwid Zen 1.0 Flex 12V 5P Mec.;2026-07-15T01:50:27.644-03:00;1032122;;98;57560.8;;Flex;-23.513433693691,-46.607427115341;"[{""img"": ""https://static.seminovosmovida.com.br/storage_dev/12x_sem_juros_sf.png"", ""incentivo"": ""12x sem juros""}]";0;Kwid Zen 1.0 Flex 12V 5P Mec.;Hatch;8;Kwid;1032122;2026-07-15 01:50:26;49400;Hatch Compacto;2024;"[""https://static.seminovosmovida.com.br/storage_dev/1_Ano_de_Garantia.png""]";82009;"[""1 Ano de Garantia""]";Manual;Zen 1.0 Flex 12V 5P Mec.;60;60;0.037014;731.4;29640;1032122;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2023;2024;49400;kwid zen 1.0 flex 12v 5p mec.
2026-07-15;2023;"[""Travas elétricas"", ""Airbags frontais"", ""Banco do motorista com ajuste de altura"", ""Conexão USB"", ""Freios ABS"", ""Airbag para motorista"", ""Volante com ajuste de altura"", ""Airbags laterais"", ""Controle elétrico do vidros dianteiros"", ""Ar condicionado"", ""Conexão Bluetooth"", ""Volante multifuncional"", ""Ar quente"", ""Rádio""]";São Paulo;São Paulo;True;https://content.seminovosmovida.com.br/veiculos/1030915_102308540982190874be24fca9815fd6.jpeg;4;Branco;Auto Shopping Bandeirantes;025266-2;Renault Kwid;False;48;49400;39494;Renault;SP;GT;Renault Kwid Zen 1.0 Flex 12V 5P Mec.;2026-07-15T01:51:31.679-03:00;1030915;;1496;57560.8;;Flex;-23.60972,-46.60757;"[{""img"": ""https://static.seminovosmovida.com.br/storage_dev/12x_sem_juros_sf.png"", ""incentivo"": ""12x sem juros""}]";0;Kwid Zen 1.0 Flex 12V 5P Mec.;Hatch;2;Kwid;1030915;2026-07-15 01:51:31;49400;Hatch Compacto;2024;"[""https://static.seminovosmovida.com.br/storage_dev/1_Ano_de_Garantia.png""]";84993;"[""1 Ano de Garantia""]";Manual;Zen 1.0 Flex 12V 5P Mec.;60;60;0.037014;731.4;29640;1030915;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2023;2024;49400;kwid zen 1.0 flex 12v 5p mec.
